Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,10,1,2,KAZ,3.0,MUSSAROVA A,2 - 10,165,KAZ,2:45,Saved,0
Centre shot,11.0,10,1,2,KAZ,3.0,GARCIA M,2 - 10,80,ESP,1:20,Saved,0
Action shot,9.0,10,1,2,KAZ,3.0,FORCA J,2 - 10,18,ESP,0:18,Saved,0
5m shot,11.0,10,1,3,KAZ,3.0,MIRSHINA A,3 - 10,1,KAZ,0:01,Goal,1
5m shot,8.0,10,1,3,KAZ,4.0,PENA P,3 - 10,432,ESP,7:12,Missed,0
Action shot,3.0,11,1,3,KAZ,4.0,ESPAR A,3 - 11,417,ESP,6:57,Goal,1
Centre shot,10.0,12,1,3,KAZ,4.0,TARRAGO R,3 - 12,342,ESP,5:42,Goal,1
Action shot,3.0,12,1,4,KAZ,4.0,AKILBAYEVA A,4 - 12,314,KAZ,5:14,Goal,1
Action shot,6.0,13,1,4,KAZ,4.0,PAREJA J,4 - 13,293,ESP,4:53,Goal,1
Centre shot,7.0,13,1,5,KAZ,4.0,MYRZABEKOVA Z,5 - 13,281,KAZ,4:41,Goal,1
Action shot,10.0,13,1,5,KAZ,4.0,TARRAGO R,5 - 13,255,ESP,4:15,Post,0
Extra player shot,11.0,13,1,6,KAZ,4.0,MIRSHINA A,6 - 13,174,KAZ,2:54,Goal,1
Extra player shot,7.0,13,1,6,KAZ,4.0,ESPAR C,6 - 13,130,ESP,2:10,Saved,0
5m shot,10.0,13,1,6,KAZ,4.0,ROGA D,6 - 13,102,KAZ,1:42,Saved,0
Extra player shot,10.0,13,1,6,KAZ,4.0,TARRAGO R,6 - 13,55,ESP,0:55,Saved,0
Extra player shot,10.0,14,1,6,KAZ,4.0,TARRAGO R,6 - 14,23,ESP,0:23,Goal,1
Extra player shot,5.0,14,1,7,KAZ,4.0,ZAKIROVA K,7 - 14,2,KAZ,0:02,Goal,1
Extra player shot,10.0,0,2,0,NZL,1.0,TARRAGO R,0 - 0,436,ESP,7:16,Missed,0
Extra player shot,8.0,0,2,0,NZL,1.0,LOPES DA SILVA C,0 - 0,399,NZL,6:39,Post,0
5m shot,12.0,0,2,0,NZL,1.0,MYLES J,0 - 0,352,NZL,5:52,Post,0
5m shot,10.0,1,2,0,NZL,1.0,TARRAGO R,1 - 0,328,ESP,5:28,Goal,1
5m shot,3.0,1,2,0,NZL,1.0,ESPAR A,1 - 0,281,ESP,4:41,Missed,0
Extra player shot,2.0,1,2,0,NZL,1.0,LEWIS N,1 - 0,249,NZL,4:09,Saved,0
5m shot,12.0,1,2,0,NZL,1.0,LOPEZ L,1 - 0,224,ESP,3:44,Post,0
Extra player shot,8.0,1,2,0,NZL,1.0,LOPES DA SILVA C,1 - 0,189,NZL,3:09,Saved,0
Action shot,3.0,1,2,0,NZL,1.0,ESPAR A,1 - 0,173,ESP,2:53,Blocked,0
Action shot,3.0,2,2,0,NZL,1.0,ESPAR A,2 - 0,79,ESP,1:19,Goal,1
Extra player shot,12.0,2,2,0,NZL,1.0,MYLES J,2 - 0,53,NZL,0:53,Blocked,0
Extra player shot,12.0,3,2,0,NZL,1.0,LOPEZ L,3 - 0,28,ESP,0:28,Goal,1
Extra player shot,11.0,4,2,0,NZL,2.0,GARCIA M,4 - 0,446,ESP,7:26,Goal,1
5m shot,4.0,4,2,0,NZL,2.0,LEWIS D,4 - 0,416,NZL,6:56,Missed,0
Action shot,4.0,4,2,0,NZL,2.0,LEITON P,4 - 0,404,ESP,6:44,Missed,0
5m shot,12.0,4,2,0,NZL,2.0,MYLES J,4 - 0,379,NZL,6:19,Post,0
5m shot,10.0,5,2,0,NZL,2.0,TARRAGO R,5 - 0,353,ESP,5:53,Goal,1
5m shot,6.0,5,2,0,NZL,2.0,LANDRY S,5 - 0,338,NZL,5:38,Saved,0
Extra player shot,6.0,6,2,0,NZL,2.0,PAREJA J,6 - 0,317,ESP,5:17,Goal,1
Counter attack,6.0,7,2,0,NZL,2.0,PAREJA J,7 - 0,284,ESP,4:44,Goal,1
5m shot,12.0,7,2,0,NZL,2.0,LOPEZ L,7 - 0,254,ESP,4:14,Saved,0
5m shot,7.0,7,2,0,NZL,2.0,CHASE M,7 - 0,222,NZL,3:42,Saved,0
Extra player shot,12.0,8,2,0,NZL,2.0,LOPEZ L,8 - 0,170,ESP,2:50,Goal,1
Extra player shot,8.0,8,2,1,NZL,2.0,LOPES DA SILVA C,8 - 1,124,NZL,2:04,Goal,1
5m shot,11.0,8,2,1,NZL,2.0,HUDSON K,8 - 1,72,NZL,1:12,Saved,0
Extra player shot,10.0,9,2,1,NZL,2.0,TARRAGO R,9 - 1,33,ESP,0:33,Goal,1
5m shot,3.0,9,2,1,NZL,4.0,ESPAR A,9 - 1,121,ESP,2:01,Saved,0
5m shot,10.0,22,2,2,NZL,4.0,TARRAGO R,22 - 2,63,ESP,1:03,Goal,1
Extra player shot,10.0,10,2,1,NZL,2.0,TARRAGO R,10 - 1,4,ESP,0:04,Goal,1
Action shot,6.0,10,2,1,NZL,3.0,PAREJA J,10 - 1,456,ESP,7:36,Saved,0
Extra player shot,8.0,10,2,1,NZL,3.0,PENA P,10 - 1,395,ESP,6:35,Saved,0
5m shot,11.0,10,2,1,NZL,3.0,HUDSON K,10 - 1,367,NZL,6:07,Saved,0
Centre shot,12.0,11,2,1,NZL,3.0,LOPEZ L,11 - 1,335,ESP,5:35,Goal,1
Extra player shot,4.0,11,2,2,NZL,3.0,LEWIS D,11 - 2,297,NZL,4:57,Goal,1
5m shot,12.0,11,2,2,NZL,3.0,LOPEZ L,11 - 2,268,ESP,4:28,Missed,0
5m shot,11.0,11,2,2,NZL,3.0,HUDSON K,11 - 2,240,NZL,4:00,Saved,0
Centre shot,4.0,12,2,2,NZL,3.0,LEITON P,12 - 2,215,ESP,3:35,Goal,1
Extra player shot,9.0,13,2,2,NZL,3.0,FORCA J,13 - 2,165,ESP,2:45,Goal,1
Centre shot,11.0,13,2,2,NZL,3.0,GARCIA M,13 - 2,114,ESP,1:54,Saved,0
5m shot,3.0,13,2,2,NZL,3.0,PATTISON S,13 - 2,83,NZL,1:23,Post,0
Extra player shot,11.0,13,2,2,NZL,3.0,GARCIA M,13 - 2,67,ESP,1:07,Post,0
Extra player shot,2.0,14,2,2,NZL,3.0,BACH M,14 - 2,61,ESP,1:01,Goal,1
Action shot,7.0,15,2,2,NZL,3.0,ESPAR C,15 - 2,42,ESP,0:42,Goal,1
Centre shot,2.0,15,2,2,NZL,3.0,LEWIS N,15 - 2,20,NZL,0:20,Saved,0
Action shot,9.0,16,2,2,NZL,4.0,FORCA J,16 - 2,416,ESP,6:56,Goal,1
Centre shot,12.0,16,2,2,NZL,4.0,MYLES J,16 - 2,381,NZL,6:21,Missed,0
Action shot,7.0,17,2,2,NZL,4.0,ESPAR C,17 - 2,361,ESP,6:01,Goal,1
Extra player shot,12.0,17,2,2,NZL,4.0,MYLES J,17 - 2,322,NZL,5:22,Saved,0
Extra player shot,4.0,18,2,2,NZL,4.0,LEITON P,18 - 2,302,ESP,5:02,Goal,1
Extra player shot,11.0,18,2,2,NZL,4.0,HUDSON K,18 - 2,274,NZL,4:34,Saved,0
Penalty shot,10.0,19,2,2,NZL,4.0,TARRAGO R,19 - 2,245,ESP,4:05,Goal,1
5m shot,8.0,19,2,2,NZL,4.0,LOPES DA SILVA C,19 - 2,227,NZL,3:47,Post,0
Counter attack,9.0,20,2,2,NZL,4.0,FORCA J,20 - 2,216,ESP,3:36,Goal,1
Penalty shot,12.0,21,2,2,NZL,4.0,LOPEZ L,21 - 2,171,ESP,2:51,Goal,1
5m shot,4.0,21,2,2,NZL,4.0,LEWIS D,21 - 2,145,NZL,2:25,Missed,0
Extra player shot,11.0,23,2,2,NZL,4.0,GARCIA M,23 - 2,30,ESP,0:30,Goal,1
5m shot,3.0,0,3,0,CAN,1.0,ESPAR A,0 - 0,450,ESP,7:30,Saved,0
5m shot,10.0,0,3,0,CAN,1.0,ROBINSON C,0 - 0,424,CAN,7:04,Post,0
5m shot,11.0,1,3,0,CAN,1.0,GARCIA M,0 - 1,407,ESP,6:47,Goal,1
5m shot,10.0,1,3,0,CAN,1.0,TARRAGO R,0 - 1,355,ESP,5:55,Missed,0
Extra player shot,8.0,2,3,0,CAN,1.0,PENA P,0 - 2,266,ESP,4:26,Goal,1
Action shot,5.0,2,3,0,CAN,1.0,EGGENS M,0 - 2,236,CAN,3:56,Saved,0
5m shot,9.0,2,3,1,CAN,1.0,EGGENS C,1 - 2,186,CAN,3:06,Goal,1
Action shot,9.0,3,3,1,CAN,1.0,FORCA J,1 - 3,158,ESP,2:38,Goal,1
5m shot,9.0,3,3,1,CAN,1.0,EGGENS C,1 - 3,129,CAN,2:09,Blocked,0
Centre shot,11.0,4,3,1,CAN,1.0,GARCIA M,1 - 4,107,ESP,1:47,Goal,1
Extra player shot,6.0,5,3,1,CAN,1.0,PAREJA J,1 - 5,48,ESP,0:48,Goal,1
Action shot,6.0,6,3,1,CAN,2.0,PAREJA J,1 - 6,434,ESP,7:14,Goal,1
Extra player shot,2.0,6,3,2,CAN,2.0,ALOGBO K,2 - 6,397,CAN,6:37,Goal,1
