Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Action shot - Blocked,2.0,3,8,KAZ,3.0,GUBAREV S,1,1 - 8,382,KAZ,6:22
Action shot - Missed,2.0,3,8,KAZ,3.0,LE ROUX E,1,1 - 8,361,RSA,6:01
20 sec. exclusion in centre,2.0,3,8,KAZ,3.0,LE ROUX E,1,1 - 8,338,RSA,5:38
Exclusion with substitution,2.0,3,8,KAZ,3.0,LE ROUX E,1,1 - 8,338,RSA,5:38
Centre shot - Goal,7.0,3,8,KAZ,3.0,JAGGA D,2,2 - 8,305,RSA,5:05
20 sec. exclusion in centre,4.0,3,8,KAZ,3.0,BADENHORST I,2,2 - 8,284,RSA,4:44
Extra player shot - Goal,3.0,3,9,KAZ,3.0,AXENOV A,2,2 - 9,266,KAZ,4:26
Turnover foul,8.0,3,9,KAZ,3.0,WINGATE-PEARSE J,2,2 - 9,241,RSA,4:01
Steal,1.0,3,9,KAZ,3.0,FEDOROV A,2,2 - 9,241,KAZ,4:01
Counter attack - Goal,3.0,3,10,KAZ,3.0,AXENOV A,2,2 - 10,224,KAZ,3:44
20 sec. exclusion in centre,4.0,3,10,KAZ,3.0,PILIPENKO R,2,2 - 10,209,KAZ,3:29
Time-Out,,3,10,KAZ,3.0,,2,2 - 10,209,RSA,3:29
Extra player shot - Missed,4.0,3,10,KAZ,3.0,BADENHORST I,2,2 - 10,191,RSA,3:11
Counter attack - Goal,6.0,3,11,KAZ,3.0,SHMIDER A,2,2 - 11,179,KAZ,2:59
