Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,6.0,6,3,13,HUN,4.0,HOSNYANSZKY N,6 - 13,40,HUN,0:40,Saved,0
Extra player shot,9.0,7,3,13,HUN,4.0,MARZOUKI M,7 - 13,1,FRA,0:01,Goal,1
Extra player shot,12.0,0,4,1,CAN,1.0,THUMWOOD D,1 - 0,423,CAN,7:03,Goal,1
5m shot,7.0,0,4,1,CAN,1.0,CROUSILLAT U,1 - 0,389,FRA,6:29,Blocked,0
5m shot,9.0,1,4,1,CAN,1.0,MARZOUKI M,1 - 1,375,FRA,6:15,Goal,1
5m shot,7.0,1,4,1,CAN,1.0,D'SOUZA R,1 - 1,350,CAN,5:50,Post,0
5m shot,12.0,1,4,1,CAN,1.0,THUMWOOD D,1 - 1,307,CAN,5:07,Saved,0
Extra player shot,12.0,1,4,1,CAN,1.0,THUMWOOD D,1 - 1,259,CAN,4:19,Saved,0
Penalty shot,12.0,1,4,2,CAN,1.0,THUMWOOD D,2 - 1,239,CAN,3:59,Goal,1
Action shot,6.0,1,4,2,CAN,1.0,ROBINSON S,2 - 1,181,CAN,3:01,Blocked,0
5m shot,10.0,1,4,3,CAN,1.0,SOLEIMANIPAK A,3 - 1,176,CAN,2:56,Goal,1
Extra player shot,3.0,2,4,3,CAN,1.0,KOVACEVIC I,3 - 2,145,FRA,2:25,Goal,1
Action shot,6.0,2,4,3,CAN,1.0,ROBINSON S,3 - 2,114,CAN,1:54,Saved,0
Counter attack,6.0,3,4,3,CAN,1.0,SIMON T,3 - 3,108,FRA,1:48,Goal,1
Extra player shot,8.0,3,4,3,CAN,1.0,LAPINS D,3 - 3,77,CAN,1:17,Saved,0
5m shot,3.0,3,4,3,CAN,1.0,KOVACEVIC I,3 - 3,49,FRA,0:49,Post,0
5m shot,7.0,3,4,4,CAN,1.0,D'SOUZA R,4 - 3,28,CAN,0:28,Goal,1
Action shot,11.0,3,4,4,CAN,1.0,PEISSON M,4 - 3,2,FRA,0:02,Missed,0
Action shot,7.0,3,4,4,CAN,2.0,CROUSILLAT U,4 - 3,409,FRA,6:49,Saved,0
5m shot,9.0,3,4,4,CAN,2.0,MARZOUKI M,4 - 3,387,FRA,6:27,Post,0
Action shot,6.0,3,4,4,CAN,2.0,ROBINSON S,4 - 3,368,CAN,6:08,Saved,0
Penalty shot,9.0,4,4,4,CAN,2.0,MARZOUKI M,4 - 4,359,FRA,5:59,Goal,1
5m shot,11.0,4,4,4,CAN,2.0,TORAKIS G,4 - 4,330,CAN,5:30,Blocked,0
Action shot,11.0,4,4,4,CAN,2.0,PEISSON M,4 - 4,302,FRA,5:02,Post,0
Extra player shot,5.0,4,4,4,CAN,2.0,GUILLAUME D,4 - 4,262,FRA,4:22,Saved,0
Action shot,7.0,5,4,4,CAN,2.0,CROUSILLAT U,4 - 5,219,FRA,3:39,Goal,1
Centre shot,4.0,5,4,5,CAN,2.0,CONSTANTIN-BICARI,5 - 5,191,CAN,3:11,Goal,1
Action shot,9.0,5,4,5,CAN,2.0,MARZOUKI M,5 - 5,129,FRA,2:09,Missed,0
Action shot,4.0,5,4,5,CAN,4.0,CONSTANTIN-BICARI,5 - 5,258,CAN,4:18,Saved,0
Action shot,5.0,10,4,6,CAN,4.0,GUILLAUME D,6 - 10,240,FRA,4:00,Goal,1
5m shot,12.0,10,4,6,CAN,4.0,THUMWOOD D,6 - 10,213,CAN,3:33,Saved,0
5m shot,11.0,10,4,6,CAN,4.0,TORAKIS G,6 - 10,153,CAN,2:33,Saved,0
5m shot,12.0,10,4,6,CAN,4.0,THUMWOOD D,6 - 10,129,CAN,2:09,Saved,0
Action shot,12.0,10,4,6,CAN,2.0,THUMWOOD D,6 - 10,43,CAN,0:43,Blocked,0
5m shot,4.0,10,4,6,CAN,3.0,CONSTANTIN-BICARI,6 - 10,413,CAN,6:53,Post,0
Extra player shot,5.0,10,4,6,CAN,3.0,GUILLAUME D,6 - 10,376,FRA,6:16,Post,0
5m shot,9.0,6,4,5,CAN,3.0,MARZOUKI M,5 - 6,373,FRA,6:13,Goal,1
Extra player shot,4.0,6,4,5,CAN,3.0,CONSTANTIN-BICARI,5 - 6,346,CAN,5:46,Missed,0
5m shot,3.0,6,4,5,CAN,3.0,KOVACEVIC I,5 - 6,312,FRA,5:12,Saved,0
5m shot,7.0,6,4,5,CAN,3.0,CROUSILLAT U,5 - 6,246,FRA,4:06,Saved,0
5m shot,11.0,6,4,5,CAN,3.0,TORAKIS G,5 - 6,224,CAN,3:44,Post,0
Action shot,11.0,7,4,5,CAN,3.0,PEISSON M,5 - 7,149,FRA,2:29,Goal,1
Extra player shot,2.0,7,4,6,CAN,3.0,PATTERSON G,6 - 7,120,CAN,2:00,Goal,1
5m shot,7.0,7,4,6,CAN,3.0,CROUSILLAT U,6 - 7,95,FRA,1:35,Saved,0
Action shot,6.0,7,4,6,CAN,3.0,SIMON T,6 - 7,24,FRA,0:24,Missed,0
5m shot,4.0,7,4,6,CAN,3.0,CONSTANTIN-BICARI,6 - 7,10,CAN,0:10,Blocked,0
5m shot,6.0,7,4,6,CAN,3.0,ROBINSON S,6 - 7,10,CAN,0:10,Missed,0
Centre shot,11.0,7,4,6,CAN,4.0,PEISSON M,6 - 7,435,FRA,7:15,Saved,0
Extra player shot,7.0,8,4,6,CAN,4.0,CROUSILLAT U,6 - 8,378,FRA,6:18,Goal,1
Centre shot,4.0,8,4,6,CAN,4.0,CONSTANTIN-BICARI,6 - 8,352,CAN,5:52,Missed,0
5m shot,7.0,8,4,6,CAN,4.0,CROUSILLAT U,6 - 8,335,FRA,5:35,Saved,0
5m shot,10.0,8,4,6,CAN,4.0,SOLEIMANIPAK A,6 - 8,307,CAN,5:07,Saved,0
Counter attack,7.0,9,4,6,CAN,4.0,CROUSILLAT U,6 - 9,298,FRA,4:58,Goal,1
5m shot,9.0,9,4,6,CAN,4.0,MARZOUKI M,6 - 9,77,FRA,1:17,Post,0
Extra player shot,7.0,0,5,0,USA,1.0,DUNSTAN T,0 - 0,434,USA,7:14,Post,0
5m shot,6.0,0,5,0,USA,1.0,SIMON T,0 - 0,407,FRA,6:47,Post,0
Action shot,2.0,0,5,0,USA,1.0,HOOPER J,0 - 0,337,USA,5:37,Post,0
5m shot,6.0,0,5,0,USA,1.0,CUPIDO L,0 - 0,317,USA,5:17,Saved,0
5m shot,2.0,0,5,0,USA,1.0,HOOPER J,0 - 0,308,USA,5:08,Saved,0
5m shot,7.0,0,5,0,USA,1.0,CROUSILLAT U,0 - 0,284,FRA,4:44,Blocked,0
5m shot,11.0,0,5,0,USA,1.0,ROELSE A,0 - 0,167,USA,2:47,Blocked,0
5m shot,9.0,0,5,0,USA,1.0,MARZOUKI M,0 - 0,143,FRA,2:23,Saved,0
Centre shot,2.0,0,5,0,USA,1.0,SAUDADIER R,0 - 0,128,FRA,2:08,Saved,0
Centre shot,4.0,0,5,0,USA,1.0,OBERT A,0 - 0,97,USA,1:37,Saved,0
Action shot,7.0,1,5,0,USA,1.0,CROUSILLAT U,1 - 0,18,FRA,0:18,Goal,1
5m shot,3.0,2,5,0,USA,2.0,KOVACEVIC I,2 - 0,450,FRA,7:30,Goal,1
5m shot,9.0,2,5,0,USA,2.0,BOWEN A,2 - 0,427,USA,7:07,Missed,0
5m shot,7.0,2,5,0,USA,2.0,CROUSILLAT U,2 - 0,406,FRA,6:46,Saved,0
