Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,3.0,6,2,9,AUS,3.0,FORD G,6 - 9,238,AUS,3:58
Time-Out,,6,2,9,AUS,3.0,,6 - 9,235,FRA,3:55
Extra player shot - Blocked,9.0,6,2,9,AUS,3.0,MARZOUKI M,6 - 9,217,FRA,3:37
20 sec. exclusion in centre,12.0,6,2,9,AUS,3.0,CAMARASA A,6 - 9,194,FRA,3:14
Extra player shot - Blocked,11.0,6,2,9,AUS,3.0,HOLLIS L,6 - 9,169,AUS,2:49
Turnover foul,11.0,6,2,9,AUS,3.0,PEISSON M,6 - 9,169,FRA,2:49
5m shot - Saved,9.0,6,2,9,AUS,3.0,FORD A,6 - 9,145,AUS,2:25
5m shot - Saved,6.0,6,2,9,AUS,3.0,SIMON T,6 - 9,115,FRA,1:55
5m shot - Blocked,8.0,6,2,9,AUS,3.0,YOUNGER A,6 - 9,89,AUS,1:29
20 sec. exclusion in centre,8.0,6,2,9,AUS,3.0,YOUNGER A,6 - 9,69,AUS,1:09
Extra player shot - Goal,7.0,7,2,9,AUS,3.0,CROUSILLAT U,7 - 9,57,FRA,0:57
Yellow card,,7,2,9,AUS,3.0,Team Official,7 - 9,57,AUS,0:57
Turnover foul,8.0,7,2,9,AUS,3.0,YOUNGER A,7 - 9,38,AUS,0:38
Steal,2.0,7,2,9,AUS,3.0,SAUDADIER R,7 - 9,38,FRA,0:38
5m shot - Blocked,3.0,7,2,9,AUS,3.0,KOVACEVIC I,7 - 9,10,FRA,0:10
5m shot - Saved,8.0,7,2,9,AUS,3.0,YOUNGER A,7 - 9,1,AUS,0:01
Starting goalkeeper,1.0,7,2,9,AUS,4.0,GARSAU R,7 - 9,480,FRA,8:00
Starting goalkeeper,13.0,7,2,9,AUS,4.0,HRYSANTHOS A,7 - 9,480,AUS,8:00
Sprint won possession,7.0,7,2,9,AUS,4.0,GILCHRIST J,7 - 9,480,AUS,8:00
5m shot - Goal,11.0,7,2,10,AUS,4.0,HOLLIS L,7 - 10,451,AUS,7:31
Action shot - Missed,3.0,7,2,10,AUS,4.0,KOVACEVIC I,7 - 10,422,FRA,7:02
Centre shot - Saved,6.0,7,2,10,AUS,4.0,EDWARDS L,7 - 10,393,AUS,6:33
Centre shot - Saved,12.0,7,2,10,AUS,4.0,CAMARASA A,7 - 10,364,FRA,6:04
Action shot - Saved,9.0,7,2,10,AUS,4.0,MARZOUKI M,7 - 10,349,FRA,5:49
Centre shot - Goal,12.0,8,2,10,AUS,4.0,CAMARASA A,8 - 10,343,FRA,5:43
Turnover foul,5.0,8,2,10,AUS,4.0,POWER N,8 - 10,313,AUS,5:13
Steal,2.0,8,2,10,AUS,4.0,SAUDADIER R,8 - 10,313,FRA,5:13
20 sec. exclusion in field,5.0,8,2,10,AUS,4.0,POWER N,8 - 10,297,AUS,4:57
Extra player shot - Goal,3.0,9,2,10,AUS,4.0,KOVACEVIC I,9 - 10,282,FRA,4:42
Centre shot - Missed,7.0,9,2,10,AUS,4.0,GILCHRIST J,9 - 10,256,AUS,4:16
Action shot - Post,7.0,9,2,10,AUS,4.0,CROUSILLAT U,9 - 10,237,FRA,3:57
Turnover foul,2.0,9,2,10,AUS,4.0,SAUDADIER R,9 - 10,214,FRA,3:34
Steal,11.0,9,2,10,AUS,4.0,HOLLIS L,9 - 10,214,AUS,3:34
Turnover foul,5.0,9,2,10,AUS,4.0,POWER N,9 - 10,184,AUS,3:04
Steal,3.0,9,2,10,AUS,4.0,KOVACEVIC I,9 - 10,184,FRA,3:04
5m shot - Saved,6.0,9,2,10,AUS,4.0,SIMON T,9 - 10,152,FRA,2:32
20 sec. exclusion in centre,2.0,9,2,10,AUS,4.0,SAUDADIER R,9 - 10,56,FRA,0:56
Turnover foul,10.0,9,2,10,AUS,4.0,FANNON J,9 - 10,30,AUS,0:30
Steal,2.0,9,2,10,AUS,4.0,SAUDADIER R,9 - 10,30,FRA,0:30
Time-Out,,9,2,10,AUS,4.0,,9 - 10,28,FRA,0:28
20 sec. exclusion in centre,11.0,9,2,10,AUS,4.0,HOLLIS L,9 - 10,18,AUS,0:18
Extra player shot - Goal,6.0,10,2,11,AUS,4.0,SIMON T,10 - 11,15,FRA,0:15
