ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
6,Turnover foul,9.0,2,15,KAZ,4.0,UKUMANOV R,15 - 6,153,KAZ,2:33
6,Steal,7.0,2,15,KAZ,4.0,MONTANE J,15 - 6,153,ARG,2:33
6,20 sec. exclusion in field,8.0,2,15,KAZ,4.0,KOLIADENKO A,15 - 6,135,KAZ,2:15
6,Exclusion with substitution,8.0,2,15,KAZ,4.0,KOLIADENKO A,15 - 6,135,KAZ,2:15
6,Steal,9.0,2,15,KAZ,4.0,CARABANTES I,15 - 6,40,ARG,0:40
7,Action shot - Goal,6.0,2,15,KAZ,4.0,BULGHERONI T,15 - 7,18,ARG,0:18
0,Starting goalkeeper,1.0,3,0,HUN,1.0,NAGY V,0 - 0,480,HUN,8:00
0,Starting goalkeeper,1.0,3,0,HUN,1.0,MALNERO D,0 - 0,480,ARG,8:00
0,Sprint won possession,6.0,3,0,HUN,1.0,BULGHERONI T,0 - 0,480,ARG,8:00
0,Action shot - Saved,5.0,3,0,HUN,1.0,LOPEZ E,0 - 0,452,ARG,7:32
0,20 sec. exclusion in centre,9.0,3,0,HUN,1.0,VARGA D,0 - 0,448,HUN,7:28
1,Action shot - Goal,5.0,3,0,HUN,1.0,LOPEZ E,0 - 1,432,ARG,7:12
1,Turnover foul,3.0,3,0,HUN,1.0,MADARAS N,0 - 1,411,HUN,6:51
1,Turnover foul,12.0,3,0,HUN,1.0,YANEZ G,0 - 1,398,ARG,6:38
1,Steal,2.0,3,0,HUN,1.0,GOR-NAGY M,0 - 1,398,HUN,6:38
1,Action shot - Goal,8.0,3,1,HUN,1.0,SZIVOS M,1 - 1,381,HUN,6:21
1,5m shot - Missed,2.0,3,1,HUN,1.0,VEICH R,1 - 1,353,ARG,5:53
1,Action shot - Goal,12.0,3,2,HUN,1.0,HARAI B,2 - 1,339,HUN,5:39
1,Action shot - Missed,9.0,3,2,HUN,1.0,CARABANTES I,2 - 1,315,ARG,5:15
1,20 sec. exclusion in centre,12.0,3,2,HUN,1.0,YANEZ G,2 - 1,295,ARG,4:55
1,Extra player shot - Goal,3.0,3,3,HUN,1.0,MADARAS N,3 - 1,281,HUN,4:41
1,Turnover foul,12.0,3,3,HUN,1.0,YANEZ G,3 - 1,253,ARG,4:13
1,Counter attack - Goal,4.0,3,4,HUN,1.0,ERDELYI B,4 - 1,247,HUN,4:07
1,Turnover foul,9.0,3,4,HUN,1.0,CARABANTES I,4 - 1,215,ARG,3:35
1,20 sec. exclusion in centre,4.0,3,4,HUN,1.0,MONUTTI A,4 - 1,188,ARG,3:08
1,Extra player shot - Goal,7.0,3,5,HUN,1.0,ANGYAL D,5 - 1,187,HUN,3:07
1,20 sec. exclusion in centre,4.0,3,5,HUN,1.0,ERDELYI B,5 - 1,163,HUN,2:43
1,Action shot - Post,8.0,3,5,HUN,1.0,CORSI E,5 - 1,136,ARG,2:16
1,Turnover foul,4.0,3,5,HUN,1.0,ERDELYI B,5 - 1,117,HUN,1:57
2,Action shot - Goal,11.0,3,5,HUN,1.0,DEMARCHI F,5 - 2,101,ARG,1:41
2,20 sec. exclusion in centre,9.0,3,5,HUN,1.0,CARABANTES I,5 - 2,80,ARG,1:20
2,Time-Out,,3,5,HUN,1.0,,5 - 2,46,ARG,0:46
2,5m shot - Missed,8.0,3,5,HUN,1.0,CORSI E,5 - 2,28,ARG,0:28
2,Time-Out,,3,5,HUN,1.0,,5 - 2,28,HUN,0:28
2,20 sec. exclusion in centre,10.0,3,5,HUN,1.0,DASZCZYK J,5 - 2,10,ARG,0:10
2,Extra player shot - Goal,6.0,3,6,HUN,1.0,HOSNYANSZKY N,6 - 2,1,HUN,0:01
2,Starting goalkeeper,1.0,3,6,HUN,2.0,NAGY V,6 - 2,480,HUN,8:00
2,Starting goalkeeper,1.0,3,6,HUN,2.0,MALNERO D,6 - 2,480,ARG,8:00
2,Sprint won possession,4.0,3,6,HUN,2.0,ERDELYI B,6 - 2,480,HUN,8:00
2,5m shot - Saved,9.0,3,6,HUN,2.0,VARGA D,6 - 2,454,HUN,7:34
2,Turnover foul,11.0,3,6,HUN,2.0,BEDO K,6 - 2,429,HUN,7:09
2,Steal,12.0,3,6,HUN,2.0,YANEZ G,6 - 2,429,ARG,7:09
2,5m shot - Post,2.0,3,6,HUN,2.0,VEICH R,6 - 2,402,ARG,6:42
2,Turnover foul,3.0,3,6,HUN,2.0,MADARAS N,6 - 2,383,HUN,6:23
2,Turnover foul,11.0,3,6,HUN,2.0,DEMARCHI F,6 - 2,363,ARG,6:03
2,Turnover foul,11.0,3,6,HUN,2.0,BEDO K,6 - 2,348,HUN,5:48
2,5m shot - Post,9.0,3,6,HUN,2.0,CARABANTES I,6 - 2,320,ARG,5:20
2,20 sec. exclusion in centre,11.0,3,6,HUN,2.0,DEMARCHI F,6 - 2,301,ARG,5:01
2,Action shot - Missed,7.0,3,6,HUN,2.0,ANGYAL D,6 - 2,272,HUN,4:32
2,5m shot - Saved,12.0,3,6,HUN,2.0,YANEZ G,6 - 2,264,ARG,4:24
2,Centre shot - Goal,8.0,3,7,HUN,2.0,SZIVOS M,7 - 2,248,HUN,4:08
2,20 sec. exclusion in centre,4.0,3,7,HUN,2.0,ERDELYI B,7 - 2,227,HUN,3:47
2,Time-Out,,3,7,HUN,2.0,,7 - 2,227,ARG,3:47
2,5m shot - Blocked,9.0,3,7,HUN,2.0,CARABANTES I,7 - 2,205,ARG,3:25
2,20 sec. exclusion in centre,4.0,3,7,HUN,2.0,MONUTTI A,7 - 2,187,ARG,3:07
2,Turnover foul,12.0,3,7,HUN,2.0,YANEZ G,7 - 2,136,ARG,2:16
2,Steal,1.0,3,7,HUN,2.0,NAGY V,7 - 2,136,HUN,2:16
2,20 sec. exclusion in centre,10.0,3,7,HUN,2.0,DASZCZYK J,7 - 2,114,ARG,1:54
2,Time-Out,,3,7,HUN,2.0,,7 - 2,114,HUN,1:54
2,Extra player shot - Goal,8.0,3,8,HUN,2.0,SZIVOS M,8 - 2,93,HUN,1:33
2,5m shot - Saved,9.0,3,8,HUN,2.0,CARABANTES I,8 - 2,61,ARG,1:01
2,Penalty foul,2.0,3,8,HUN,2.0,VEICH R,8 - 2,42,ARG,0:42
2,Penalty shot - Goal,5.0,3,9,HUN,2.0,VAMOS M,9 - 2,42,HUN,0:42
