Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,4.0,4,2,1,CHN,1.0,FIGLIOLI P,2 - 1,102,ITA,1:42
Centre shot - Goal,11.0,4,3,1,CHN,1.0,AICARDI M,3 - 1,80,ITA,1:20
Turnover foul,11.0,4,3,1,CHN,1.0,ZHANG C,3 - 1,52,CHN,0:52
Steal,4.0,4,3,1,CHN,1.0,FIGLIOLI P,3 - 1,52,ITA,0:52
Turnover foul,12.0,4,3,1,CHN,1.0,NAPOLITANO C,3 - 1,24,ITA,0:24
Steal,3.0,4,3,1,CHN,1.0,LIANG Z,3 - 1,24,CHN,0:24
Turnover foul,2.0,4,3,1,CHN,1.0,TAN F,3 - 1,2,CHN,0:02
Starting goalkeeper,1.0,4,3,1,CHN,2.0,TEMPESTI S,3 - 1,480,ITA,8:00
Starting goalkeeper,1.0,4,3,1,CHN,2.0,GE W,3 - 1,480,CHN,8:00
Sprint won possession,4.0,4,3,1,CHN,2.0,FIGLIOLI P,3 - 1,480,ITA,8:00
Turnover foul,12.0,4,3,1,CHN,2.0,NAPOLITANO C,3 - 1,454,ITA,7:34
Turnover foul,5.0,4,3,1,CHN,2.0,GUO J,3 - 1,436,CHN,7:16
Steal,6.0,4,3,1,CHN,2.0,FELUGO M,3 - 1,436,ITA,7:16
20 sec. exclusion in field,5.0,4,3,1,CHN,2.0,GUO J,3 - 1,435,CHN,7:15
Extra player shot - Goal,6.0,4,4,1,CHN,2.0,FELUGO M,4 - 1,423,ITA,7:03
Turnover foul,9.0,4,4,1,CHN,2.0,XIE J,4 - 1,397,CHN,6:37
Steal,4.0,4,4,1,CHN,2.0,FIGLIOLI P,4 - 1,397,ITA,6:37
Turnover foul,9.0,4,4,1,CHN,2.0,PRESCIUTTI C,4 - 1,378,ITA,6:18
Turnover foul,3.0,4,4,1,CHN,2.0,LIANG Z,4 - 1,353,CHN,5:53
20 sec. exclusion in field,7.0,4,4,1,CHN,2.0,LI B,4 - 1,342,CHN,5:42
Extra player shot - Missed,7.0,4,4,1,CHN,2.0,FIGARI N,4 - 1,322,ITA,5:22
Action shot - Post,3.0,4,4,1,CHN,2.0,LIANG Z,4 - 1,305,CHN,5:05
Turnover foul,12.0,4,4,1,CHN,2.0,NAPOLITANO C,4 - 1,293,ITA,4:53
Turnover foul,2.0,4,4,1,CHN,2.0,TAN F,4 - 1,267,CHN,4:27
Turnover foul,12.0,4,4,1,CHN,2.0,NAPOLITANO C,4 - 1,245,ITA,4:05
Steal,8.0,4,4,1,CHN,2.0,WANG Y,4 - 1,245,CHN,4:05
Action shot - Saved,8.0,4,4,1,CHN,2.0,WANG Y,4 - 1,220,CHN,3:40
Centre shot - Goal,2.0,4,4,2,CHN,2.0,TAN F,4 - 2,217,CHN,3:37
20 sec. exclusion in centre,5.0,4,4,2,CHN,2.0,GUO J,4 - 2,191,CHN,3:11
Turnover foul,10.0,4,4,2,CHN,2.0,FIORENTINI D,4 - 2,174,ITA,2:54
Steal,10.0,4,4,2,CHN,2.0,ZHANG J,4 - 2,174,CHN,2:54
Turnover foul,3.0,4,4,2,CHN,2.0,LIANG Z,4 - 2,153,CHN,2:33
Steal,6.0,4,4,2,CHN,2.0,FELUGO M,4 - 2,153,ITA,2:33
5m shot - Saved,3.0,4,4,2,CHN,2.0,LIANG Z,4 - 2,101,CHN,1:41
5m shot - Goal,6.0,4,5,2,CHN,2.0,FELUGO M,5 - 2,79,ITA,1:19
Turnover foul,12.0,4,5,2,CHN,2.0,LIANG N,5 - 2,59,CHN,0:59
20 sec. exclusion in centre,12.0,4,5,2,CHN,2.0,LIANG N,5 - 2,40,CHN,0:40
Extra player shot - Goal,5.0,4,6,2,CHN,2.0,GIORGETTI A,6 - 2,32,ITA,0:32
5m shot - Blocked,11.0,4,6,2,CHN,2.0,ZHANG C,6 - 2,9,CHN,0:09
Centre shot - Post,5.0,4,6,2,CHN,4.0,GUO J,6 - 2,10,CHN,0:10
20 sec. exclusion in field,10.0,4,6,2,CHN,4.0,FIORENTINI D,6 - 2,3,ITA,0:03
Counter attack - Saved,4.0,4,6,2,CHN,2.0,FIGLIOLI P,6 - 2,1,ITA,0:01
Starting goalkeeper,1.0,4,6,2,CHN,3.0,TEMPESTI S,6 - 2,480,ITA,8:00
Starting goalkeeper,13.0,4,6,2,CHN,3.0,WU H,6 - 2,480,CHN,8:00
Sprint won possession,4.0,4,6,2,CHN,3.0,FIGLIOLI P,6 - 2,480,ITA,8:00
20 sec. exclusion in centre,2.0,4,6,2,CHN,3.0,TAN F,6 - 2,455,CHN,7:35
Extra player shot - Goal,5.0,4,7,2,CHN,3.0,GIORGETTI A,7 - 2,442,ITA,7:22
Turnover foul,2.0,4,7,2,CHN,3.0,TAN F,7 - 2,416,CHN,6:56
Steal,7.0,4,7,2,CHN,3.0,FIGARI N,7 - 2,416,ITA,6:56
Turnover foul,11.0,4,7,2,CHN,3.0,AICARDI M,7 - 2,395,ITA,6:35
Turnover foul,8.0,4,7,2,CHN,3.0,WANG Y,7 - 2,376,CHN,6:16
Steal,4.0,4,7,2,CHN,3.0,FIGLIOLI P,7 - 2,376,ITA,6:16
Counter attack - Goal,9.0,4,8,2,CHN,3.0,PRESCIUTTI C,8 - 2,362,ITA,6:02
5m shot - Blocked,7.0,4,8,2,CHN,3.0,LI B,8 - 2,339,CHN,5:39
Action shot - Goal,8.0,4,9,2,CHN,3.0,GALLO V,9 - 2,316,ITA,5:16
Turnover foul,2.0,4,9,2,CHN,3.0,TAN F,9 - 2,293,CHN,4:53
Steal,6.0,4,9,2,CHN,3.0,FELUGO M,9 - 2,293,ITA,4:53
20 sec. exclusion in centre,6.0,4,9,2,CHN,3.0,PAN N,9 - 2,272,CHN,4:32
Extra player shot - Missed,8.0,4,9,2,CHN,3.0,GALLO V,9 - 2,256,ITA,4:16
5m shot - Missed,6.0,4,9,2,CHN,3.0,PAN N,9 - 2,235,CHN,3:55
20 sec. exclusion in field,6.0,4,9,2,CHN,3.0,PAN N,9 - 2,233,CHN,3:53
Time-Out,,4,9,2,CHN,3.0,,9 - 2,233,ITA,3:53
Extra player shot - Saved,4.0,4,9,2,CHN,3.0,FIGLIOLI P,9 - 2,214,ITA,3:34
Turnover foul,2.0,4,9,2,CHN,3.0,TAN F,9 - 2,190,CHN,3:10
Steal,6.0,4,9,2,CHN,3.0,FELUGO M,9 - 2,190,ITA,3:10
Turnover foul,5.0,4,9,2,CHN,3.0,GIORGETTI A,9 - 2,168,ITA,2:48
Steal,3.0,4,9,2,CHN,3.0,LIANG Z,9 - 2,168,CHN,2:48
Action shot - Saved,5.0,4,9,2,CHN,3.0,GUO J,9 - 2,137,CHN,2:17
Turnover foul,5.0,4,9,2,CHN,3.0,GIORGETTI A,9 - 2,115,ITA,1:55
