Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8,8.0,6,10,HUN,4.0,SZIVOS M,10 - 8,283,HUN,4:43,Saved,0
Action shot,8,5.0,6,10,HUN,4.0,JOKOVIC M,10 - 8,255,CRO,4:15,Saved,0
Centre shot,9,11.0,6,10,HUN,4.0,SETKA A,10 - 9,252,CRO,4:12,Goal,1
Action shot,10,5.0,6,10,HUN,4.0,JOKOVIC M,10 - 10,158,CRO,2:38,Goal,1
Centre shot,10,10.0,6,11,HUN,4.0,VARGA D,11 - 10,129,HUN,2:09,Goal,1
Action shot,10,5.0,6,11,HUN,4.0,JOKOVIC M,11 - 10,45,CRO,0:45,Missed,0
Action shot,1,9.0,7,0,ITA,1.0,SUKNO S,1 - 0,451,CRO,7:31,Goal,1
Extra player shot,1,5.0,7,1,ITA,1.0,GIORGETTI A,1 - 1,408,ITA,6:48,Goal,1
Action shot,1,6.0,7,1,ITA,1.0,FELUGO M,1 - 1,348,ITA,5:48,Saved,0
Action shot,1,12.0,7,1,ITA,1.0,OBRADOVIC P,1 - 1,276,CRO,4:36,Saved,0
Extra player shot,2,9.0,7,1,ITA,1.0,SUKNO S,2 - 1,209,CRO,3:29,Goal,1
Extra player shot,2,9.0,7,1,ITA,1.0,PRESCIUTTI C,2 - 1,185,ITA,3:05,Saved,0
Extra player shot,2,2.0,7,2,ITA,1.0,PEREZ A,2 - 2,171,ITA,2:51,Goal,1
Action shot,2,8.0,7,2,ITA,1.0,GALLO V,2 - 2,121,ITA,2:01,Post,0
Action shot,3,6.0,7,2,ITA,1.0,BUKIC L,3 - 2,96,CRO,1:36,Goal,1
Extra player shot,3,8.0,7,2,ITA,1.0,GALLO V,3 - 2,52,ITA,0:52,Saved,0
Centre shot,4,4.0,7,2,ITA,1.0,PASKVALIN F,4 - 2,11,CRO,0:11,Goal,1
5m shot,5,5.0,7,2,ITA,2.0,JOKOVIC M,5 - 2,453,CRO,7:33,Goal,1
5m shot,5,4.0,7,2,ITA,2.0,FIGLIOLI P,5 - 2,425,ITA,7:05,Blocked,0
Action shot,5,6.0,7,2,ITA,2.0,FELUGO M,5 - 2,398,ITA,6:38,Saved,0
Centre shot,6,10.0,7,2,ITA,2.0,DOBUD N,6 - 2,350,CRO,5:50,Goal,1
Action shot,6,2.0,7,2,ITA,2.0,PEREZ A,6 - 2,322,ITA,5:22,Post,0
Centre shot,6,12.0,7,2,ITA,2.0,NAPOLITANO C,6 - 2,257,ITA,4:17,Saved,0
Extra player shot,7,9.0,7,2,ITA,2.0,SUKNO S,7 - 2,222,CRO,3:42,Goal,1
Extra player shot,7,8.0,7,2,ITA,2.0,GALLO V,7 - 2,189,ITA,3:09,Blocked,0
Action shot,7,11.0,7,2,ITA,2.0,AICARDI M,7 - 2,185,ITA,3:05,Missed,0
Centre shot,7,11.0,7,2,ITA,2.0,AICARDI M,7 - 2,135,ITA,2:15,Missed,0
Action shot,7,11.0,7,2,ITA,2.0,SETKA A,7 - 2,107,CRO,1:47,Missed,0
Extra player shot,7,5.0,7,3,ITA,2.0,GIORGETTI A,7 - 3,75,ITA,1:15,Goal,1
Action shot,8,5.0,7,3,ITA,2.0,JOKOVIC M,8 - 3,15,CRO,0:15,Goal,1
Action shot,8,5.0,7,3,ITA,2.0,GIORGETTI A,8 - 3,1,ITA,0:01,Blocked,0
Extra player shot,10,6.0,7,7,ITA,4.0,FELUGO M,10 - 7,118,ITA,1:58,Goal,1
5m shot,10,12.0,7,7,ITA,4.0,OBRADOVIC P,10 - 7,90,CRO,1:30,Saved,0
Counter attack,10,6.0,7,7,ITA,4.0,FELUGO M,10 - 7,69,ITA,1:09,Saved,0
Extra player shot,10,4.0,7,7,ITA,3.0,FIGLIOLI P,10 - 7,444,ITA,7:24,Blocked,0
Action shot,10,9.0,7,7,ITA,3.0,PRESCIUTTI C,10 - 7,387,ITA,6:27,Saved,0
Extra player shot,8,5.0,7,4,ITA,3.0,GIORGETTI A,8 - 4,374,ITA,6:14,Goal,1
Action shot,8,5.0,7,4,ITA,3.0,JOKOVIC M,8 - 4,334,CRO,5:34,Post,0
Action shot,8,7.0,7,4,ITA,3.0,MUSLIM P,8 - 4,286,CRO,4:46,Saved,0
Action shot,8,3.0,7,4,ITA,3.0,GITTO N,8 - 4,189,ITA,3:09,Post,0
Action shot,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,162,CRO,2:42,Missed,0
5m shot,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,119,CRO,1:59,Saved,0
Action shot,8,4.0,7,4,ITA,3.0,FIGLIOLI P,8 - 4,103,ITA,1:43,Saved,0
Action shot,9,5.0,7,4,ITA,3.0,JOKOVIC M,9 - 4,72,CRO,1:12,Goal,1
Action shot,9,9.0,7,5,ITA,3.0,PRESCIUTTI C,9 - 5,21,ITA,0:21,Goal,1
Extra player shot,9,10.0,7,5,ITA,4.0,DOBUD N,9 - 5,419,CRO,6:59,Post,0
Extra player shot,9,5.0,7,5,ITA,4.0,JOKOVIC M,9 - 5,408,CRO,6:48,Saved,0
5m shot,9,7.0,7,5,ITA,4.0,MUSLIM P,9 - 5,378,CRO,6:18,Saved,0
Action shot,9,2.0,7,5,ITA,4.0,LONCAR L,9 - 5,294,CRO,4:54,Saved,0
Action shot,9,8.0,7,5,ITA,4.0,GALLO V,9 - 5,274,ITA,4:34,Blocked,0
Penalty shot,9,6.0,7,6,ITA,4.0,FELUGO M,9 - 6,227,ITA,3:47,Goal,1
5m shot,10,12.0,7,6,ITA,4.0,OBRADOVIC P,10 - 6,202,CRO,3:22,Goal,1
Action shot,10,10.0,7,6,ITA,4.0,DOBUD N,10 - 6,12,CRO,0:12,Missed,0
Extra player shot,10,12.0,7,8,ITA,4.0,NAPOLITANO C,10 - 8,2,ITA,0:02,Goal,1
