Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,3,8.0,7,2,ITA,1.0,BUSLJE A,3 - 2,72,CRO,1:12
Extra player shot - Saved,3,8.0,7,2,ITA,1.0,GALLO V,3 - 2,52,ITA,0:52
20 sec. exclusion in centre,3,11.0,7,2,ITA,1.0,AICARDI M,3 - 2,32,ITA,0:32
Centre shot - Goal,4,4.0,7,2,ITA,1.0,PASKVALIN F,4 - 2,11,CRO,0:11
Turnover foul,4,6.0,7,2,ITA,1.0,FELUGO M,4 - 2,3,ITA,0:03
Starting goalkeeper,4,1.0,7,2,ITA,2.0,PAVIC J,4 - 2,480,CRO,8:00
Starting goalkeeper,4,1.0,7,2,ITA,2.0,TEMPESTI S,4 - 2,480,ITA,8:00
Sprint won possession,4,9.0,7,2,ITA,2.0,SUKNO S,4 - 2,480,CRO,8:00
5m shot - Goal,5,5.0,7,2,ITA,2.0,JOKOVIC M,5 - 2,453,CRO,7:33
5m shot - Blocked,5,4.0,7,2,ITA,2.0,FIGLIOLI P,5 - 2,425,ITA,7:05
Action shot - Saved,5,6.0,7,2,ITA,2.0,FELUGO M,5 - 2,398,ITA,6:38
20 sec. exclusion in field,5,4.0,7,2,ITA,2.0,FIGLIOLI P,5 - 2,384,ITA,6:24
Double exclusion,5,7.0,7,2,ITA,2.0,FIGARI N,5 - 2,372,ITA,6:12
Double exclusion,5,3.0,7,2,ITA,2.0,MILAKOVIC I,5 - 2,372,CRO,6:12
Centre shot - Goal,6,10.0,7,2,ITA,2.0,DOBUD N,6 - 2,350,CRO,5:50
Action shot - Post,6,2.0,7,2,ITA,2.0,PEREZ A,6 - 2,322,ITA,5:22
Turnover foul,6,4.0,7,2,ITA,2.0,PASKVALIN F,6 - 2,302,CRO,5:02
20 sec. exclusion in field,6,4.0,7,2,ITA,2.0,PASKVALIN F,6 - 2,281,CRO,4:41
Centre shot - Saved,6,12.0,7,2,ITA,2.0,NAPOLITANO C,6 - 2,257,ITA,4:17
20 sec. exclusion in centre,6,5.0,7,2,ITA,2.0,GIORGETTI A,6 - 2,240,ITA,4:00
Extra player shot - Goal,7,9.0,7,2,ITA,2.0,SUKNO S,7 - 2,222,CRO,3:42
Time-Out,7,,7,2,ITA,2.0,,7 - 2,222,ITA,3:42
20 sec. exclusion in centre,7,2.0,7,2,ITA,2.0,LONCAR L,7 - 2,209,CRO,3:29
Extra player shot - Blocked,7,8.0,7,2,ITA,2.0,GALLO V,7 - 2,189,ITA,3:09
Action shot - Missed,7,11.0,7,2,ITA,2.0,AICARDI M,7 - 2,185,ITA,3:05
Turnover foul,7,4.0,7,2,ITA,2.0,PASKVALIN F,7 - 2,158,CRO,2:38
20 sec. exclusion in field,7,4.0,7,2,ITA,2.0,PASKVALIN F,7 - 2,158,CRO,2:38
Centre shot - Missed,7,11.0,7,2,ITA,2.0,AICARDI M,7 - 2,135,ITA,2:15
Action shot - Missed,7,11.0,7,2,ITA,2.0,SETKA A,7 - 2,107,CRO,1:47
20 sec. exclusion in centre,7,11.0,7,2,ITA,2.0,SETKA A,7 - 2,93,CRO,1:33
Extra player shot - Goal,7,5.0,7,3,ITA,2.0,GIORGETTI A,7 - 3,75,ITA,1:15
Turnover foul,7,10.0,7,3,ITA,2.0,DOBUD N,7 - 3,47,CRO,0:47
Steal,7,5.0,7,3,ITA,2.0,GIORGETTI A,7 - 3,47,ITA,0:47
20 sec. exclusion in field,7,6.0,7,3,ITA,2.0,FELUGO M,7 - 3,36,ITA,0:36
Action shot - Goal,8,5.0,7,3,ITA,2.0,JOKOVIC M,8 - 3,15,CRO,0:15
Action shot - Blocked,8,5.0,7,3,ITA,2.0,GIORGETTI A,8 - 3,1,ITA,0:01
Starting goalkeeper,8,1.0,7,3,ITA,3.0,PAVIC J,8 - 3,480,CRO,8:00
Starting goalkeeper,8,1.0,7,3,ITA,3.0,TEMPESTI S,8 - 3,480,ITA,8:00
Sprint won possession,8,4.0,7,3,ITA,3.0,FIGLIOLI P,8 - 3,480,ITA,8:00
Extra player shot - Goal,10,6.0,7,7,ITA,4.0,FELUGO M,10 - 7,118,ITA,1:58
5m shot - Saved,10,12.0,7,7,ITA,4.0,OBRADOVIC P,10 - 7,90,CRO,1:30
Counter attack - Saved,10,6.0,7,7,ITA,4.0,FELUGO M,10 - 7,69,ITA,1:09
Time-Out,10,,7,7,ITA,4.0,,10 - 7,52,CRO,0:52
20 sec. exclusion in field,10,5.0,7,7,ITA,4.0,GIORGETTI A,10 - 7,42,ITA,0:42
Exclusion with substitution,10,5.0,7,7,ITA,4.0,GIORGETTI A,10 - 7,42,ITA,0:42
20 sec. exclusion in centre,10,12.0,7,7,ITA,3.0,OBRADOVIC P,10 - 7,464,CRO,7:44
Extra player shot - Blocked,10,4.0,7,7,ITA,3.0,FIGLIOLI P,10 - 7,444,ITA,7:24
Turnover foul,10,9.0,7,7,ITA,3.0,SUKNO S,10 - 7,420,CRO,7:00
20 sec. exclusion in centre,10,5.0,7,7,ITA,3.0,JOKOVIC M,10 - 7,412,CRO,6:52
Exclusion with substitution,10,9.0,7,7,ITA,3.0,SUKNO S,10 - 7,405,CRO,6:45
Exclusion with substitution,10,2.0,7,7,ITA,3.0,PEREZ A,10 - 7,405,ITA,6:45
Action shot - Saved,10,9.0,7,7,ITA,3.0,PRESCIUTTI C,10 - 7,387,ITA,6:27
20 sec. exclusion in field,10,5.0,7,7,ITA,3.0,JOKOVIC M,10 - 7,376,CRO,6:16
Extra player shot - Goal,8,5.0,7,4,ITA,3.0,GIORGETTI A,8 - 4,374,ITA,6:14
Exclusion with substitution,8,8.0,7,4,ITA,3.0,BUSLJE A,8 - 4,364,CRO,6:04
20 sec. exclusion in field,8,4.0,7,4,ITA,3.0,FIGLIOLI P,8 - 4,358,ITA,5:58
Action shot - Post,8,5.0,7,4,ITA,3.0,JOKOVIC M,8 - 4,334,CRO,5:34
Turnover foul,8,3.0,7,4,ITA,3.0,GITTO N,8 - 4,314,ITA,5:14
Steal,8,10.0,7,4,ITA,3.0,DOBUD N,8 - 4,314,CRO,5:14
Action shot - Saved,8,7.0,7,4,ITA,3.0,MUSLIM P,8 - 4,286,CRO,4:46
20 sec. exclusion in field,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,286,CRO,4:46
Turnover foul,8,8.0,7,4,ITA,3.0,GALLO V,8 - 4,257,ITA,4:17
Steal,8,7.0,7,4,ITA,3.0,MUSLIM P,8 - 4,257,CRO,4:17
20 sec. exclusion in field,8,8.0,7,4,ITA,3.0,GALLO V,8 - 4,247,ITA,4:07
Time-Out,8,,7,4,ITA,3.0,,8 - 4,247,CRO,4:07
20 sec. exclusion in field,8,5.0,7,4,ITA,3.0,GIORGETTI A,8 - 4,230,ITA,3:50
Turnover foul,8,5.0,7,4,ITA,3.0,JOKOVIC M,8 - 4,218,CRO,3:38
Steal,8,12.0,7,4,ITA,3.0,NAPOLITANO C,8 - 4,218,ITA,3:38
20 sec. exclusion in field,8,11.0,7,4,ITA,3.0,SETKA A,8 - 4,217,CRO,3:37
Action shot - Post,8,3.0,7,4,ITA,3.0,GITTO N,8 - 4,189,ITA,3:09
Action shot - Missed,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,162,CRO,2:42
Turnover foul,8,9.0,7,4,ITA,3.0,PRESCIUTTI C,8 - 4,144,ITA,2:24
Steal,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,144,CRO,2:24
5m shot - Saved,8,12.0,7,4,ITA,3.0,OBRADOVIC P,8 - 4,119,CRO,1:59
Action shot - Saved,8,4.0,7,4,ITA,3.0,FIGLIOLI P,8 - 4,103,ITA,1:43
20 sec. exclusion in centre,8,4.0,7,4,ITA,3.0,FIGLIOLI P,8 - 4,83,ITA,1:23
Exclusion with substitution,8,4.0,7,4,ITA,3.0,FIGLIOLI P,8 - 4,83,ITA,1:23
Action shot - Goal,9,5.0,7,4,ITA,3.0,JOKOVIC M,9 - 4,72,CRO,1:12
Turnover foul,9,11.0,7,4,ITA,3.0,AICARDI M,9 - 4,62,ITA,1:02
Turnover foul,9,12.0,7,4,ITA,3.0,OBRADOVIC P,9 - 4,46,CRO,0:46
Action shot - Goal,9,9.0,7,5,ITA,3.0,PRESCIUTTI C,9 - 5,21,ITA,0:21
Turnover foul,9,10.0,7,5,ITA,3.0,DOBUD N,9 - 5,8,CRO,0:08
Starting goalkeeper,9,1.0,7,5,ITA,4.0,PAVIC J,9 - 5,480,CRO,8:00
Starting goalkeeper,9,1.0,7,5,ITA,4.0,TEMPESTI S,9 - 5,480,ITA,8:00
Sprint won possession,9,10.0,7,5,ITA,4.0,FIORENTINI D,9 - 5,480,ITA,8:00
20 sec. exclusion in centre,9,3.0,7,5,ITA,4.0,MILAKOVIC I,9 - 5,465,CRO,7:45
