Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,5.0,7,2,13,GRE,4.0,HOY A,7 - 13,102,GBR,1:42
Turnover foul,12.0,7,2,13,GRE,4.0,BENEKOU A,7 - 13,78,GRE,1:18
5m shot - Saved,3.0,7,2,13,GRE,4.0,McCANN F,7 - 13,56,GBR,0:56
5m shot - Saved,4.0,7,2,13,GRE,4.0,GIBSON-BYRNE C,7 - 13,3,GBR,0:03
Starting goalkeeper,13.0,0,3,0,USA,1.0,ANAE T,0 - 0,480,USA,8:00
Starting goalkeeper,1.0,0,3,0,USA,1.0,MORRIS R,0 - 0,480,GBR,8:00
Sprint won possession,2.0,0,3,0,USA,1.0,WILCOX C,0 - 0,480,GBR,8:00
Turnover foul,7.0,0,3,0,USA,1.0,GIBSON L,0 - 0,468,GBR,7:48
Steal,12.0,0,3,0,USA,1.0,CRAIG K,0 - 0,468,USA,7:48
Action shot - Goal,5.0,0,3,1,USA,1.0,CLARK C,1 - 0,445,USA,7:25
Action shot - Goal,2.0,0,3,2,USA,1.0,SILVER L,2 - 0,399,USA,6:39
Action shot - Post,4.0,0,3,2,USA,1.0,GIBSON-BYRNE C,2 - 0,372,GBR,6:12
Turnover foul,12.0,0,3,2,USA,1.0,CRAIG K,2 - 0,341,USA,5:41
Steal,8.0,0,3,2,USA,1.0,MUSGROVE H,2 - 0,341,GBR,5:41
Turnover foul,7.0,0,3,2,USA,1.0,GIBSON L,2 - 0,325,GBR,5:25
Counter attack - Goal,12.0,0,3,3,USA,1.0,CRAIG K,3 - 0,318,USA,5:18
Turnover foul,4.0,0,3,3,USA,1.0,GIBSON-BYRNE C,3 - 0,297,GBR,4:57
Action shot - Saved,8.0,0,3,3,USA,1.0,NEUSHUL K,3 - 0,270,USA,4:30
Action shot - Goal,9.0,0,3,4,USA,1.0,KRAUS J,4 - 0,250,USA,4:10
Action shot - Missed,6.0,0,3,4,USA,1.0,NIXON C,4 - 0,222,GBR,3:42
20 sec. exclusion in centre,6.0,0,3,4,USA,1.0,NIXON C,4 - 0,203,GBR,3:23
Extra player shot - Saved,3.0,0,3,4,USA,1.0,SEIDEMANN M,4 - 0,183,USA,3:03
Action shot - Saved,6.0,0,3,4,USA,1.0,NIXON C,4 - 0,155,GBR,2:35
Action shot - Blocked,6.0,0,3,4,USA,1.0,STEFFENS M,4 - 0,127,USA,2:07
Action shot - Saved,5.0,0,3,4,USA,1.0,HOY A,4 - 0,98,GBR,1:38
Turnover foul,11.0,0,3,4,USA,1.0,DRIES A,4 - 0,71,USA,1:11
Steal,5.0,0,3,4,USA,1.0,HOY A,4 - 0,71,GBR,1:11
Action shot - Missed,11.0,0,3,4,USA,1.0,CLAYTON F,4 - 0,48,GBR,0:48
Turnover foul,6.0,0,3,4,USA,1.0,STEFFENS M,4 - 0,34,USA,0:34
Steal,10.0,0,3,4,USA,1.0,WINSTANLEY-SMITH A,4 - 0,34,GBR,0:34
Action shot - Saved,12.0,0,3,4,USA,1.0,FOWLER K,4 - 0,10,GBR,0:10
5m shot - Missed,3.0,0,3,4,USA,1.0,SEIDEMANN M,4 - 0,1,USA,0:01
Starting goalkeeper,13.0,0,3,4,USA,2.0,SMITH J,4 - 0,480,GBR,8:00
