Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,3.0,0,1,0,RUS,1.0,PROKOFYEVA E,0 - 0,414,RUS,6:54,Saved,0
Centre shot,4.0,0,1,1,RUS,1.0,KARIMOVA E,1 - 0,409,RUS,6:49,Goal,1
5m shot,5.0,0,1,1,RUS,1.0,GUILLET L,1 - 0,387,FRA,6:27,Saved,0
Centre shot,4.0,0,1,2,RUS,1.0,KARIMOVA E,2 - 0,369,RUS,6:09,Goal,1
5m shot,5.0,1,1,2,RUS,1.0,GUILLET L,2 - 1,340,FRA,5:40,Goal,1
Centre shot,3.0,1,1,3,RUS,1.0,PROKOFYEVA E,3 - 1,318,RUS,5:18,Goal,1
Action shot,6.0,1,1,3,RUS,1.0,MAHIEU G,3 - 1,294,FRA,4:54,Missed,0
Centre shot,11.0,1,1,3,RUS,1.0,IVANOVA E,3 - 1,249,RUS,4:09,Post,0
Action shot,6.0,1,1,3,RUS,1.0,MAHIEU G,3 - 1,207,FRA,3:27,Missed,0
Penalty shot,11.0,1,1,4,RUS,1.0,IVANOVA E,4 - 1,191,RUS,3:11,Goal,1
Action shot,3.0,1,1,4,RUS,1.0,BACHELIER L,4 - 1,166,FRA,2:46,Missed,0
Action shot,8.0,1,1,4,RUS,1.0,ABDRIZIAKOVA E,4 - 1,144,RUS,2:24,Post,0
Action shot,7.0,1,1,5,RUS,1.0,LISUNOVA E,5 - 1,124,RUS,2:04,Goal,1
Action shot,5.0,1,1,5,RUS,1.0,GUILLET L,5 - 1,83,FRA,1:23,Saved,0
Centre shot,10.0,1,1,5,RUS,1.0,TANKEEVA E,5 - 1,63,RUS,1:03,Saved,0
Action shot,4.0,1,1,5,RUS,1.0,KARIMOVA E,5 - 1,22,RUS,0:22,Post,0
5m shot,11.0,1,1,5,RUS,2.0,IVANOVA E,5 - 1,464,RUS,7:44,Post,0
5m shot,12.0,1,1,5,RUS,2.0,IARONDAIKINA N,5 - 1,444,RUS,7:24,Post,0
Action shot,5.0,1,1,5,RUS,2.0,GUILLET L,5 - 1,416,FRA,6:56,Saved,0
5m shot,9.0,1,1,6,RUS,2.0,TIMOFEEVA A,6 - 1,393,RUS,6:33,Goal,1
Action shot,2.0,1,1,7,RUS,2.0,ZUBKOVA T,7 - 1,366,RUS,6:06,Goal,1
Action shot,12.0,1,1,7,RUS,2.0,JASKOVA M,7 - 1,317,FRA,5:17,Post,0
Centre shot,5.0,1,1,7,RUS,2.0,GUILLET L,7 - 1,301,FRA,5:01,Saved,0
Extra player shot,6.0,1,1,8,RUS,2.0,SIMANOVICH A,8 - 1,281,RUS,4:41,Goal,1
Action shot,6.0,1,1,8,RUS,2.0,MAHIEU G,8 - 1,267,FRA,4:27,Missed,0
5m shot,8.0,1,1,8,RUS,2.0,TARDY M,8 - 1,176,FRA,2:56,Post,0
Action shot,5.0,1,1,8,RUS,2.0,GUILLET L,8 - 1,127,FRA,2:07,Saved,0
