Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,4,3,10,GRE,3.0,OKAWA K,10 - 3,387,JPN,6:27,Blocked,0
Centre shot,9.0,4,3,11,GRE,3.0,MOURIKIS K,11 - 3,366,GRE,6:06,Goal,1
Action shot,12.0,4,3,12,GRE,3.0,VLACHOPOULOS A,12 - 3,314,GRE,5:14,Goal,1
Extra player shot,5.0,4,3,12,GRE,3.0,YOSHIDA T,12 - 3,276,JPN,4:36,Blocked,0
5m shot,2.0,4,3,12,GRE,3.0,GENIDOUNIAS K,12 - 3,247,GRE,4:07,Blocked,0
Centre shot,10.0,4,3,12,GRE,3.0,KOLOMVOS C,12 - 3,200,GRE,3:20,Missed,0
5m shot,2.0,4,3,12,GRE,3.0,GENIDOUNIAS K,12 - 3,159,GRE,2:39,Saved,0
Action shot,11.0,4,3,12,GRE,3.0,GOUNAS A,12 - 3,134,GRE,2:14,Saved,0
5m shot,4.0,4,4,12,GRE,3.0,SHIGA M,12 - 4,117,JPN,1:57,Goal,1
Extra player shot,6.0,4,4,12,GRE,3.0,IIDA A,12 - 4,79,JPN,1:19,Saved,0
5m shot,2.0,4,4,12,GRE,3.0,GENIDOUNIAS K,12 - 4,24,GRE,0:24,Saved,0
Centre shot,8.0,4,4,12,GRE,3.0,ARGYROPOULOS KANAK,12 - 4,9,GRE,0:09,Missed,0
5m shot,11.0,4,4,12,GRE,4.0,OKAWA K,12 - 4,416,JPN,6:56,Blocked,0
Extra player shot,12.0,4,4,13,GRE,4.0,VLACHOPOULOS A,13 - 4,345,GRE,5:45,Goal,1
Penalty shot,11.0,4,4,14,GRE,4.0,GOUNAS A,14 - 4,307,GRE,5:07,Goal,1
Extra player shot,8.0,4,4,14,GRE,4.0,TAKATA M,14 - 4,281,JPN,4:41,Blocked,0
5m shot,8.0,4,4,14,GRE,4.0,TAKATA M,14 - 4,189,JPN,3:09,Missed,0
5m shot,3.0,4,4,14,GRE,4.0,DELAKAS E,14 - 4,118,GRE,1:58,Saved,0
Action shot,9.0,4,4,14,GRE,4.0,MOURIKIS K,14 - 4,37,GRE,0:37,Saved,0
5m shot,9.0,4,4,14,GRE,4.0,MOURIKIS K,14 - 4,11,GRE,0:11,Post,0
Centre shot,2.0,5,0,0,BRA,1.0,ADACHI S,0 - 0,458,JPN,7:38,Saved,0
Action shot,7.0,5,0,1,BRA,1.0,STELLET P,1 - 0,435,BRA,7:15,Goal,1
5m shot,7.0,5,0,1,BRA,1.0,SHIMIZU Y,1 - 0,370,JPN,6:10,Saved,0
Centre shot,4.0,5,0,1,BRA,1.0,COUTINHO G,1 - 0,341,BRA,5:41,Saved,0
Action shot,4.0,5,0,1,BRA,1.0,SHIGA M,1 - 0,322,JPN,5:22,Saved,0
Extra player shot,2.0,5,1,1,BRA,1.0,ADACHI S,1 - 1,278,JPN,4:38,Goal,1
Penalty shot,2.0,5,2,1,BRA,1.0,ADACHI S,1 - 2,235,JPN,3:55,Goal,1
Extra player shot,8.0,5,3,1,BRA,1.0,TAKATA M,1 - 3,181,JPN,3:01,Goal,1
Penalty shot,2.0,5,3,1,BRA,1.0,ADACHI S,1 - 3,140,JPN,2:20,Saved,0
Counter attack,12.0,5,3,1,BRA,1.0,ARAKI K,1 - 3,101,JPN,1:41,Saved,0
5m shot,11.0,5,3,1,BRA,1.0,GUIMARAES G,1 - 3,73,BRA,1:13,Post,0
Action shot,8.0,5,3,1,BRA,1.0,TAKATA M,1 - 3,59,JPN,0:59,Saved,0
5m shot,5.0,5,3,1,BRA,1.0,YOSHIDA T,1 - 3,48,JPN,0:48,Saved,0
Action shot,4.0,5,3,1,BRA,1.0,COUTINHO G,1 - 3,19,BRA,0:19,Saved,0
5m shot,2.0,5,3,1,BRA,1.0,ADACHI S,1 - 3,1,JPN,0:01,Saved,0
Action shot,11.0,5,3,1,BRA,2.0,GUIMARAES G,1 - 3,397,BRA,6:37,Saved,0
Action shot,4.0,5,3,2,BRA,2.0,COUTINHO G,2 - 3,347,BRA,5:47,Goal,1
5m shot,11.0,5,3,2,BRA,2.0,OKAWA K,2 - 3,324,JPN,5:24,Post,0
