Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3.0,5,5,3,HUN,2.0,DIAMANTOPOULOU V,3 - 5,172,GRE,2:52,Saved,0
Action shot,4.0,5,5,3,HUN,2.0,GURISATTI G,3 - 5,156,HUN,2:36,Post,0
5m shot,5.0,5,5,3,HUN,2.0,SZUCS G,3 - 5,132,HUN,2:12,Saved,0
Extra player shot,6.0,9,5,10,HUN,4.0,AVRAMIDOU A,10 - 9,156,GRE,2:36,Goal,1
Action shot,3.0,9,5,10,HUN,4.0,ANTAL D,10 - 9,128,HUN,2:08,Blocked,0
5m shot,8.0,9,5,10,HUN,4.0,KESZTHELYI R,10 - 9,110,HUN,1:50,Missed,0
Centre shot,12.0,6,5,3,HUN,2.0,XENAKI E,3 - 6,104,GRE,1:44,Goal,1
5m shot,8.0,6,5,3,HUN,2.0,KESZTHELYI R,3 - 6,88,HUN,1:28,Saved,0
5m shot,8.0,6,5,3,HUN,2.0,KESZTHELYI R,3 - 6,75,HUN,1:15,Saved,0
Action shot,3.0,6,5,3,HUN,2.0,DIAMANTOPOULOU V,3 - 6,45,GRE,0:45,Blocked,0
Action shot,10.0,6,5,3,HUN,2.0,MANOLIOUDAKI T,3 - 6,23,GRE,0:23,Saved,0
Extra player shot,10.0,6,5,3,HUN,3.0,BUJKA B,3 - 6,461,HUN,7:41,Saved,0
Extra player shot,6.0,6,5,4,HUN,3.0,TAKACS O,4 - 6,419,HUN,6:59,Goal,1
Action shot,6.0,6,5,4,HUN,3.0,AVRAMIDOU A,4 - 6,394,GRE,6:34,Blocked,0
Action shot,2.0,6,5,4,HUN,3.0,CZIGANY D,4 - 6,374,HUN,6:14,Saved,0
Action shot,12.0,6,5,5,HUN,3.0,SZILAGYI D,5 - 6,346,HUN,5:46,Goal,1
Action shot,10.0,6,5,5,HUN,3.0,MANOLIOUDAKI T,5 - 6,322,GRE,5:22,Saved,0
Action shot,10.0,6,5,5,HUN,3.0,MANOLIOUDAKI T,5 - 6,278,GRE,4:38,Saved,0
5m shot,6.0,6,5,5,HUN,3.0,TAKACS O,5 - 6,249,HUN,4:09,Post,0
Penalty shot,8.0,6,5,6,HUN,3.0,KESZTHELYI R,6 - 6,231,HUN,3:51,Goal,1
Action shot,3.0,6,5,6,HUN,3.0,DIAMANTOPOULOU V,6 - 6,215,GRE,3:35,Saved,0
Action shot,5.0,6,5,6,HUN,3.0,SZUCS G,6 - 6,186,HUN,3:06,Blocked,0
5m shot,3.0,6,5,6,HUN,3.0,DIAMANTOPOULOU V,6 - 6,120,GRE,2:00,Missed,0
Counter attack,4.0,6,5,7,HUN,3.0,GURISATTI G,7 - 6,111,HUN,1:51,Goal,1
Extra player shot,7.0,6,5,7,HUN,3.0,ASIMAKI A,7 - 6,75,GRE,1:15,Saved,0
5m shot,5.0,6,5,8,HUN,3.0,SZUCS G,8 - 6,50,HUN,0:50,Goal,1
5m shot,5.0,6,5,8,HUN,4.0,SZUCS G,8 - 6,453,HUN,7:33,Blocked,0
Action shot,11.0,6,5,8,HUN,4.0,PLEVRITOU E,8 - 6,424,GRE,7:04,Missed,0
5m shot,12.0,6,5,9,HUN,4.0,SZILAGYI D,9 - 6,395,HUN,6:35,Goal,1
Action shot,6.0,7,5,9,HUN,4.0,AVRAMIDOU A,9 - 7,377,GRE,6:17,Goal,1
Action shot,12.0,7,5,9,HUN,4.0,XENAKI E,9 - 7,334,GRE,5:34,Saved,0
Action shot,5.0,7,5,9,HUN,4.0,SZUCS G,9 - 7,284,HUN,4:44,Missed,0
Action shot,12.0,7,5,9,HUN,4.0,SZILAGYI D,9 - 7,247,HUN,4:07,Blocked,0
Action shot,11.0,8,5,9,HUN,4.0,PLEVRITOU E,9 - 8,220,GRE,3:40,Goal,1
Action shot,8.0,8,5,10,HUN,4.0,KESZTHELYI R,10 - 8,197,HUN,3:17,Goal,1
5m shot,10.0,8,5,10,HUN,4.0,MANOLIOUDAKI T,10 - 8,43,GRE,0:43,Missed,0
5m shot,8.0,8,5,10,HUN,4.0,KESZTHELYI R,10 - 8,16,HUN,0:16,Blocked,0
5m shot,4.0,8,5,10,HUN,4.0,ELEFTHERIADOU N,10 - 8,1,GRE,0:01,Blocked,0
5m shot,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,454,GRE,7:34,Saved,0
5m shot,11.0,0,6,0,AUS,1.0,PLEVRITOU E,0 - 0,423,GRE,7:03,Missed,0
5m shot,7.0,0,6,0,AUS,1.0,WEBSTER R,0 - 0,394,AUS,6:34,Saved,0
Centre shot,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,304,GRE,5:04,Saved,0
Action shot,5.0,0,6,0,AUS,1.0,BISHOP I,0 - 0,289,AUS,4:49,Post,0
Centre shot,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,246,GRE,4:06,Post,0
Extra player shot,2.0,0,6,0,AUS,1.0,GOFERS K,0 - 0,207,AUS,3:27,Post,0
Action shot,2.0,0,6,0,AUS,1.0,TSOUKALA C,0 - 0,146,GRE,2:26,Saved,0
Centre shot,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,114,GRE,1:54,Saved,0
Extra player shot,3.0,1,6,0,AUS,1.0,DIAMANTOPOULOU V,0 - 1,99,GRE,1:39,Goal,1
Counter attack,9.0,1,6,0,AUS,1.0,ARANCINI Z,0 - 1,26,AUS,0:26,Saved,0
5m shot,9.0,1,6,0,AUS,2.0,ARANCINI Z,0 - 1,402,AUS,6:42,Saved,0
Centre shot,12.0,2,6,0,AUS,2.0,XENAKI E,0 - 2,325,GRE,5:25,Goal,1
Extra player shot,12.0,2,6,0,AUS,2.0,XENAKI E,0 - 2,266,GRE,4:26,Saved,0
Action shot,11.0,2,6,1,AUS,2.0,BAXTER M,1 - 2,221,AUS,3:41,Goal,1
Centre shot,7.0,2,6,1,AUS,2.0,ASIMAKI A,1 - 2,196,GRE,3:16,Saved,0
Action shot,3.0,2,6,1,AUS,2.0,BUCKLING H,1 - 2,176,AUS,2:56,Saved,0
Penalty shot,2.0,3,6,1,AUS,2.0,TSOUKALA C,1 - 3,154,GRE,2:34,Goal,1
Action shot,4.0,3,6,1,AUS,2.0,ELEFTHERIADOU N,1 - 3,114,GRE,1:54,Saved,0
Action shot,9.0,3,6,1,AUS,2.0,ARANCINI Z,1 - 3,87,AUS,1:27,Blocked,0
Action shot,6.0,4,6,1,AUS,2.0,AVRAMIDOU A,1 - 4,48,GRE,0:48,Goal,1
Action shot,2.0,5,6,1,AUS,2.0,TSOUKALA C,1 - 5,3,GRE,0:03,Goal,1
5m shot,5.0,5,6,1,AUS,2.0,BISHOP I,1 - 5,1,AUS,0:01,Blocked,0
Action shot,2.0,5,6,1,AUS,3.0,GOFERS K,1 - 5,395,AUS,6:35,Missed,0
Extra player shot,7.0,5,6,1,AUS,3.0,WEBSTER R,1 - 5,347,AUS,5:47,Missed,0
5m shot,3.0,6,6,1,AUS,3.0,DIAMANTOPOULOU V,1 - 6,325,GRE,5:25,Goal,1
Action shot,9.0,6,6,1,AUS,3.0,ARANCINI Z,1 - 6,296,AUS,4:56,Saved,0
Action shot,3.0,6,6,2,AUS,3.0,BUCKLING H,2 - 6,245,AUS,4:05,Goal,1
5m shot,9.0,7,6,2,AUS,3.0,KOTSIA C,2 - 7,222,GRE,3:42,Goal,1
Action shot,9.0,7,6,2,AUS,3.0,ARANCINI Z,2 - 7,197,AUS,3:17,Post,0
5m shot,2.0,8,6,2,AUS,3.0,TSOUKALA C,2 - 8,150,GRE,2:30,Goal,1
Action shot,5.0,8,6,3,AUS,3.0,BISHOP I,3 - 8,129,AUS,2:09,Goal,1
Extra player shot,12.0,8,6,3,AUS,3.0,XENAKI E,3 - 8,85,GRE,1:25,Missed,0
Action shot,12.0,8,6,4,AUS,3.0,STEERE M,4 - 8,68,AUS,1:08,Goal,1
Extra player shot,11.0,8,6,4,AUS,3.0,PLEVRITOU E,4 - 8,35,GRE,0:35,Saved,0
