Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Centre shot - Saved,7.0,0,6,0,AUS,1.0,ASIMAKI A,0 - 0,114,GRE,1:54
20 sec. exclusion in field,4.0,0,6,0,AUS,1.0,HALLIGAN B,0 - 0,111,AUS,1:51
Time-Out,,0,6,0,AUS,1.0,,0 - 0,111,GRE,1:51
Extra player shot - Goal,3.0,1,6,0,AUS,1.0,DIAMANTOPOULOU V,0 - 1,99,GRE,1:39
Turnover foul,11.0,1,6,0,AUS,1.0,PLEVRITOU E,0 - 1,41,GRE,0:41
Steal,2.0,1,6,0,AUS,1.0,GOFERS K,0 - 1,41,AUS,0:41
Counter attack - Saved,9.0,1,6,0,AUS,1.0,ARANCINI Z,0 - 1,26,AUS,0:26
Turnover foul,12.0,1,6,0,AUS,1.0,XENAKI E,0 - 1,1,GRE,0:01
Steal,3.0,1,6,0,AUS,1.0,BUCKLING H,0 - 1,1,AUS,0:01
Starting goalkeeper,1.0,1,6,0,AUS,2.0,YANITSAS L,0 - 1,480,AUS,8:00
Starting goalkeeper,13.0,1,6,0,AUS,2.0,DIAMANTOPOULOU C,0 - 1,480,GRE,8:00
Sprint won possession,2.0,1,6,0,AUS,2.0,GOFERS K,0 - 1,480,AUS,8:00
Turnover foul,12.0,1,6,0,AUS,2.0,XENAKI E,0 - 1,429,GRE,7:09
5m shot - Saved,9.0,1,6,0,AUS,2.0,ARANCINI Z,0 - 1,402,AUS,6:42
Turnover foul,12.0,1,6,0,AUS,2.0,XENAKI E,0 - 1,375,GRE,6:15
Turnover foul,2.0,1,6,0,AUS,2.0,GOFERS K,0 - 1,353,AUS,5:53
Steal,6.0,1,6,0,AUS,2.0,AVRAMIDOU A,0 - 1,353,GRE,5:53
Centre shot - Goal,12.0,2,6,0,AUS,2.0,XENAKI E,0 - 2,325,GRE,5:25
20 sec. exclusion in centre,6.0,2,6,0,AUS,2.0,RIDGE A,0 - 2,281,AUS,4:41
Extra player shot - Saved,12.0,2,6,0,AUS,2.0,XENAKI E,0 - 2,266,GRE,4:26
20 sec. exclusion in field,8.0,2,6,0,AUS,2.0,CHYDIRIOTI I,0 - 2,250,GRE,4:10
Action shot - Goal,11.0,2,6,1,AUS,2.0,BAXTER M,1 - 2,221,AUS,3:41
Centre shot - Saved,7.0,2,6,1,AUS,2.0,ASIMAKI A,1 - 2,196,GRE,3:16
Action shot - Saved,3.0,2,6,1,AUS,2.0,BUCKLING H,1 - 2,176,AUS,2:56
Double exclusion,2.0,2,6,1,AUS,2.0,GOFERS K,1 - 2,161,AUS,2:41
Double exclusion,11.0,2,6,1,AUS,2.0,PLEVRITOU E,1 - 2,161,GRE,2:41
Penalty foul,12.0,2,6,1,AUS,2.0,STEERE M,1 - 2,154,AUS,2:34
Penalty shot - Goal,2.0,3,6,1,AUS,2.0,TSOUKALA C,1 - 3,154,GRE,2:34
Turnover foul,5.0,3,6,1,AUS,2.0,BISHOP I,1 - 3,135,AUS,2:15
Steal,3.0,3,6,1,AUS,2.0,DIAMANTOPOULOU V,1 - 3,135,GRE,2:15
Action shot - Saved,4.0,3,6,1,AUS,2.0,ELEFTHERIADOU N,1 - 3,114,GRE,1:54
Action shot - Blocked,9.0,3,6,1,AUS,2.0,ARANCINI Z,1 - 3,87,AUS,1:27
20 sec. exclusion in field,5.0,3,6,1,AUS,2.0,BISHOP I,1 - 3,74,AUS,1:14
Time-Out,,3,6,1,AUS,2.0,,1 - 3,74,GRE,1:14
Yellow card,,3,6,1,AUS,2.0,Team Official,1 - 3,74,AUS,1:14
