Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,4,8,NED,3.0,IVANOVA E,10,8 - 10,49,RUS,0:49,Goal,1
Extra player shot,11.0,4,8,NED,3.0,KLAASSEN L,10,8 - 10,15,NED,0:15,Saved,0
Action shot,11.0,4,8,NED,4.0,KLAASSEN L,10,8 - 10,433,NED,7:13,Saved,0
Action shot,9.0,4,8,NED,4.0,MEGENS M,10,8 - 10,389,NED,6:29,Saved,0
Centre shot,5.0,4,8,NED,4.0,BORISOVA M,10,8 - 10,345,RUS,5:45,Missed,0
Penalty shot,11.0,4,9,NED,4.0,KLAASSEN L,10,9 - 10,328,NED,5:28,Goal,1
5m shot,5.0,4,9,NED,4.0,BORISOVA M,10,9 - 10,304,RUS,5:04,Missed,0
Extra player shot,4.0,4,9,NED,4.0,KARIMOVA E,11,9 - 11,236,RUS,3:56,Goal,1
Extra player shot,3.0,4,9,NED,4.0,GENEE D,11,9 - 11,208,NED,3:28,Saved,0
Action shot,9.0,4,10,NED,4.0,MEGENS M,11,10 - 11,200,NED,3:20,Goal,1
Action shot,RUS 12,4,10,NED,4.0,RYZHKOVA D,11,10 - 11,52,,0:52,Saved,0
5m shot,NED 11,4,10,NED,4.0,KLAASSEN L,11,10 - 11,6,,0:06,Missed,0
Action shot,10.0,5,0,ITA,1.0,TOLKUNOVA T,0,0 - 0,455,RUS,7:35,Blocked,0
Action shot,3.0,5,0,ITA,1.0,GARIBOTTI A,0,0 - 0,435,ITA,7:15,Post,0
Action shot,6.0,5,0,ITA,1.0,GORBUNOVA O,0,0 - 0,411,RUS,6:51,Saved,0
Action shot,12.0,5,0,ITA,1.0,RYZHKOVA D,0,0 - 0,399,RUS,6:39,Missed,0
5m shot,5.0,5,0,ITA,1.0,RADICCHI F,0,0 - 0,372,ITA,6:12,Saved,0
Action shot,3.0,5,0,ITA,1.0,GARIBOTTI A,0,0 - 0,353,ITA,5:53,Missed,0
Action shot,6.0,5,0,ITA,1.0,GORBUNOVA O,0,0 - 0,328,RUS,5:28,Saved,0
5m shot,9.0,5,0,ITA,1.0,EMMOLO G,0,0 - 0,301,ITA,5:01,Saved,0
Action shot,5.0,5,0,ITA,1.0,RADICCHI F,0,0 - 0,250,ITA,4:10,Missed,0
Action shot,12.0,5,0,ITA,1.0,RYZHKOVA D,0,0 - 0,235,RUS,3:55,Saved,0
5m shot,4.0,5,0,ITA,1.0,QUEIROLO E,0,0 - 0,206,ITA,3:26,Post,0
Action shot,7.0,5,0,ITA,1.0,SERZHANTOVA A,0,0 - 0,176,RUS,2:56,Post,0
Action shot,8.0,5,0,ITA,1.0,BIANCONI R,0,0 - 0,150,ITA,2:30,Saved,0
Action shot,7.0,5,0,ITA,1.0,SERZHANTOVA A,1,0 - 1,133,RUS,2:13,Goal,1
Action shot,10.0,5,0,ITA,1.0,PALMIERI V,1,0 - 1,106,ITA,1:46,Saved,0
Action shot,11.0,5,0,ITA,1.0,IVANOVA E,2,0 - 2,55,RUS,0:55,Goal,1
5m shot,9.0,5,0,ITA,1.0,EMMOLO G,2,0 - 2,32,ITA,0:32,Saved,0
Action shot,12.0,5,0,ITA,1.0,RYZHKOVA D,3,0 - 3,5,RUS,0:05,Goal,1
5m shot,2.0,5,0,ITA,1.0,TABANI C,3,0 - 3,1,ITA,0:01,Saved,0
Action shot,6.0,5,0,ITA,2.0,GORBUNOVA O,4,0 - 4,424,RUS,7:04,Goal,1
Extra player shot,9.0,5,1,ITA,2.0,EMMOLO G,4,1 - 4,385,ITA,6:25,Goal,1
5m shot,8.0,5,1,ITA,2.0,BIANCONI R,4,1 - 4,336,ITA,5:36,Blocked,0
5m shot,8.0,5,1,ITA,2.0,BIANCONI R,4,1 - 4,289,ITA,4:49,Missed,0
Action shot,7.0,5,1,ITA,2.0,SERZHANTOVA A,4,1 - 4,268,RUS,4:28,Post,0
5m shot,3.0,5,1,ITA,2.0,GARIBOTTI A,4,1 - 4,246,ITA,4:06,Post,0
