Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
3.0,1:26,Penalty foul,2 - 6,BRA,GUIMARAES R,6.0,2,6,86,4,AUS
3.0,1:26,Penalty shot - Post,2 - 6,AUS,FORD A,9.0,2,6,86,4,AUS
3.0,1:22,Time-Out,2 - 6,BRA,,,2,6,82,4,AUS
3.0,0:59,20 sec. exclusion in centre,2 - 6,AUS,GILCHRIST J,7.0,2,6,59,4,AUS
3.0,0:35,Action shot - Saved,2 - 6,BRA,GUIMARAES G,11.0,2,6,35,4,AUS
3.0,0:31,20 sec. exclusion in centre,2 - 6,AUS,YOUNGER A,8.0,2,6,31,4,AUS
3.0,0:15,20 sec. exclusion in centre,2 - 6,AUS,KAYES J,4.0,2,6,15,4,AUS
3.0,0:03,Extra player shot - Goal,3 - 6,BRA,GUIMARAES G,11.0,3,6,3,4,AUS
3.0,0:01,5m shot - Saved,3 - 6,AUS,YOUNGER A,8.0,3,6,1,4,AUS
4.0,8:00,Starting goalkeeper,3 - 6,BRA,SORO S,1.0,3,6,480,4,AUS
4.0,8:00,Starting goalkeeper,3 - 6,AUS,HRYSANTHOS A,13.0,3,6,480,4,AUS
4.0,8:00,Sprint won possession,3 - 6,AUS,GILCHRIST J,7.0,3,6,480,4,AUS
4.0,7:35,5m shot - Blocked,3 - 6,AUS,YOUNGER A,8.0,3,6,455,4,AUS
4.0,7:08,Turnover foul,3 - 6,BRA,ALMEIDA G,3.0,3,6,428,4,AUS
4.0,7:08,Steal,3 - 6,AUS,HOLLIS L,11.0,3,6,428,4,AUS
4.0,6:48,20 sec. exclusion in centre,3 - 6,BRA,ROCHA B,9.0,3,6,408,4,AUS
4.0,6:48,Exclusion with substitution,3 - 6,BRA,ROCHA B,9.0,3,6,408,4,AUS
4.0,6:30,Extra player shot - Blocked,3 - 6,AUS,FORD A,9.0,3,6,390,4,AUS
4.0,6:01,Action shot - Saved,3 - 6,BRA,SILVA L,5.0,3,6,361,4,AUS
4.0,5:32,5m shot - Blocked,3 - 6,AUS,YOUNGER A,8.0,3,6,332,4,AUS
4.0,5:05,Action shot - Post,3 - 6,BRA,ALMEIDA G,3.0,3,6,305,4,AUS
4.0,4:41,Turnover foul,3 - 6,AUS,EDWARDS L,6.0,3,6,281,4,AUS
4.0,4:41,Steal,3 - 6,BRA,SILVA L,5.0,3,6,281,4,AUS
4.0,4:16,Action shot - Saved,3 - 6,BRA,FREITAS R,12.0,3,6,256,4,AUS
4.0,3:58,Turnover foul,3 - 6,BRA,ALMEIDA G,3.0,3,6,238,4,AUS
4.0,3:58,Steal,3 - 6,AUS,HRYSANTHOS A,13.0,3,6,238,4,AUS
4.0,3:31,5m shot - Saved,3 - 6,AUS,HOLLIS L,11.0,3,6,211,4,AUS
4.0,2:38,20 sec. exclusion in centre,3 - 6,BRA,STELLET P,7.0,3,6,158,4,AUS
4.0,2:38,Time-Out,3 - 6,AUS,,,3,6,158,4,AUS
4.0,2:23,Extra player shot - Goal,3 - 7,AUS,KAYES J,4.0,3,7,143,4,AUS
4.0,1:58,Action shot - Saved,3 - 7,BRA,CARRULO H,10.0,3,7,118,4,AUS
4.0,1:32,5m shot - Missed,3 - 7,AUS,FORD A,9.0,3,7,92,4,AUS
4.0,1:10,Action shot - Blocked,3 - 7,BRA,CRUZ A,2.0,3,7,70,4,AUS
4.0,1:08,Time-Out,3 - 7,BRA,,,3,7,68,4,AUS
4.0,0:40,Turnover foul,3 - 7,BRA,CARRULO H,10.0,3,7,40,4,AUS
4.0,0:40,Steal,3 - 7,AUS,EDWARDS L,6.0,3,7,40,4,AUS
4.0,0:01,Action shot - Missed,3 - 7,BRA,ALMEIDA G,3.0,3,7,1,4,AUS
1.0,8:00,Starting goalkeeper,0 - 0,BRA,SORO S,1.0,0,0,480,5,JPN
1.0,8:00,Starting goalkeeper,0 - 0,JPN,TANAMURA K,1.0,0,0,480,5,JPN
1.0,8:00,Sprint won possession,0 - 0,JPN,ADACHI S,2.0,0,0,480,5,JPN
1.0,7:38,Centre shot - Saved,0 - 0,JPN,ADACHI S,2.0,0,0,458,5,JPN
1.0,7:15,Action shot - Goal,1 - 0,BRA,STELLET P,7.0,1,0,435,5,JPN
1.0,6:52,Turnover foul,1 - 0,JPN,SHIMIZU Y,7.0,1,0,412,5,JPN
1.0,6:52,Steal,1 - 0,BRA,FREITAS R,12.0,1,0,412,5,JPN
1.0,6:28,Turnover foul,1 - 0,BRA,STELLET P,7.0,1,0,388,5,JPN
1.0,6:10,5m shot - Saved,1 - 0,JPN,SHIMIZU Y,7.0,1,0,370,5,JPN
1.0,5:41,Centre shot - Saved,1 - 0,BRA,COUTINHO G,4.0,1,0,341,5,JPN
1.0,5:22,Action shot - Saved,1 - 0,JPN,SHIGA M,4.0,1,0,322,5,JPN
1.0,4:50,Turnover foul,1 - 0,BRA,GUIMARAES G,11.0,1,0,290,5,JPN
1.0,4:50,Steal,1 - 0,JPN,TANAMURA K,1.0,1,0,290,5,JPN
1.0,4:40,20 sec. exclusion in centre,1 - 0,BRA,ROCHA B,9.0,1,0,280,5,JPN
1.0,4:38,Extra player shot - Goal,1 - 1,JPN,ADACHI S,2.0,1,1,278,5,JPN
1.0,3:55,Penalty foul,1 - 1,BRA,CRUZ A,2.0,1,1,235,5,JPN
1.0,3:55,Penalty shot - Goal,1 - 2,JPN,ADACHI S,2.0,1,2,235,5,JPN
1.0,3:32,Turnover foul,1 - 2,BRA,COUTINHO G,4.0,1,2,212,5,JPN
1.0,3:32,Steal,1 - 2,JPN,SHIGA M,4.0,1,2,212,5,JPN
1.0,3:16,20 sec. exclusion in centre,1 - 2,BRA,FREITAS R,12.0,1,2,196,5,JPN
1.0,3:01,Extra player shot - Goal,1 - 3,JPN,TAKATA M,8.0,1,3,181,5,JPN
1.0,2:43,Turnover foul,1 - 3,BRA,COUTINHO G,4.0,1,3,163,5,JPN
1.0,2:43,Steal,1 - 3,JPN,TANAMURA K,1.0,1,3,163,5,JPN
1.0,2:20,Penalty foul,1 - 3,BRA,ALMEIDA G,3.0,1,3,140,5,JPN
1.0,2:20,Penalty shot - Saved,1 - 3,JPN,ADACHI S,2.0,1,3,140,5,JPN
1.0,1:55,Turnover foul,1 - 3,BRA,CRUZ A,2.0,1,3,115,5,JPN
1.0,1:55,Steal,1 - 3,JPN,SHIGA M,4.0,1,3,115,5,JPN
1.0,1:41,Counter attack - Saved,1 - 3,JPN,ARAKI K,12.0,1,3,101,5,JPN
1.0,1:13,5m shot - Post,1 - 3,BRA,GUIMARAES G,11.0,1,3,73,5,JPN
1.0,0:59,Action shot - Saved,1 - 3,JPN,TAKATA M,8.0,1,3,59,5,JPN
1.0,0:48,5m shot - Saved,1 - 3,JPN,YOSHIDA T,5.0,1,3,48,5,JPN
1.0,0:39,Turnover foul,1 - 3,JPN,SHIGA M,4.0,1,3,39,5,JPN
1.0,0:39,Steal,1 - 3,BRA,SORO S,1.0,1,3,39,5,JPN
1.0,0:39,Time-Out,1 - 3,BRA,,,1,3,39,5,JPN
1.0,0:19,Action shot - Saved,1 - 3,BRA,COUTINHO G,4.0,1,3,19,5,JPN
1.0,0:01,5m shot - Saved,1 - 3,JPN,ADACHI S,2.0,1,3,1,5,JPN
2.0,8:00,Starting goalkeeper,1 - 3,BRA,SORO S,1.0,1,3,480,5,JPN
2.0,8:00,Starting goalkeeper,1 - 3,JPN,TANAMURA K,1.0,1,3,480,5,JPN
2.0,8:00,Sprint won possession,1 - 3,JPN,ADACHI S,2.0,1,3,480,5,JPN
2.0,7:55,Turnover foul,1 - 3,JPN,SHIMIZU Y,7.0,1,3,475,5,JPN
2.0,7:55,Steal,1 - 3,BRA,FREITAS R,12.0,1,3,475,5,JPN
2.0,7:26,Turnover foul,1 - 3,BRA,FREITAS R,12.0,1,3,446,5,JPN
2.0,7:26,Steal,1 - 3,JPN,TANAMURA K,1.0,1,3,446,5,JPN
2.0,7:06,Turnover foul,1 - 3,JPN,SHIMIZU Y,7.0,1,3,426,5,JPN
2.0,6:37,Action shot - Saved,1 - 3,BRA,GUIMARAES G,11.0,1,3,397,5,JPN
2.0,6:09,Turnover foul,1 - 3,JPN,SHIGA M,4.0,1,3,369,5,JPN
2.0,6:09,Steal,1 - 3,BRA,GUIMARAES G,11.0,1,3,369,5,JPN
