Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,4.0,4,8,3,RSA,3.0,LEWIS D,8 - 3,12,NZL,0:12,Goal,1
5m shot,3.0,4,8,3,RSA,3.0,PALEY K,8 - 3,0,RSA,0:00,Saved,0
Counter attack,10.0,4,8,3,RSA,4.0,DANCE L,8 - 3,458,NZL,7:38,Saved,0
Action shot,7.0,4,8,3,RSA,4.0,KAY K,8 - 3,444,RSA,7:24,Saved,0
5m shot,11.0,4,9,3,RSA,4.0,HUDSON K,9 - 3,322,NZL,5:22,Goal,1
Action shot,4.0,4,10,3,RSA,4.0,LEWIS D,10 - 3,280,NZL,4:40,Goal,1
Action shot,7.0,4,10,3,RSA,4.0,KAY K,10 - 3,234,RSA,3:54,Saved,0
Counter attack,4.0,4,10,3,RSA,4.0,LEWIS D,10 - 3,77,NZL,1:17,Saved,0
Action shot,7.0,4,10,3,RSA,4.0,KAY K,10 - 3,53,RSA,0:53,Saved,0
Action shot,8.0,4,10,3,RSA,4.0,LOPES DA SILVA C,10 - 3,37,NZL,0:37,Saved,0
Extra player shot,12.0,4,10,3,RSA,4.0,WHITE K,10 - 3,5,RSA,0:05,Post,0
Action shot,8.0,5,0,1,FRA,1.0,TARDY M,0 - 1,452,FRA,7:32,Goal,1
Action shot,2.0,5,0,1,FRA,1.0,LEWIS N,0 - 1,435,NZL,7:15,Saved,0
Action shot,2.0,5,0,1,FRA,1.0,MILLOT E,0 - 1,414,FRA,6:54,Missed,0
5m shot,6.0,5,0,1,FRA,1.0,LANDRY S,0 - 1,387,NZL,6:27,Saved,0
Action shot,12.0,5,0,1,FRA,1.0,MYLES J,0 - 1,375,NZL,6:15,Saved,0
5m shot,2.0,5,0,1,FRA,1.0,MILLOT E,0 - 1,345,FRA,5:45,Saved,0
5m shot,12.0,5,0,1,FRA,1.0,MYLES J,0 - 1,318,NZL,5:18,Blocked,0
5m shot,12.0,5,0,1,FRA,1.0,JASKOVA M,0 - 1,287,FRA,4:47,Blocked,0
5m shot,8.0,5,0,1,FRA,1.0,LOPES DA SILVA C,0 - 1,266,NZL,4:26,Saved,0
5m shot,3.0,5,0,1,FRA,1.0,BACHELIER L,0 - 1,236,FRA,3:56,Saved,0
Extra player shot,12.0,5,1,1,FRA,1.0,MYLES J,1 - 1,207,NZL,3:27,Goal,1
Action shot,2.0,5,1,1,FRA,1.0,MILLOT E,1 - 1,173,FRA,2:53,Saved,0
5m shot,10.0,5,1,1,FRA,1.0,DANCE L,1 - 1,139,NZL,2:19,Missed,0
Extra player shot,2.0,5,1,1,FRA,1.0,MILLOT E,1 - 1,104,FRA,1:44,Blocked,0
Action shot,10.0,5,1,1,FRA,1.0,DANCE L,1 - 1,82,NZL,1:22,Missed,0
5m shot,5.0,5,1,1,FRA,1.0,LEWIS S,1 - 1,66,NZL,1:06,Saved,0
5m shot,12.0,5,1,1,FRA,1.0,MYLES J,1 - 1,53,NZL,0:53,Post,0
5m shot,2.0,5,1,2,FRA,1.0,MILLOT E,1 - 2,27,FRA,0:27,Goal,1
5m shot,5.0,5,1,2,FRA,1.0,GUILLET L,1 - 2,0,FRA,0:00,Saved,0
Extra player shot,4.0,5,2,2,FRA,2.0,LEWIS D,2 - 2,449,NZL,7:29,Goal,1
Centre shot,8.0,5,2,2,FRA,2.0,LOPES DA SILVA C,2 - 2,394,NZL,6:34,Post,0
5m shot,7.0,5,2,2,FRA,2.0,BARBIEUX M,2 - 2,320,FRA,5:20,Missed,0
5m shot,9.0,5,2,2,FRA,2.0,STONEMAN E,2 - 2,291,NZL,4:51,Post,0
Action shot,6.0,5,2,3,FRA,2.0,MAHIEU G,2 - 3,267,FRA,4:27,Goal,1
5m shot,6.0,5,2,3,FRA,2.0,LANDRY S,2 - 3,243,NZL,4:03,Post,0
Action shot,10.0,5,3,3,FRA,2.0,DANCE L,3 - 3,237,NZL,3:57,Goal,1
Action shot,3.0,5,3,3,FRA,2.0,BACHELIER L,3 - 3,217,FRA,3:37,Missed,0
Action shot,2.0,5,3,3,FRA,2.0,MILLOT E,3 - 3,172,FRA,2:52,Post,0
5m shot,2.0,5,3,3,FRA,2.0,MILLOT E,3 - 3,119,FRA,1:59,Saved,0
5m shot,6.0,5,3,3,FRA,2.0,LANDRY S,3 - 3,97,NZL,1:37,Missed,0
Action shot,12.0,5,3,3,FRA,2.0,JASKOVA M,3 - 3,68,FRA,1:08,Post,0
Action shot,3.0,5,4,3,FRA,2.0,PATTISON S,4 - 3,14,NZL,0:14,Goal,1
5m shot,5.0,5,4,4,FRA,2.0,GUILLET L,4 - 4,1,FRA,0:01,Goal,1
Action shot,4.0,5,4,4,FRA,3.0,SACRE A,4 - 4,452,FRA,7:32,Saved,0
5m shot,8.0,5,4,4,FRA,3.0,LOPES DA SILVA C,4 - 4,384,NZL,6:24,Blocked,0
5m shot,2.0,5,4,5,FRA,3.0,MILLOT E,4 - 5,361,FRA,6:01,Goal,1
Action shot,5.0,5,4,5,FRA,3.0,GUILLET L,4 - 5,327,FRA,5:27,Saved,0
5m shot,2.0,5,4,5,FRA,3.0,MILLOT E,4 - 5,246,FRA,4:06,Missed,0
Extra player shot,3.0,5,4,5,FRA,3.0,BACHELIER L,4 - 5,185,FRA,3:05,Saved,0
5m shot,6.0,5,5,5,FRA,3.0,LANDRY S,5 - 5,173,NZL,2:53,Goal,1
5m shot,2.0,5,5,5,FRA,3.0,MILLOT E,5 - 5,126,FRA,2:06,Post,0
5m shot,6.0,5,5,5,FRA,3.0,LANDRY S,5 - 5,99,NZL,1:39,Blocked,0
