Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,2,1,9,ESP,2.0,,9 - 1,33,NZL,0:33
Turnover foul,12.0,2,1,9,ESP,2.0,MYLES J,9 - 1,21,NZL,0:21
Steal,4.0,2,1,9,ESP,2.0,LEITON P,9 - 1,21,ESP,0:21
5m shot - Saved,3.0,2,1,9,ESP,4.0,ESPAR A,9 - 1,121,ESP,2:01
5m shot - Goal,10.0,2,2,22,ESP,4.0,TARRAGO R,22 - 2,63,ESP,1:03
Turnover foul,3.0,2,2,22,ESP,4.0,PATTISON S,22 - 2,52,NZL,0:52
20 sec. exclusion in centre,3.0,2,2,22,ESP,4.0,PATTISON S,22 - 2,42,NZL,0:42
20 sec. exclusion in centre,8.0,2,2,22,ESP,2.0,LOPES DA SILVA C,22 - 2,9,NZL,0:09
Extra player shot - Goal,10.0,2,1,10,ESP,2.0,TARRAGO R,10 - 1,4,ESP,0:04
Starting goalkeeper,1.0,2,1,10,ESP,3.0,ESTER L,10 - 1,480,ESP,8:00
Starting goalkeeper,1.0,2,1,10,ESP,3.0,MILLAR B,10 - 1,480,NZL,8:00
Sprint won possession,6.0,2,1,10,ESP,3.0,PAREJA J,10 - 1,480,ESP,8:00
Action shot - Saved,6.0,2,1,10,ESP,3.0,PAREJA J,10 - 1,456,ESP,7:36
Turnover foul,11.0,2,1,10,ESP,3.0,HUDSON K,10 - 1,426,NZL,7:06
Steal,5.0,2,1,10,ESP,3.0,ORTIZ M,10 - 1,426,ESP,7:06
20 sec. exclusion in centre,12.0,2,1,10,ESP,3.0,MYLES J,10 - 1,415,NZL,6:55
Extra player shot - Saved,8.0,2,1,10,ESP,3.0,PENA P,10 - 1,395,ESP,6:35
5m shot - Saved,11.0,2,1,10,ESP,3.0,HUDSON K,10 - 1,367,NZL,6:07
20 sec. exclusion in centre,8.0,2,1,10,ESP,3.0,LOPES DA SILVA C,10 - 1,359,NZL,5:59
Centre shot - Goal,12.0,2,1,11,ESP,3.0,LOPEZ L,11 - 1,335,ESP,5:35
20 sec. exclusion in centre,5.0,2,1,11,ESP,3.0,ORTIZ M,11 - 1,310,ESP,5:10
Extra player shot - Goal,4.0,2,2,11,ESP,3.0,LEWIS D,11 - 2,297,NZL,4:57
5m shot - Missed,12.0,2,2,11,ESP,3.0,LOPEZ L,11 - 2,268,ESP,4:28
5m shot - Saved,11.0,2,2,11,ESP,3.0,HUDSON K,11 - 2,240,NZL,4:00
Centre shot - Goal,4.0,2,2,12,ESP,3.0,LEITON P,12 - 2,215,ESP,3:35
Goalkeeper substitution,13.0,2,2,12,ESP,3.0,HERRERA P,12 - 2,213,ESP,3:33
Turnover foul,4.0,2,2,12,ESP,3.0,LEWIS D,12 - 2,197,NZL,3:17
Steal,2.0,2,2,12,ESP,3.0,BACH M,12 - 2,197,ESP,3:17
Turnover foul,5.0,2,2,12,ESP,3.0,LEWIS S,12 - 2,188,NZL,3:08
Steal,2.0,2,2,12,ESP,3.0,BACH M,12 - 2,188,ESP,3:08
20 sec. exclusion in centre,5.0,2,2,12,ESP,3.0,LEWIS S,12 - 2,168,NZL,2:48
