AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
0,Centre shot,9.0,6,0,GRE,1.0,SWIFT J,0 - 0,453,AUS,7:33,Missed,0
0,Extra player shot,5.0,6,1,GRE,1.0,FOUNTOULIS I,1 - 0,411,GRE,6:51,Goal,1
0,Action shot,12.0,6,1,GRE,1.0,MILLER W,1 - 0,381,AUS,6:21,Blocked,0
0,Action shot,5.0,6,1,GRE,1.0,FOUNTOULIS I,1 - 0,356,GRE,5:56,Saved,0
1,Action shot,8.0,6,1,GRE,1.0,YOUNGER A,1 - 1,338,AUS,5:38,Goal,1
1,Extra player shot,8.0,6,2,GRE,1.0,DELAKAS E,2 - 1,304,GRE,5:04,Goal,1
1,Action shot,2.0,6,2,GRE,1.0,CAMPBELL R,2 - 1,276,AUS,4:36,Saved,0
1,Extra player shot,2.0,6,3,GRE,1.0,MYLONAKIS E,3 - 1,233,GRE,3:53,Goal,1
1,Action shot,11.0,6,3,GRE,1.0,HOWDEN R,3 - 1,203,AUS,3:23,Saved,0
1,Extra player shot,10.0,6,3,GRE,1.0,KOLOMVOS C,3 - 1,68,GRE,1:08,Saved,0
1,Action shot,6.0,6,3,GRE,1.0,GILCHRIST J,3 - 1,42,AUS,0:42,Missed,0
1,Action shot,12.0,6,3,GRE,1.0,VLACHOPOULOS A,3 - 1,14,GRE,0:14,Saved,0
2,Action shot,2.0,6,3,GRE,2.0,CAMPBELL R,3 - 2,457,AUS,7:37,Goal,1
2,Penalty shot,5.0,6,4,GRE,2.0,FOUNTOULIS I,4 - 2,434,GRE,7:14,Goal,1
3,Extra player shot,7.0,6,4,GRE,2.0,ROACH A,4 - 3,391,AUS,6:31,Goal,1
3,5m shot,8.0,6,5,GRE,2.0,DELAKAS E,5 - 3,325,GRE,5:25,Goal,1
3,Extra player shot,12.0,6,6,GRE,2.0,VLACHOPOULOS A,6 - 3,253,GRE,4:13,Goal,1
3,Action shot,6.0,6,7,GRE,2.0,PONTIKEAS K,7 - 3,200,GRE,3:20,Goal,1
