Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,8,8.0,3,4,BRA,2.0,LEMAY-LAVOIE E,4 - 8,80,CAN,1:20
Time-Out,8,,3,4,BRA,2.0,,4 - 8,80,BRA,1:20
Turnover foul,8,12.0,3,4,BRA,2.0,BELORIO L,4 - 8,54,BRA,0:54
Steal,8,7.0,3,4,BRA,2.0,BEKHAZI J,4 - 8,54,CAN,0:54
Action shot - Post,8,8.0,3,4,BRA,2.0,LEMAY-LAVOIE E,4 - 8,39,CAN,0:39
20 sec. exclusion in centre,8,4.0,3,4,BRA,2.0,WRIGHT E,4 - 8,20,CAN,0:20
Extra player shot - Post,8,10.0,3,4,BRA,2.0,BAHIA V,4 - 8,1,BRA,0:01
Starting goalkeeper,8,1.0,3,4,BRA,3.0,CHAMORRO V,4 - 8,480,BRA,8:00
Starting goalkeeper,8,1.0,3,4,BRA,3.0,GAUDREAULT J,4 - 8,480,CAN,8:00
Sprint won possession,8,6.0,3,4,BRA,3.0,CHRISTMAS K,4 - 8,480,CAN,8:00
20 sec. exclusion in centre,8,10.0,3,4,BRA,3.0,BAHIA V,4 - 8,467,BRA,7:47
Action shot - Goal,9,12.0,3,4,BRA,3.0,FOURNIER S,4 - 9,445,CAN,7:25
5m shot - Saved,9,2.0,3,4,BRA,3.0,ABLA D,4 - 9,418,BRA,6:58
5m shot - Goal,10,9.0,3,4,BRA,3.0,McKELVEY H,4 - 10,393,CAN,6:33
Penalty foul,10,8.0,3,4,BRA,3.0,LEMAY-LAVOIE E,4 - 10,377,CAN,6:17
Penalty shot - Saved,10,9.0,3,4,BRA,3.0,DIAS M,4 - 10,377,BRA,6:17
Action shot - Goal,10,7.0,3,5,BRA,3.0,FERREIRA S,5 - 10,371,BRA,6:11
5m shot - Goal,11,12.0,3,5,BRA,3.0,FOURNIER S,5 - 11,351,CAN,5:51
5m shot - Saved,11,12.0,3,5,BRA,3.0,BELORIO L,5 - 11,329,BRA,5:29
