Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,11,3,2,RSA,3.0,ROUMPESI A,2 - 11,421,GRE,7:01,Saved,0
Centre shot,7.0,12,3,2,RSA,3.0,ASIMAKI A,2 - 12,371,GRE,6:11,Goal,1
Action shot,2.0,12,3,2,RSA,3.0,TSOUKALA C,2 - 12,323,GRE,5:23,Blocked,0
Centre shot,7.0,12,3,2,RSA,3.0,ASIMAKI A,2 - 12,274,GRE,4:34,Saved,0
Penalty shot,12.0,12,3,3,RSA,3.0,WHITE K,3 - 12,255,RSA,4:15,Goal,1
Action shot,2.0,12,3,3,RSA,3.0,TSOUKALA C,3 - 12,240,GRE,4:00,Missed,0
Action shot,2.0,12,3,3,RSA,3.0,TSOUKALA C,3 - 12,202,GRE,3:22,Blocked,0
5m shot,12.0,12,3,3,RSA,3.0,WHITE K,3 - 12,134,RSA,2:14,Missed,0
Action shot,10.0,13,3,3,RSA,3.0,MANOLIOUDAKI T,3 - 13,112,GRE,1:52,Goal,1
Action shot,7.0,13,3,3,RSA,3.0,KAY K,3 - 13,94,RSA,1:34,Missed,0
Centre shot,12.0,14,3,3,RSA,3.0,XENAKI E,3 - 14,71,GRE,1:11,Goal,1
5m shot,5.0,14,3,3,RSA,3.0,PLEVRITOU M,3 - 14,67,GRE,1:07,Blocked,0
Centre shot,12.0,15,3,3,RSA,3.0,XENAKI E,3 - 15,29,GRE,0:29,Goal,1
5m shot,11.0,15,3,3,RSA,3.0,PLEVRITOU E,3 - 15,1,GRE,0:01,Saved,0
5m shot,5.0,15,3,3,RSA,4.0,PLEVRITOU M,3 - 15,452,GRE,7:32,Post,0
Action shot,11.0,15,3,3,RSA,4.0,PLEVRITOU E,3 - 15,406,GRE,6:46,Saved,0
Counter attack,4.0,15,3,4,RSA,4.0,VERSFELD R,4 - 15,374,RSA,6:14,Goal,1
Action shot,3.0,15,3,4,RSA,4.0,CHARALAMPIDI S,4 - 15,346,GRE,5:46,Blocked,0
5m shot,5.0,16,3,4,RSA,4.0,PLEVRITOU M,4 - 16,298,GRE,4:58,Goal,1
Counter attack,11.0,17,3,4,RSA,4.0,PLEVRITOU E,4 - 17,271,GRE,4:31,Goal,1
Action shot,11.0,18,3,4,RSA,4.0,PLEVRITOU E,4 - 18,201,GRE,3:21,Goal,1
5m shot,12.0,18,3,4,RSA,4.0,WHITE K,4 - 18,171,RSA,2:51,Saved,0
5m shot,3.0,18,3,4,RSA,4.0,CHARALAMPIDI S,4 - 18,152,GRE,2:32,Post,0
Extra player shot,4.0,19,3,4,RSA,4.0,KOTSIA C,4 - 19,97,GRE,1:37,Goal,1
5m shot,5.0,19,3,4,RSA,4.0,PLEVRITOU M,4 - 19,56,GRE,0:56,Post,0
Action shot,11.0,20,3,4,RSA,4.0,PLEVRITOU E,4 - 20,5,GRE,0:05,Goal,1
5m shot,11.0,0,4,1,CAN,1.0,VALIN S,1 - 0,452,CAN,7:32,Goal,1
Action shot,11.0,0,4,1,CAN,1.0,VALIN S,1 - 0,421,CAN,7:01,Post,0
5m shot,10.0,0,4,1,CAN,1.0,MANOLIOUDAKI T,1 - 0,393,GRE,6:33,Saved,0
Action shot,4.0,1,4,1,CAN,1.0,KOTSIA C,1 - 1,339,GRE,5:39,Goal,1
5m shot,10.0,1,4,1,CAN,1.0,ROBINSON C,1 - 1,314,CAN,5:14,Missed,0
Action shot,10.0,1,4,1,CAN,1.0,MANOLIOUDAKI T,1 - 1,292,GRE,4:52,Saved,0
5m shot,10.0,1,4,1,CAN,1.0,ROBINSON C,1 - 1,260,CAN,4:20,Saved,0
Counter attack,5.0,1,4,1,CAN,1.0,EGGENS M,1 - 1,235,CAN,3:55,Blocked,0
Action shot,6.0,1,4,1,CAN,1.0,AVRAMIDOU A,1 - 1,213,GRE,3:33,Post,0
Extra player shot,10.0,1,4,2,CAN,1.0,ROBINSON C,2 - 1,181,CAN,3:01,Goal,1
Action shot,7.0,1,4,2,CAN,1.0,BEKHAZI J,2 - 1,151,CAN,2:31,Post,0
Action shot,3.0,2,4,2,CAN,1.0,CHARALAMPIDI S,2 - 2,137,GRE,2:17,Goal,1
Action shot,4.0,2,4,2,CAN,1.0,WRIGHT E,2 - 2,115,CAN,1:55,Saved,0
5m shot,6.0,2,4,2,CAN,1.0,MCKEE K,2 - 2,61,CAN,1:01,Blocked,0
Action shot,11.0,3,4,2,CAN,1.0,PLEVRITOU E,2 - 3,33,GRE,0:33,Goal,1
5m shot,4.0,3,4,3,CAN,1.0,WRIGHT E,3 - 3,10,CAN,0:10,Goal,1
5m shot,11.0,3,4,3,CAN,1.0,PLEVRITOU E,3 - 3,2,GRE,0:02,Missed,0
5m shot,11.0,3,4,4,CAN,2.0,VALIN S,4 - 3,382,CAN,6:22,Goal,1
Extra player shot,8.0,4,4,4,CAN,2.0,ROUMPESI A,4 - 4,345,GRE,5:45,Goal,1
Action shot,5.0,4,4,4,CAN,2.0,EGGENS M,4 - 4,259,CAN,4:19,Saved,0
Action shot,6.0,4,4,4,CAN,2.0,AVRAMIDOU A,4 - 4,241,GRE,4:01,Saved,0
Action shot,5.0,4,4,4,CAN,2.0,EGGENS M,4 - 4,209,CAN,3:29,Blocked,0
5m shot,6.0,4,4,4,CAN,2.0,AVRAMIDOU A,4 - 4,134,GRE,2:14,Saved,0
5m shot,9.0,4,4,4,CAN,2.0,EGGENS C,4 - 4,112,CAN,1:52,Saved,0
Centre shot,7.0,4,4,4,CAN,2.0,ASIMAKI A,4 - 4,90,GRE,1:30,Missed,0
5m shot,8.0,4,4,4,CAN,2.0,ROUMPESI A,4 - 4,46,GRE,0:46,Saved,0
Action shot,4.0,4,4,4,CAN,2.0,WRIGHT E,4 - 4,18,CAN,0:18,Saved,0
Action shot,3.0,4,4,4,CAN,2.0,CHARALAMPIDI S,4 - 4,2,GRE,0:02,Saved,0
Action shot,8.0,4,4,4,CAN,3.0,FOURNIER S,4 - 4,358,CAN,5:58,Blocked,0
Action shot,10.0,5,4,4,CAN,3.0,MANOLIOUDAKI T,4 - 5,346,GRE,5:46,Goal,1
Penalty shot,8.0,5,4,4,CAN,3.0,ROUMPESI A,4 - 5,303,GRE,5:03,Post,0
Action shot,12.0,5,4,4,CAN,3.0,PERREAULT D,4 - 5,276,CAN,4:36,Missed,0
Action shot,6.0,5,4,4,CAN,3.0,AVRAMIDOU A,4 - 5,255,GRE,4:15,Blocked,0
Centre shot,8.0,5,4,4,CAN,3.0,FOURNIER S,4 - 5,226,CAN,3:46,Saved,0
5m shot,8.0,5,4,4,CAN,3.0,FOURNIER S,4 - 5,196,CAN,3:16,Saved,0
Action shot,6.0,5,4,4,CAN,3.0,AVRAMIDOU A,4 - 5,167,GRE,2:47,Post,0
Action shot,10.0,5,4,4,CAN,3.0,ROBINSON C,4 - 5,137,CAN,2:17,Missed,0
Penalty shot,3.0,6,4,4,CAN,3.0,CHARALAMPIDI S,4 - 6,115,GRE,1:55,Goal,1
5m shot,10.0,6,4,4,CAN,3.0,MANOLIOUDAKI T,4 - 6,2,GRE,0:02,Post,0
Extra player shot,7.0,6,4,4,CAN,4.0,ASIMAKI A,4 - 6,450,GRE,7:30,Saved,0
Action shot,2.0,6,4,4,CAN,4.0,ALOGBO K,4 - 6,420,CAN,7:00,Blocked,0
Action shot,10.0,7,4,4,CAN,4.0,MANOLIOUDAKI T,4 - 7,397,GRE,6:37,Goal,1
Action shot,4.0,7,4,4,CAN,4.0,WRIGHT E,4 - 7,372,CAN,6:12,Blocked,0
5m shot,3.0,8,4,4,CAN,4.0,CHARALAMPIDI S,4 - 8,348,GRE,5:48,Goal,1
5m shot,7.0,8,4,4,CAN,4.0,BEKHAZI J,4 - 8,324,CAN,5:24,Saved,0
