Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
2.0,7:03,Action shot - Goal,6 - 1,RUS,KARIMOVA E,4.0,6,1,423,3,RUS
2.0,6:49,20 sec. exclusion in centre,6 - 1,RUS,GORBUNOVA O,6.0,6,1,409,3,RUS
2.0,6:33,Extra player shot - Goal,6 - 2,KAZ,MIRSHINA A,11.0,6,2,393,3,RUS
2.0,6:15,Centre shot - Goal,7 - 2,RUS,SIMANOVICH A,8.0,7,2,375,3,RUS
2.0,5:53,Turnover foul,7 - 2,KAZ,MUSSAROVA A,12.0,7,2,353,3,RUS
2.0,5:53,Steal,7 - 2,RUS,SIMANOVICH A,8.0,7,2,353,3,RUS
2.0,5:39,Turnover foul,7 - 2,RUS,KARIMOVA E,4.0,7,2,339,3,RUS
2.0,5:39,Steal,7 - 2,KAZ,ZHARKIMBAYEVA A,1.0,7,2,339,3,RUS
2.0,5:16,Turnover foul,7 - 2,KAZ,YEREMINA A,9.0,7,2,316,3,RUS
2.0,5:16,Steal,7 - 2,RUS,VAKHITOVA V,2.0,7,2,316,3,RUS
2.0,5:01,Action shot - Missed,7 - 2,RUS,GORBUNOVA O,6.0,7,2,301,3,RUS
2.0,4:42,Turnover foul,7 - 2,KAZ,MUSSAROVA A,12.0,7,2,282,3,RUS
2.0,4:42,Steal,7 - 2,RUS,SERZHANTOVA A,7.0,7,2,282,3,RUS
2.0,4:18,Centre shot - Goal,8 - 2,RUS,SIMANOVICH A,8.0,8,2,258,3,RUS
2.0,3:47,5m shot - Blocked,8 - 2,KAZ,ZAKIROVA K,5.0,8,2,227,3,RUS
2.0,3:30,5m shot - Missed,8 - 2,RUS,TOLKUNOVA T,10.0,8,2,210,3,RUS
2.0,3:04,20 sec. exclusion in centre,8 - 2,RUS,TOLKUNOVA T,10.0,8,2,184,3,RUS
2.0,2:52,Extra player shot - Goal,8 - 3,KAZ,ZAKIROVA K,5.0,8,3,172,3,RUS
4.0,6:14,5m shot - Saved,8 - 3,KAZ,TUROVA A,4.0,8,3,374,3,RUS
4.0,5:52,5m shot - Missed,8 - 3,RUS,RYZHKOVA D,12.0,8,3,352,3,RUS
4.0,5:09,Turnover foul,8 - 3,RUS,GORBUNOVA O,6.0,8,3,309,3,RUS
4.0,5:09,Steal,8 - 3,KAZ,ZAKIROVA K,5.0,8,3,309,3,RUS
4.0,4:51,20 sec. exclusion in field,8 - 3,RUS,GORBUNOVA O,6.0,8,3,291,3,RUS
4.0,4:38,Extra player shot - Goal,13 - 6,KAZ,ZAKIROVA K,5.0,13,6,278,3,RUS
4.0,4:15,Centre shot - Post,13 - 6,RUS,IVANOVA E,11.0,13,6,255,3,RUS
4.0,3:23,20 sec. exclusion in centre,13 - 6,KAZ,ROGA D,6.0,13,6,203,3,RUS
4.0,3:19,Extra player shot - Goal,14 - 6,RUS,SERZHANTOVA A,7.0,14,6,199,3,RUS
4.0,2:49,5m shot - Post,14 - 6,KAZ,YEREMINA A,9.0,14,6,169,3,RUS
2.0,2:37,Turnover foul,14 - 6,RUS,PROKOFYEVA E,3.0,14,6,157,3,RUS
2.0,2:37,Steal,14 - 6,KAZ,AKILBAYEVA A,3.0,14,6,157,3,RUS
2.0,2:12,Centre shot - Missed,14 - 6,KAZ,NOVIKOVA A,7.0,14,6,132,3,RUS
2.0,2:03,20 sec. exclusion in field,14 - 6,KAZ,MYRZABEKOVA Z,10.0,14,6,123,3,RUS
2.0,1:44,Extra player shot - Missed,14 - 6,RUS,SIMANOVICH A,8.0,14,6,104,3,RUS
2.0,1:21,5m shot - Saved,14 - 6,KAZ,MIRSHINA A,11.0,14,6,81,3,RUS
2.0,1:00,20 sec. exclusion in centre,14 - 6,KAZ,ZAKIROVA K,5.0,14,6,60,3,RUS
2.0,0:46,Extra player shot - Post,14 - 6,RUS,BORISOVA M,5.0,14,6,46,3,RUS
2.0,0:43,Time-Out,14 - 6,KAZ,,,14,6,43,3,RUS
2.0,0:31,Turnover foul,14 - 6,KAZ,MYRZABEKOVA Z,10.0,14,6,31,3,RUS
2.0,0:31,Steal,14 - 6,RUS,PROKOFYEVA E,3.0,14,6,31,3,RUS
2.0,0:21,Turnover foul,14 - 6,RUS,TOLKUNOVA T,10.0,14,6,21,3,RUS
2.0,0:21,Steal,14 - 6,KAZ,MIRSHINA A,11.0,14,6,21,3,RUS
2.0,0:13,20 sec. exclusion in centre,14 - 6,RUS,BORISOVA M,5.0,14,6,13,3,RUS
2.0,0:02,Extra player shot - Missed,14 - 6,KAZ,MIRSHINA A,11.0,14,6,2,3,RUS
3.0,8:00,Starting goalkeeper,14 - 6,RUS,USTIUKHINA A,1.0,14,6,480,3,RUS
3.0,8:00,Starting goalkeeper,14 - 6,KAZ,ZHARKIMBAYEVA A,1.0,14,6,480,3,RUS
3.0,8:00,Sprint won possession,14 - 6,RUS,KARIMOVA E,4.0,14,6,480,3,RUS
3.0,7:46,Turnover foul,14 - 6,RUS,SIMANOVICH A,8.0,14,6,466,3,RUS
3.0,7:46,Steal,14 - 6,KAZ,MUSSAROVA A,12.0,14,6,466,3,RUS
3.0,7:16,Turnover foul,14 - 6,KAZ,MIRSHINA A,11.0,14,6,436,3,RUS
3.0,7:16,Steal,14 - 6,RUS,SIMANOVICH A,8.0,14,6,436,3,RUS
3.0,7:00,20 sec. exclusion in centre,14 - 6,KAZ,SAICHUK O,8.0,14,6,420,3,RUS
3.0,6:41,Extra player shot - Goal,9 - 3,RUS,PROKOFYEVA E,3.0,9,3,401,3,RUS
3.0,6:21,5m shot - Blocked,9 - 3,KAZ,TUROVA A,4.0,9,3,381,3,RUS
3.0,6:11,Counter attack - Post,9 - 3,RUS,RYZHKOVA D,12.0,9,3,371,3,RUS
3.0,5:42,20 sec. exclusion in centre,9 - 3,RUS,USTIUKHINA A,1.0,9,3,342,3,RUS
3.0,5:46,Extra player shot - Missed,9 - 3,KAZ,ZAKIROVA K,5.0,9,3,346,3,RUS
3.0,5:10,20 sec. exclusion in field,9 - 3,KAZ,MYRZABEKOVA Z,10.0,9,3,310,3,RUS
3.0,5:10,Time-Out,9 - 3,RUS,,,9,3,310,3,RUS
3.0,4:53,Extra player shot - Goal,10 - 3,RUS,IVANOVA E,11.0,10,3,293,3,RUS
3.0,4:36,5m shot - Saved,10 - 3,KAZ,YEREMINA A,9.0,10,3,276,3,RUS
3.0,4:26,Counter attack - Goal,11 - 3,RUS,KARIMOVA E,4.0,11,3,266,3,RUS
3.0,4:05,Turnover foul,11 - 3,KAZ,YEREMINA A,9.0,11,3,245,3,RUS
3.0,4:05,Steal,11 - 3,RUS,TIMOFEEVA A,9.0,11,3,245,3,RUS
3.0,3:52,Action shot - Goal,12 - 3,RUS,IVANOVA E,11.0,12,3,232,3,RUS
3.0,3:39,Turnover foul,12 - 3,KAZ,ZAKIROVA K,5.0,12,3,219,3,RUS
3.0,3:26,Turnover foul,12 - 3,RUS,GORBUNOVA O,6.0,12,3,206,3,RUS
3.0,3:17,5m shot - Post,12 - 3,KAZ,AKILBAYEVA A,3.0,12,3,197,3,RUS
3.0,2:58,5m shot - Missed,12 - 3,RUS,TIMOFEEVA A,9.0,12,3,178,3,RUS
3.0,2:35,5m shot - Post,12 - 3,KAZ,AKILBAYEVA A,3.0,12,3,155,3,RUS
3.0,2:22,Turnover foul,12 - 3,RUS,IVANOVA E,11.0,12,3,142,3,RUS
3.0,2:22,Steal,12 - 3,KAZ,TUROVA A,4.0,12,3,142,3,RUS
3.0,1:56,5m shot - Goal,12 - 4,KAZ,AKILBAYEVA A,3.0,12,4,116,3,RUS
3.0,1:27,Turnover foul,12 - 4,RUS,SIMANOVICH A,8.0,12,4,87,3,RUS
3.0,1:27,Steal,12 - 4,KAZ,MYRZABEKOVA Z,10.0,12,4,87,3,RUS
3.0,1:02,Centre shot - Missed,12 - 4,KAZ,NOVIKOVA A,7.0,12,4,62,3,RUS
3.0,0:45,Action shot - Saved,12 - 4,RUS,SIMANOVICH A,8.0,12,4,45,3,RUS
3.0,0:45,Time-Out,12 - 4,KAZ,,,12,4,45,3,RUS
3.0,0:22,20 sec. exclusion in centre,12 - 4,RUS,VAKHITOVA V,2.0,12,4,22,3,RUS
3.0,0:15,Extra player shot - Goal,12 - 5,KAZ,MIRSHINA A,11.0,12,5,15,3,RUS
