Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,345,ITA,5:45
Action shot - Post,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,322,ITA,5:22
5m shot - Saved,4.0,5,2,9,ITA,4.0,REAL J,9 - 5,300,GER,5:00
Centre shot - Post,11.0,5,2,9,ITA,4.0,AICARDI M,9 - 5,275,ITA,4:35
Time-Out,,5,2,9,ITA,4.0,,9 - 5,275,GER,4:35
Turnover foul,8.0,5,2,9,ITA,4.0,SCHUELER P,9 - 5,257,GER,4:17
Steal,5.0,5,2,9,ITA,4.0,GIORGETTI A,9 - 5,257,ITA,4:17
Turnover foul,12.0,5,2,9,ITA,4.0,NAPOLITANO C,9 - 5,240,ITA,4:00
Counter attack - Goal,11.0,6,2,9,ITA,4.0,SCHLOTTERBECK A,9 - 6,229,GER,3:49
20 sec. exclusion in field,5.0,6,2,9,ITA,4.0,ROHE T,9 - 6,212,GER,3:32
Extra player shot - Goal,9.0,6,2,10,ITA,4.0,PRESCIUTTI C,10 - 6,207,ITA,3:27
Turnover foul,8.0,6,2,10,ITA,4.0,SCHUELER P,10 - 6,182,GER,3:02
Centre shot - Saved,11.0,6,2,10,ITA,4.0,AICARDI M,10 - 6,165,ITA,2:45
Centre shot - Goal,11.0,7,2,10,ITA,4.0,SCHLOTTERBECK A,10 - 7,141,GER,2:21
Turnover foul,11.0,7,2,10,ITA,4.0,AICARDI M,10 - 7,120,ITA,2:00
Steal,7.0,7,2,10,ITA,4.0,NOSSEK H,10 - 7,120,GER,2:00
Turnover foul,9.0,7,2,10,ITA,4.0,STAMM M,10 - 7,98,GER,1:38
Steal,11.0,7,2,10,ITA,4.0,AICARDI M,10 - 7,98,ITA,1:38
Action shot - Goal,10.0,8,2,10,ITA,4.0,OELER M,10 - 8,52,GER,0:52
Time-Out,,8,2,10,ITA,4.0,,10 - 8,52,ITA,0:52
Centre shot - Saved,11.0,8,2,10,ITA,4.0,AICARDI M,10 - 8,30,ITA,0:30
Turnover foul,11.0,8,2,10,ITA,4.0,AICARDI M,10 - 8,7,ITA,0:07
