Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,9.0,9,1,8,KAZ,4.0,UKUMANOV R,9 - 8,109,KAZ,1:49,Goal,1
Extra player shot,7.0,9,1,8,KAZ,4.0,NOSSEK H,9 - 8,71,GER,1:11,Saved,0
Action shot,9.0,9,1,8,KAZ,4.0,STAMM M,9 - 8,58,GER,0:58,Saved,0
5m shot,2.0,9,1,8,KAZ,4.0,GUBAREV S,9 - 8,7,KAZ,0:07,Blocked,0
Centre shot,3.0,0,2,0,ITA,1.0,GITTO N,0 - 0,418,ITA,6:58,Saved,0
5m shot,6.0,0,2,0,ITA,1.0,FELUGO M,0 - 0,393,ITA,6:33,Missed,0
5m shot,4.0,0,2,0,ITA,1.0,REAL J,0 - 0,367,GER,6:07,Saved,0
Centre shot,4.0,1,2,0,ITA,1.0,REAL J,0 - 1,297,GER,4:57,Goal,1
5m shot,4.0,1,2,0,ITA,1.0,REAL J,0 - 1,250,GER,4:10,Saved,0
5m shot,9.0,1,2,0,ITA,1.0,STAMM M,0 - 1,201,GER,3:21,Saved,0
5m shot,4.0,1,2,1,ITA,1.0,FIGLIOLI P,1 - 1,177,ITA,2:57,Goal,1
5m shot,6.0,1,2,1,ITA,1.0,JUENGLING M,1 - 1,147,GER,2:27,Saved,0
Action shot,12.0,1,2,1,ITA,1.0,EIDNER D,1 - 1,132,GER,2:12,Saved,0
Extra player shot,5.0,1,2,2,ITA,1.0,GIORGETTI A,2 - 1,104,ITA,1:44,Goal,1
5m shot,4.0,1,2,2,ITA,1.0,REAL J,2 - 1,76,GER,1:16,Saved,0
Centre shot,11.0,1,2,3,ITA,1.0,AICARDI M,3 - 1,56,ITA,0:56,Goal,1
Centre shot,2.0,1,2,3,ITA,1.0,BUKOWSKI E,3 - 1,17,GER,0:17,Post,0
Extra player shot,10.0,1,2,3,ITA,2.0,FIORENTINI D,3 - 1,433,ITA,7:13,Missed,0
5m shot,6.0,1,2,3,ITA,2.0,FELUGO M,3 - 1,385,ITA,6:25,Saved,0
Action shot,6.0,1,2,4,ITA,2.0,FELUGO M,4 - 1,331,ITA,5:31,Goal,1
