Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,1,0,0,JPN,1.0,KESZTHELYI R,0 - 0,451,HUN,7:31,Saved,0
Centre shot,10.0,1,1,0,JPN,1.0,BUJKA B,0 - 1,448,HUN,7:28,Goal,1
Action shot,12.0,1,1,0,JPN,1.0,SZILAGYI D,0 - 1,392,HUN,6:32,Missed,0
Centre shot,10.0,1,2,0,JPN,1.0,BUJKA B,0 - 2,357,HUN,5:57,Goal,1
Action shot,11.0,1,2,0,JPN,1.0,CSABAI D,0 - 2,330,HUN,5:30,Saved,0
Counter attack,12.0,1,3,0,JPN,1.0,SZILAGYI D,0 - 3,285,HUN,4:45,Goal,1
Counter attack,12.0,1,4,0,JPN,1.0,SZILAGYI D,0 - 4,179,HUN,2:59,Goal,1
Centre shot,2.0,1,4,0,JPN,1.0,ARIMA Y,0 - 4,78,JPN,1:18,Blocked,0
Extra player shot,6.0,1,4,1,JPN,1.0,YAMAMOTO M,1 - 4,44,JPN,0:44,Goal,1
Action shot,12.0,1,4,1,JPN,1.0,SUZUKI K,1 - 4,16,JPN,0:16,Saved,0
Centre shot,10.0,1,5,1,JPN,2.0,BUJKA B,1 - 5,462,HUN,7:42,Goal,1
Counter attack,8.0,1,6,1,JPN,2.0,KESZTHELYI R,1 - 6,437,HUN,7:17,Goal,1
Centre shot,12.0,1,6,1,JPN,2.0,SZILAGYI D,1 - 6,403,HUN,6:43,Saved,0
Action shot,2.0,1,6,1,JPN,2.0,ARIMA Y,1 - 6,382,JPN,6:22,Blocked,0
Centre shot,10.0,1,6,1,JPN,2.0,BUJKA B,1 - 6,353,HUN,5:53,Saved,0
Action shot,,1,17 JPN,7,JPN,4.0,YAMAMOTO M,7 - 17 JPN,438,6,7:18,Goal,1
Action shot,,1,17 JPN,8,JPN,4.0,INABA A,8 - 17 JPN,404,7,6:44,Goal,1
Extra player shot,,1,18 HUN,8,JPN,4.0,KESZTHELYI R,8 - 18 HUN,366,8,6:06,Goal,1
5m shot,,1,,JPN,JPN,4.0,SAKANOUE C,JPN,302,5,5:02,Saved,0
5m shot,,1,19 HUN,8,JPN,4.0,TOTH I,8 - 19 HUN,277,9,4:37,Goal,1
Action shot,,1,19 JPN,9,JPN,4.0,ARIMA Y,9 - 19 JPN,257,2,4:17,Goal,1
Extra player shot,2.0,1,6,2,JPN,2.0,ARIMA Y,2 - 6,309,JPN,5:09,Goal,1
Centre shot,2.0,1,7,2,JPN,2.0,CZIGANY D,2 - 7,291,HUN,4:51,Goal,1
Centre shot,7.0,1,7,2,JPN,2.0,INABA A,2 - 7,253,JPN,4:13,Blocked,0
Centre shot,10.0,1,8,2,JPN,2.0,BUJKA B,2 - 8,239,HUN,3:59,Goal,1
Action shot,3.0,1,9,2,JPN,2.0,ANTAL D,2 - 9,214,HUN,3:34,Goal,1
Centre shot,10.0,1,10,2,JPN,2.0,BUJKA B,2 - 10,176,HUN,2:56,Goal,1
Centre shot,6.0,1,10,3,JPN,2.0,YAMAMOTO M,3 - 10,136,JPN,2:16,Goal,1
Centre shot,9.0,1,11,3,JPN,2.0,TOTH I,3 - 11,48,HUN,0:48,Goal,1
5m shot,2.0,1,11,3,JPN,2.0,ARIMA Y,3 - 11,28,JPN,0:28,Saved,0
Centre shot,4.0,1,12,3,JPN,2.0,GURISATTI G,3 - 12,8,HUN,0:08,Goal,1
5m shot,3.0,1,12,4,JPN,2.0,KAZAMA Y,4 - 12,1,JPN,0:01,Goal,1
5m shot,2.0,1,12,4,JPN,2.0,CZIGANY D,4 - 12,1,HUN,0:01,Saved,0
Centre shot,2.0,1,12,5,JPN,3.0,ARIMA Y,5 - 12,408,JPN,6:48,Goal,1
Centre shot,3.0,1,13,5,JPN,3.0,ANTAL D,5 - 13,360,HUN,6:00,Goal,1
Counter attack,8.0,1,14,5,JPN,3.0,KESZTHELYI R,5 - 14,270,HUN,4:30,Goal,1
Centre shot,9.0,1,15,5,JPN,3.0,TOTH I,5 - 15,244,HUN,4:04,Goal,1
Centre shot,10.0,1,15,5,JPN,3.0,NORO M,5 - 15,225,JPN,3:45,Saved,0
Action shot,8.0,1,15,5,JPN,3.0,KESZTHELYI R,5 - 15,199,HUN,3:19,Post,0
Centre shot,6.0,1,15,6,JPN,3.0,YAMAMOTO M,6 - 15,169,JPN,2:49,Goal,1
Centre shot,4.0,1,16,6,JPN,3.0,GURISATTI G,6 - 16,142,HUN,2:22,Goal,1
Action shot,5.0,1,16,6,JPN,3.0,SZUCS G,6 - 16,86,HUN,1:26,Post,0
Action shot,2.0,1,16,6,JPN,3.0,ARIMA Y,6 - 16,74,JPN,1:14,Post,0
Action shot,8.0,1,17,6,JPN,3.0,KESZTHELYI R,6 - 17,53,HUN,0:53,Goal,1
Action shot,4.0,1,17,6,JPN,3.0,GURISATTI G,6 - 17,27,HUN,0:27,Saved,0
Action shot,9.0,1,17,6,JPN,4.0,TOTH I,6 - 17,243,HUN,4:03,Missed,0
Action shot,8.0,1,17,6,JPN,4.0,KESZTHELYI R,6 - 17,210,HUN,3:30,Post,0
Centre shot,6.0,1,17,6,JPN,4.0,YAMAMOTO M,6 - 17,195,JPN,3:15,Saved,0
Action shot,8.0,1,17,6,JPN,4.0,KESZTHELYI R,6 - 17,130,HUN,2:10,Post,0
5m shot,2.0,1,19,10,JPN,4.0,ARIMA Y,10 - 19,113,JPN,1:53,Goal,1
Action shot,8.0,1,19,10,JPN,4.0,KESZTHELYI R,10 - 19,84,HUN,1:24,Post,0
Centre shot,9.0,1,20,10,JPN,4.0,TOTH I,10 - 20,83,HUN,1:23,Goal,1
Action shot,9.0,1,20,10,JPN,4.0,HOSOYA K,10 - 20,21,JPN,0:21,Saved,0
Extra player shot,7.0,1,20,11,JPN,4.0,INABA A,11 - 20,1,JPN,0:01,Goal,1
Action shot,8.0,2,1,0,FRA,1.0,KESZTHELYI R,0 - 1,452,HUN,7:32,Goal,1
5m shot,7.0,2,1,0,FRA,1.0,VALVERDE C,0 - 1,423,FRA,7:03,Saved,0
Extra player shot,7.0,2,1,0,FRA,1.0,VALVERDE C,0 - 1,393,FRA,6:33,Blocked,0
Action shot,8.0,2,2,0,FRA,1.0,KESZTHELYI R,0 - 2,371,HUN,6:11,Goal,1
Extra player shot,6.0,2,3,0,FRA,1.0,TAKACS O,0 - 3,317,HUN,5:17,Goal,1
Action shot,12.0,2,3,0,FRA,1.0,DAULE A,0 - 3,286,FRA,4:46,Saved,0
Action shot,3.0,2,4,0,FRA,1.0,ANTAL D,0 - 4,270,HUN,4:30,Goal,1
5m shot,8.0,2,5,0,FRA,1.0,KESZTHELYI R,0 - 5,218,HUN,3:38,Goal,1
Extra player shot,9.0,2,6,0,FRA,1.0,TOTH I,0 - 6,181,HUN,3:01,Goal,1
Extra player shot,5.0,2,6,0,FRA,1.0,SZUCS G,0 - 6,128,HUN,2:08,Post,0
5m shot,5.0,2,6,0,FRA,1.0,GUILLET L,0 - 6,58,FRA,0:58,Missed,0
Centre shot,12.0,2,7,0,FRA,1.0,SZILAGYI D,0 - 7,31,HUN,0:31,Goal,1
Extra player shot,5.0,2,7,0,FRA,1.0,GUILLET L,0 - 7,2,FRA,0:02,Saved,0
Penalty shot,2.0,2,7,1,FRA,2.0,MILLOT E,1 - 7,453,FRA,7:33,Goal,1
Extra player shot,7.0,2,8,1,FRA,2.0,ILLES A,1 - 8,379,HUN,6:19,Goal,1
Action shot,9.0,2,8,1,FRA,2.0,SACRE A,1 - 8,318,FRA,5:18,Post,0
Action shot,2.0,2,9,1,FRA,2.0,CZIGANY D,1 - 9,288,HUN,4:48,Goal,1
Extra player shot,4.0,2,9,2,FRA,2.0,SACRE A,2 - 9,268,FRA,4:28,Goal,1
Extra player shot,11.0,2,10,2,FRA,2.0,CSABAI D,2 - 10,241,HUN,4:01,Goal,1
Centre shot,12.0,2,10,2,FRA,2.0,DAULE A,2 - 10,213,FRA,3:33,Saved,0
5m shot,11.0,2,10,2,FRA,2.0,CSABAI D,2 - 10,185,HUN,3:05,Saved,0
Extra player shot,10.0,2,11,2,FRA,2.0,BUJKA B,2 - 11,163,HUN,2:43,Goal,1
Centre shot,7.0,2,11,2,FRA,2.0,ILLES A,2 - 11,118,HUN,1:58,Missed,0
5m shot,3.0,2,11,2,FRA,2.0,BACHELIER L,2 - 11,93,FRA,1:33,Post,0
