Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Missed,7.0,13,6,9,JPN,4.0,SHIMIZU Y,9 - 13,319,JPN,5:19
Turnover foul,9.0,13,6,9,JPN,4.0,TAHULL COMPTE R,9 - 13,104,ESP,1:44
Steal,5.0,13,6,9,JPN,4.0,YOSHIDA T,9 - 13,104,JPN,1:44
Turnover foul,5.0,13,6,9,JPN,4.0,YOSHIDA T,9 - 13,76,JPN,1:16
Steal,5.0,13,6,9,JPN,4.0,BUSTOS SANCHEZ A,9 - 13,76,ESP,1:16
Action shot - Post,9.0,13,6,9,JPN,4.0,TAHULL COMPTE R,9 - 13,54,ESP,0:54
Turnover foul,9.0,13,6,9,JPN,4.0,ARAI A,9 - 13,37,JPN,0:37
Steal,5.0,13,6,9,JPN,4.0,BUSTOS SANCHEZ A,9 - 13,37,ESP,0:37
Action shot - Saved,11.0,13,6,9,JPN,4.0,MALLARACH GUELL B,9 - 13,14,ESP,0:14
Time-Out,,13,6,9,JPN,4.0,,9 - 13,13,JPN,0:13
Turnover foul,11.0,13,6,9,JPN,4.0,OKAWA K,9 - 13,5,JPN,0:05
Steal,13.0,13,6,9,JPN,4.0,MOTOS MARTIN J,9 - 13,5,ESP,0:05
