Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,3,4,14,HUN,3.0,JAKAYEVA A,14 - 4,298,KAZ,4:58,Missed,0
Action shot,7.0,3,4,15,HUN,3.0,MISKOLCZI I,15 - 4,278,HUN,4:38,Goal,1
Extra player shot,4.0,3,4,15,HUN,3.0,KISTELEKI D,15 - 4,245,HUN,4:05,Saved,0
Action shot,7.0,3,4,15,HUN,3.0,ALEXANDROVA N,15 - 4,219,KAZ,3:39,Saved,0
Counter attack,10.0,3,4,15,HUN,3.0,BUJKA B,15 - 4,190,HUN,3:10,Saved,0
Counter attack,3.0,3,5,15,HUN,3.0,AKILBAYEVA A,15 - 5,176,KAZ,2:56,Goal,1
Centre shot,8.0,3,5,15,HUN,3.0,GLUSHKOVA Y,15 - 5,151,KAZ,2:31,Saved,0
Action shot,3.0,3,5,15,HUN,3.0,AKILBAYEVA A,15 - 5,135,KAZ,2:15,Blocked,0
Action shot,11.0,3,5,15,HUN,3.0,GARDA K,15 - 5,110,HUN,1:50,Saved,0
Action shot,12.0,3,5,15,HUN,3.0,MENCZINGER K,15 - 5,57,HUN,0:57,Saved,0
Action shot,3.0,3,5,15,HUN,3.0,AKILBAYEVA A,15 - 5,30,KAZ,0:30,Post,0
Centre shot,11.0,3,5,15,HUN,3.0,GARDA K,15 - 5,6,HUN,0:06,Saved,0
Extra player shot,12.0,3,5,16,HUN,4.0,MENCZINGER K,16 - 5,390,HUN,6:30,Goal,1
Action shot,3.0,3,6,16,HUN,4.0,AKILBAYEVA A,16 - 6,368,KAZ,6:08,Goal,1
Centre shot,9.0,3,6,16,HUN,4.0,TOTH I,16 - 6,349,HUN,5:49,Saved,0
Centre shot,9.0,3,7,16,HUN,4.0,JAKAYEVA A,16 - 7,328,KAZ,5:28,Goal,1
Action shot,5.0,3,7,17,HUN,4.0,SZUCS G,17 - 7,314,HUN,5:14,Goal,1
Extra player shot,10.0,3,7,17,HUN,4.0,GRITSENKO M,17 - 7,260,KAZ,4:20,Blocked,0
Action shot,5.0,3,7,17,HUN,4.0,SZUCS G,17 - 7,186,HUN,3:06,Post,0
Action shot,3.0,3,7,17,HUN,4.0,AKILBAYEVA A,17 - 7,158,KAZ,2:38,Saved,0
Action shot,5.0,3,7,17,HUN,4.0,MIRSHINA A,17 - 7,109,KAZ,1:49,Post,0
Action shot,6.0,3,7,17,HUN,4.0,TAKACS O,17 - 7,87,HUN,1:27,Missed,0
Action shot,6.0,3,7,18,HUN,4.0,TAKACS O,18 - 7,39,HUN,0:39,Goal,1
Action shot,5.0,3,7,18,HUN,4.0,MIRSHINA A,18 - 7,13,KAZ,0:13,Blocked,0
Extra player shot,4.0,4,0,1,CAN,1.0,WRIGHT E,1 - 0,453,CAN,7:33,Goal,1
5m shot,6.0,4,0,1,CAN,1.0,ZUBKOVA A,1 - 0,423,KAZ,7:03,Saved,0
5m shot,10.0,4,0,2,CAN,1.0,ROBINSON C,2 - 0,404,CAN,6:44,Goal,1
5m shot,10.0,4,0,2,CAN,1.0,GRITSENKO M,2 - 0,377,KAZ,6:17,Saved,0
Action shot,5.0,4,0,2,CAN,1.0,EGGENS M,2 - 0,347,CAN,5:47,Saved,0
5m shot,7.0,4,0,2,CAN,1.0,ALEXANDROVA N,2 - 0,323,KAZ,5:23,Missed,0
Counter attack,4.0,4,1,2,CAN,1.0,TUROVA A,2 - 1,306,KAZ,5:06,Goal,1
5m shot,9.0,4,1,2,CAN,1.0,EGGENS C,2 - 1,286,CAN,4:46,Saved,0
Centre shot,9.0,4,1,2,CAN,1.0,JAKAYEVA A,2 - 1,265,KAZ,4:25,Saved,0
Action shot,11.0,4,1,2,CAN,1.0,VALIN S,2 - 1,236,CAN,3:56,Saved,0
Action shot,6.0,4,1,2,CAN,1.0,BARON la SALLE S,2 - 1,213,CAN,3:33,Missed,0
5m shot,10.0,4,1,2,CAN,1.0,GRITSENKO M,2 - 1,183,KAZ,3:03,Blocked,0
5m shot,11.0,4,1,2,CAN,1.0,VALIN S,2 - 1,162,CAN,2:42,Saved,0
Centre shot,2.0,4,1,3,CAN,1.0,ALOGBO K,3 - 1,161,CAN,2:41,Goal,1
Extra player shot,10.0,4,2,3,CAN,1.0,GRITSENKO M,3 - 2,120,KAZ,2:00,Goal,1
Action shot,7.0,4,2,3,CAN,1.0,BEKHAZI J,3 - 2,114,CAN,1:54,Saved,0
Extra player shot,4.0,4,2,3,CAN,1.0,TUROVA A,3 - 2,68,KAZ,1:08,Saved,0
Action shot,7.0,4,2,3,CAN,1.0,BEKHAZI J,3 - 2,44,CAN,0:44,Post,0
Action shot,5.0,4,2,4,CAN,1.0,EGGENS M,4 - 2,0,CAN,0:00,Goal,1
Extra player shot,12.0,4,2,4,CAN,2.0,MUSSAROVA A,4 - 2,421,KAZ,7:01,Post,0
Action shot,12.0,4,2,4,CAN,2.0,RADU M,4 - 2,348,CAN,5:48,Missed,0
Action shot,3.0,4,2,4,CAN,2.0,AKILBAYEVA A,4 - 2,329,KAZ,5:29,Post,0
Action shot,5.0,4,2,5,CAN,2.0,EGGENS M,5 - 2,305,CAN,5:05,Goal,1
Action shot,9.0,4,2,6,CAN,2.0,EGGENS C,6 - 2,265,CAN,4:25,Goal,1
Centre shot,9.0,4,2,6,CAN,2.0,JAKAYEVA A,6 - 2,253,KAZ,4:13,Missed,0
Extra player shot,6.0,4,2,7,CAN,2.0,BARON la SALLE S,7 - 2,231,CAN,3:51,Goal,1
5m shot,4.0,4,2,7,CAN,2.0,TUROVA A,7 - 2,200,KAZ,3:20,Post,0
Action shot,6.0,4,2,7,CAN,2.0,BARON la SALLE S,7 - 2,116,CAN,1:56,Saved,0
Action shot,10.0,4,2,7,CAN,2.0,GRITSENKO M,7 - 2,103,KAZ,1:43,Saved,0
Action shot,5.0,4,2,7,CAN,2.0,EGGENS M,7 - 2,75,CAN,1:15,Saved,0
Centre shot,9.0,4,3,7,CAN,2.0,JAKAYEVA A,7 - 3,54,KAZ,0:54,Goal,1
5m shot,5.0,4,3,8,CAN,2.0,EGGENS M,8 - 3,38,CAN,0:38,Goal,1
Extra player shot,5.0,4,3,9,CAN,2.0,EGGENS M,9 - 3,1,CAN,0:01,Goal,1
Centre shot,9.0,4,3,9,CAN,4.0,JAKAYEVA A,9 - 3,23,KAZ,0:23,Blocked,0
Action shot,8.0,4,3,10,CAN,3.0,PERREAULT D,10 - 3,420,CAN,7:00,Goal,1
Action shot,5.0,4,3,10,CAN,3.0,EGGENS M,10 - 3,388,CAN,6:28,Saved,0
Centre shot,3.0,4,3,10,CAN,3.0,MONTON K,10 - 3,348,CAN,5:48,Missed,0
Action shot,9.0,4,3,10,CAN,3.0,JAKAYEVA A,10 - 3,324,KAZ,5:24,Saved,0
Extra player shot,10.0,4,4,10,CAN,3.0,GRITSENKO M,10 - 4,261,KAZ,4:21,Goal,1
Action shot,7.0,4,4,10,CAN,3.0,BEKHAZI J,10 - 4,245,CAN,4:05,Saved,0
5m shot,2.0,4,5,10,CAN,3.0,SHEPELINA N,10 - 5,216,KAZ,3:36,Goal,1
Action shot,8.0,4,5,11,CAN,3.0,PERREAULT D,11 - 5,201,CAN,3:21,Goal,1
5m shot,10.0,4,5,11,CAN,3.0,GRITSENKO M,11 - 5,174,KAZ,2:54,Blocked,0
5m shot,11.0,4,5,11,CAN,3.0,VALIN S,11 - 5,151,CAN,2:31,Post,0
Action shot,7.0,4,5,11,CAN,3.0,ALEXANDROVA N,11 - 5,120,KAZ,2:00,Saved,0
Action shot,2.0,4,6,11,CAN,3.0,SHEPELINA N,11 - 6,110,KAZ,1:50,Goal,1
Centre shot,2.0,4,6,11,CAN,3.0,ALOGBO K,11 - 6,88,CAN,1:28,Saved,0
Centre shot,12.0,4,6,12,CAN,3.0,RADU M,12 - 6,59,CAN,0:59,Goal,1
Extra player shot,3.0,4,6,12,CAN,3.0,AKILBAYEVA A,12 - 6,23,KAZ,0:23,Saved,0
5m shot,5.0,4,6,12,CAN,3.0,EGGENS M,12 - 6,1,CAN,0:01,Missed,0
Action shot,4.0,4,6,13,CAN,4.0,WRIGHT E,13 - 6,459,CAN,7:39,Goal,1
Action shot,4.0,4,6,13,CAN,4.0,TUROVA A,13 - 6,390,KAZ,6:30,Saved,0
Action shot,9.0,4,6,14,CAN,4.0,EGGENS C,14 - 6,374,CAN,6:14,Goal,1
Action shot,3.0,4,7,14,CAN,4.0,AKILBAYEVA A,14 - 7,328,KAZ,5:28,Goal,1
Action shot,11.0,4,7,14,CAN,4.0,VALIN S,14 - 7,300,CAN,5:00,Saved,0
Action shot,3.0,4,7,14,CAN,4.0,AKILBAYEVA A,14 - 7,278,KAZ,4:38,Blocked,0
Action shot,10.0,4,7,14,CAN,4.0,ROBINSON C,14 - 7,251,CAN,4:11,Saved,0
5m shot,9.0,4,7,14,CAN,4.0,EGGENS C,14 - 7,142,CAN,2:22,Saved,0
Action shot,8.0,4,7,14,CAN,4.0,PERREAULT D,14 - 7,87,CAN,1:27,Saved,0
Action shot,2.0,4,7,14,CAN,4.0,SHEPELINA N,14 - 7,19,KAZ,0:19,Blocked,0
Action shot,6.0,4,8,14,CAN,4.0,ZUBKOVA A,14 - 8,5,KAZ,0:05,Goal,1
5m shot,5.0,4,8,14,CAN,4.0,EGGENS M,14 - 8,1,CAN,0:01,Blocked,0
