Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Extra player shot - Goal,11.0,2,8,NZL,4.0,HUDSON K,6,8 - 6,28,NZL,0:28
5m shot - Saved,12.0,2,8,NZL,4.0,WHITE K,6,8 - 6,1,RSA,0:01
Starting goalkeeper,13,3,0,ESP,1.0,NIXON L,0,0 - 0,480,RSA,8:00
Starting goalkeeper,1,3,0,ESP,1.0,ESTER RAMOS L,0,0 - 0,480,ESP,8:00
Sprint won possession,6,3,0,ESP,1.0,HALLENDORFF A,0,0 - 0,480,RSA,8:00
Turnover foul,6,3,0,ESP,1.0,HALLENDORFF A,0,0 - 0,460,RSA,7:40
Turnover foul,12,3,0,ESP,1.0,LEITON ARRONES P,0,0 - 0,438,ESP,7:18
Turnover foul,6,3,0,ESP,1.0,HALLENDORFF A,0,0 - 0,420,RSA,7:00
Steal,5,3,0,ESP,1.0,ORTIZ REYES M,0,0 - 0,420,ESP,7:00
20 sec. exclusion in centre,11,3,0,ESP,1.0,BARRETT N,0,0 - 0,399,RSA,6:39
Extra player shot - Goal,12,3,1,ESP,1.0,LEITON ARRONES P,0,0 - 1,387,ESP,6:27
5m shot - Saved,12,3,1,ESP,1.0,WHITE K,0,0 - 1,364,RSA,6:04
Turnover foul,10,3,1,ESP,1.0,CRESPI BARRIGA P,0,0 - 1,338,ESP,5:38
Steal,5,3,1,ESP,1.0,SCHOOLING M,0,0 - 1,338,RSA,5:38
5m shot - Goal,2,3,1,ESP,1.0,PENNEY A,1,1 - 1,318,RSA,5:18
Turnover foul,10,3,1,ESP,1.0,CRESPI BARRIGA P,1,1 - 1,291,ESP,4:51
Steal,13,3,1,ESP,1.0,NIXON L,1,1 - 1,291,RSA,4:51
Steal,3,3,1,ESP,1.0,ESPAR LLAQUET A,1,1 - 1,270,ESP,4:30
20 sec. exclusion in centre,12,3,1,ESP,1.0,WHITE K,1,1 - 1,262,RSA,4:22
Extra player shot - Goal,7,3,2,ESP,1.0,ESPAR LLAQUET C,1,1 - 2,250,ESP,4:10
Steal,10,3,2,ESP,1.0,CRESPI BARRIGA P,1,1 - 2,234,ESP,3:54
Counter attack - Goal,9,3,3,ESP,1.0,FORCA ARIZA J,1,1 - 3,223,ESP,3:43
Steal,2,3,3,ESP,1.0,BACH PASCUAL M,1,1 - 3,206,ESP,3:26
5m shot - Missed,6,3,3,ESP,1.0,LLORET GOMEZ H,1,1 - 3,188,ESP,3:08
Time-Out,,3,3,ESP,1.0,,1,1 - 3,188,RSA,3:08
Action shot - Missed,9,3,3,ESP,1.0,SMIT Z,1,1 - 3,169,RSA,2:49
5m shot - Post,3,3,3,ESP,1.0,ESPAR LLAQUET A,1,1 - 3,155,ESP,2:35
Turnover foul,10,3,3,ESP,1.0,MANSON M,1,1 - 3,138,RSA,2:18
Turnover foul,9,3,3,ESP,1.0,FORCA ARIZA J,1,1 - 3,109,ESP,1:49
Steal,4,3,3,ESP,1.0,FAULMANN S,1,1 - 3,109,RSA,1:49
Steal,11,3,3,ESP,1.0,GUAL ROVIROSA A,1,1 - 3,82,ESP,1:22
Action shot - Goal,10,3,4,ESP,1.0,CRESPI BARRIGA P,1,1 - 4,61,ESP,1:01
5m shot - Saved,12,3,4,ESP,1.0,WHITE K,1,1 - 4,27,RSA,0:27
Turnover foul,12,3,4,ESP,1.0,LEITON ARRONES P,1,1 - 4,16,ESP,0:16
Steal,12,3,4,ESP,1.0,WHITE K,1,1 - 4,16,RSA,0:16
5m shot - Blocked,12,3,4,ESP,1.0,WHITE K,1,1 - 4,1,RSA,0:01
Starting goalkeeper,13,3,4,ESP,2.0,NIXON L,1,1 - 4,480,RSA,8:00
Starting goalkeeper,1,3,4,ESP,2.0,ESTER RAMOS L,1,1 - 4,480,ESP,8:00
Sprint won possession,6,3,4,ESP,2.0,HALLENDORFF A,1,1 - 4,480,RSA,8:00
