Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
3.0,2:55,Exclusion with substitution,4 - 7,NZL,LEWIS D,8.0,4,7,175,2,RSA
3.0,2:41,Extra player shot - Post,4 - 7,RSA,KILLEEN L,11.0,4,7,161,2,RSA
3.0,2:30,Centre shot - Missed,4 - 7,NZL,HUDSON K,11.0,4,7,150,2,RSA
3.0,2:12,Turnover foul,4 - 7,RSA,WHITE K,12.0,4,7,132,2,RSA
3.0,2:12,Steal,4 - 7,NZL,MYLES A,12.0,4,7,132,2,RSA
3.0,1:57,20 sec. exclusion in centre,4 - 7,RSA,MKIZE T,13.0,4,7,117,2,RSA
3.0,1:46,Extra player shot - Goal,4 - 8,NZL,MYLES A,12.0,4,8,106,2,RSA
3.0,1:30,Turnover foul,4 - 8,RSA,SCHMIDT K,2.0,4,8,90,2,RSA
3.0,1:30,Steal,4 - 8,NZL,BOYD A,5.0,4,8,90,2,RSA
3.0,1:10,Turnover foul,4 - 8,NZL,SIEPRATH L,9.0,4,8,70,2,RSA
3.0,1:10,Steal,4 - 8,RSA,WHITE K,12.0,4,8,70,2,RSA
3.0,0:46,Turnover foul,4 - 8,RSA,WHITE K,12.0,4,8,46,2,RSA
3.0,0:46,Steal,4 - 8,NZL,LANDRY S,7.0,4,8,46,2,RSA
3.0,0:21,Action shot - Missed,4 - 8,NZL,SMITH L,6.0,4,8,21,2,RSA
3.0,0:09,Turnover foul,4 - 8,RSA,JACOBS A,1.0,4,8,9,2,RSA
3.0,0:09,Steal,4 - 8,NZL,MASON K,3.0,4,8,9,2,RSA
3.0,0:01,Action shot - Goal,4 - 9,NZL,LEWIS N,4.0,4,9,1,2,RSA
4.0,8:00,Starting goalkeeper,4 - 9,RSA,JACOBS A,1.0,4,9,480,2,RSA
4.0,8:00,Starting goalkeeper,4 - 9,NZL,MILLAR B,1.0,4,9,480,2,RSA
4.0,8:00,Sprint won possession,4 - 9,NZL,MYLES A,12.0,4,9,480,2,RSA
