Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,3.0,7,7,5,AUS,4.0,BUCKLING H,5 - 7,316,AUS,5:16
Exclusion with substitution,3.0,7,7,5,AUS,4.0,BUCKLING H,5 - 7,316,AUS,5:16
Penalty foul,3.0,7,7,5,AUS,4.0,BUCKLING H,5 - 7,314,AUS,5:14
Penalty shot - Goal,6.0,8,7,5,AUS,4.0,PAREJA J,5 - 8,314,ESP,5:14
20 sec. exclusion in centre,5.0,8,7,5,AUS,4.0,ORTIZ M,5 - 8,297,ESP,4:57
Exclusion with substitution,5.0,8,7,5,AUS,4.0,ORTIZ M,5 - 8,297,ESP,4:57
Extra player shot - Saved,6.0,8,7,5,AUS,4.0,KNOX B,5 - 8,290,AUS,4:50
5m shot - Saved,6.0,8,7,5,AUS,4.0,PAREJA J,5 - 8,267,ESP,4:27
20 sec. exclusion in field,6.0,8,7,5,AUS,4.0,PAREJA J,5 - 8,249,ESP,4:09
Extra player shot - Blocked,10.0,8,7,5,AUS,4.0,SOUTHERN A,5 - 8,228,AUS,3:48
5m shot - Post,6.0,8,7,5,AUS,4.0,PAREJA J,5 - 8,202,ESP,3:22
20 sec. exclusion in centre,12.0,8,7,5,AUS,4.0,LOPEZ L,5 - 8,189,ESP,3:09
Penalty foul,1.0,8,7,5,AUS,4.0,ESTER L,5 - 8,189,ESP,3:09
Penalty shot - Saved,4.0,8,7,5,AUS,4.0,LINCOLN-SMITH H,5 - 8,189,AUS,3:09
20 sec. exclusion in field,10.0,8,7,5,AUS,4.0,SOUTHERN A,5 - 8,174,AUS,2:54
Counter attack - Saved,6.0,8,7,5,AUS,4.0,KNOX B,5 - 8,98,AUS,1:38
Action shot - Saved,12.0,8,7,5,AUS,4.0,ZAGAME N,5 - 8,81,AUS,1:21
5m shot - Saved,6.0,8,7,5,AUS,4.0,KNOX B,5 - 8,42,AUS,0:42
Time-Out,,8,7,5,AUS,4.0,,5 - 8,12,AUS,0:12
20 sec. exclusion in field,11.0,8,7,5,AUS,4.0,GARCIA GODOY M,5 - 8,4,ESP,0:04
Extra player shot - Goal,5.0,8,7,6,AUS,4.0,BISHOP I,6 - 8,1,AUS,0:01
