Action,Cap,Game,Period,Player,Score,Team,Time,Result,Goal
Action shot,11.0,6,3.0,FISCHER M,7 - 4,USA,5:12,Missed,0
Action shot,6.0,6,3.0,LLORET GOMEZ H,7 - 4,ESP,4:43,Saved,0
5m shot,4.0,6,3.0,ORTIZ MUNOZ B,7 - 4,ESP,4:16,Post,0
Extra player shot,6.0,6,3.0,STEFFENS M,8 - 4,USA,3:31,Goal,1
5m shot,9.0,6,3.0,FORCA ARIZA J,8 - 4,ESP,3:08,Missed,0
Centre shot,3.0,6,3.0,ESPAR LLAQUET A,8 - 4,ESP,2:26,Missed,0
Extra player shot,11.0,6,3.0,FISCHER M,9 - 4,USA,1:55,Goal,1
5m shot,9.0,6,3.0,FORCA ARIZA J,9 - 4,ESP,1:25,Post,0
Extra player shot,12.0,6,3.0,LEITON ARRONES P,9 - 5,ESP,0:25,Goal,1
Centre shot,2.0,6,3.0,MUSSELMAN M,10 - 5,USA,0:01,Goal,1
5m shot,4.0,6,4.0,FATTAL R,10 - 5,USA,7:32,Missed,0
5m shot,9.0,6,4.0,FORCA ARIZA J,10 - 5,ESP,7:04,Blocked,0
5m shot,6.0,6,4.0,STEFFENS M,11 - 5,USA,6:34,Goal,1
Extra player shot,8.0,6,4.0,NEUSHUL K,12 - 5,USA,5:34,Goal,1
Action shot,11.0,6,4.0,GUAL ROVIROSA A,12 - 5,ESP,4:12,Missed,0
Extra player shot,2.0,6,4.0,MUSSELMAN M,13 - 5,USA,3:42,Goal,1
5m shot,4.0,6,4.0,ORTIZ MUNOZ B,13 - 5,ESP,3:13,Missed,0
Extra player shot,5.0,6,4.0,HAUSCHILD P,13 - 5,USA,2:31,Blocked,0
Action shot,12.0,6,4.0,WILLIAMS A,13 - 5,USA,2:01,Post,0
5m shot,3.0,6,4.0,ESPAR LLAQUET A,13 - 6,ESP,1:36,Goal,1
Centre shot,9.0,6,4.0,FISCHER A,13 - 6,USA,1:07,Saved,0
5m shot,3.0,6,4.0,ESPAR LLAQUET A,13 - 6,ESP,0:38,Missed,0
