AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
4,Action shot,8.0,5,1,GRE,2.0,McGHIE G,4 - 1,237,AUS,3:57,Goal,1
4,Action shot,6.0,5,1,GRE,2.0,AVRAMIDOU A,4 - 1,163,GRE,2:43,Post,0
4,Extra player shot,8.0,5,1,GRE,2.0,ROUMPESI A,4 - 1,99,GRE,1:39,Blocked,0
4,Action shot,5.0,5,1,GRE,2.0,BISHOP I,4 - 1,70,AUS,1:10,Saved,0
4,Action shot,6.0,5,2,GRE,2.0,AVRAMIDOU A,4 - 2,25,GRE,0:25,Goal,1
4,Action shot,7.0,5,2,GRE,3.0,WEBSTER R,4 - 2,463,AUS,7:43,Blocked,0
4,Action shot,8.0,5,3,GRE,3.0,ROUMPESI A,4 - 3,408,GRE,6:48,Goal,1
5,Action shot,6.0,5,3,GRE,3.0,KNOX B,5 - 3,317,AUS,5:17,Goal,1
5,Action shot,6.0,5,3,GRE,3.0,AVRAMIDOU A,5 - 3,292,GRE,4:52,Saved,0
6,Extra player shot,10.0,5,3,GRE,3.0,SOUTHERN A,6 - 3,253,AUS,4:13,Goal,1
6,Centre shot,7.0,5,4,GRE,3.0,ASIMAKI A,6 - 4,234,GRE,3:54,Goal,1
6,Extra player shot,7.0,5,4,GRE,3.0,ASIMAKI A,6 - 4,192,GRE,3:12,Saved,0
6,Action shot,10.0,5,4,GRE,3.0,MANOLIOUDAKI T,6 - 4,139,GRE,2:19,Post,0
6,Action shot,8.0,5,4,GRE,3.0,McGHIE G,6 - 4,114,AUS,1:54,Saved,0
6,Action shot,6.0,5,4,GRE,3.0,AVRAMIDOU A,6 - 4,92,GRE,1:32,Post,0
6,Action shot,7.0,5,4,GRE,3.0,WEBSTER R,6 - 4,71,AUS,1:11,Post,0
6,Centre shot,12.0,5,4,GRE,3.0,ZAGAME N,6 - 4,49,AUS,0:49,Saved,0
6,Action shot,6.0,5,4,GRE,4.0,KNOX B,6 - 4,450,AUS,7:30,Blocked,0
6,Centre shot,4.0,5,4,GRE,4.0,LINCOLN-SMITH H,6 - 4,430,AUS,7:10,Saved,0
7,Action shot,7.0,5,4,GRE,4.0,WEBSTER R,7 - 4,312,AUS,5:12,Goal,1
8,Centre shot,2.0,5,4,GRE,4.0,APPEL J,8 - 4,255,AUS,4:15,Goal,1
8,Action shot,11.0,5,4,GRE,4.0,PLEVRITOU E,8 - 4,237,GRE,3:57,Post,0
9,Counter attack,6.0,5,4,GRE,4.0,KNOX B,9 - 4,222,AUS,3:42,Goal,1
9,5m shot,2.0,5,4,GRE,4.0,TSOUKALA C,9 - 4,140,GRE,2:20,Saved,0
9,Counter attack,11.0,5,4,GRE,4.0,GOFERS K,9 - 4,124,AUS,2:04,Saved,0
9,Action shot,7.0,5,4,GRE,4.0,WEBSTER R,9 - 4,104,AUS,1:44,Saved,0
9,Extra player shot,8.0,5,5,GRE,4.0,ROUMPESI A,9 - 5,22,GRE,0:22,Goal,1
9,Extra player shot,10.0,5,5,GRE,4.0,SOUTHERN A,9 - 5,5,AUS,0:05,Post,0
9,5m shot,1.0,5,5,GRE,4.0,KOUVDOU E,9 - 5,1,GRE,0:01,Missed,0
0,Action shot,7.0,6,0,RUS,1.0,WEBSTER R,0 - 0,453,AUS,7:33,Missed,0
0,5m shot,3.0,6,0,RUS,1.0,PROKOFYEVA E,0 - 0,393,RUS,6:33,Missed,0
0,Action shot,6.0,6,0,RUS,1.0,BELOVA O,0 - 0,364,RUS,6:04,Blocked,0
0,Action shot,7.0,6,0,RUS,1.0,WEBSTER R,0 - 0,320,AUS,5:20,Saved,0
0,5m shot,11.0,6,1,RUS,1.0,IVANOVA E,1 - 0,304,RUS,5:04,Goal,1
1,Centre shot,12.0,6,1,RUS,1.0,ZAGAME N,1 - 1,282,AUS,4:42,Goal,1
1,5m shot,12.0,6,1,RUS,1.0,ZELENTSOVA E,1 - 1,254,RUS,4:14,Post,0
1,Action shot,6.0,6,1,RUS,1.0,BELOVA O,1 - 1,206,RUS,3:26,Saved,0
1,Action shot,10.0,6,1,RUS,1.0,SOUTHERN A,1 - 1,182,AUS,3:02,Saved,0
1,5m shot,5.0,6,1,RUS,1.0,ANTONOVA A,1 - 1,137,RUS,2:17,Saved,0
1,Centre shot,2.0,6,1,RUS,1.0,APPEL J,1 - 1,108,AUS,1:48,Saved,0
1,5m shot,10.0,6,1,RUS,1.0,SOUTHERN A,1 - 1,63,AUS,1:03,Missed,0
1,Action shot,11.0,6,1,RUS,1.0,IVANOVA E,1 - 1,36,RUS,0:36,Saved,0
1,5m shot,3.0,6,2,RUS,1.0,PROKOFYEVA E,2 - 1,0,RUS,0:00,Goal,1
1,Centre shot,6.0,6,2,RUS,2.0,BELOVA O,2 - 1,453,RUS,7:33,Post,0
1,Action shot,12.0,6,2,RUS,2.0,ZAGAME N,2 - 1,424,AUS,7:04,Saved,0
