Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Post,1,12.0,3,0,NZL,1.0,MYLES A,1 - 0,371,NZL,6:11
Turnover foul,1,10.0,3,0,NZL,1.0,MA H,1 - 0,365,CHN,6:05
Steal,1,9.0,3,0,NZL,1.0,SIEPRATH L,1 - 0,365,NZL,6:05
20 sec. exclusion in centre,1,3.0,3,0,NZL,1.0,LIU P,1 - 0,350,CHN,5:50
Action shot - Saved,1,3.0,3,0,NZL,1.0,MASON K,1 - 0,325,NZL,5:25
20 sec. exclusion in centre,1,12.0,3,0,NZL,1.0,MYLES A,1 - 0,303,NZL,5:03
Action shot - Saved,1,2.0,3,0,NZL,1.0,TENG F,1 - 0,278,CHN,4:38
Turnover foul,1,10.0,3,0,NZL,1.0,MA H,1 - 0,261,CHN,4:21
Steal,1,8.0,3,0,NZL,1.0,LEWIS D,1 - 0,261,NZL,4:21
5m shot - Saved,1,3.0,3,0,NZL,1.0,MASON K,1 - 0,236,NZL,3:56
Action shot - Post,1,9.0,3,0,NZL,1.0,SIEPRATH L,1 - 0,210,NZL,3:30
Action shot - Goal,2,11.0,3,0,NZL,1.0,ZHANG C,2 - 0,195,CHN,3:15
Action shot - Missed,2,7.0,3,0,NZL,1.0,LANDRY S,2 - 0,165,NZL,2:45
Turnover foul,2,11.0,3,0,NZL,1.0,ZHANG C,2 - 0,148,CHN,2:28
Centre shot - Blocked,2,5.0,3,0,NZL,1.0,HE J,2 - 0,94,CHN,1:34
20 sec. exclusion in field,2,11.0,3,0,NZL,1.0,ZHANG C,2 - 0,86,CHN,1:26
Extra player shot - Post,2,3.0,3,0,NZL,1.0,MASON K,2 - 0,66,NZL,1:06
Turnover foul,2,2.0,3,0,NZL,1.0,COX E,2 - 0,39,NZL,0:39
Steal,2,7.0,3,0,NZL,1.0,SONG D,2 - 0,39,CHN,0:39
Action shot - Post,2,7.0,3,0,NZL,1.0,SONG D,2 - 0,23,CHN,0:23
Action shot - Saved,2,6.0,3,0,NZL,1.0,SMITH L,2 - 0,1,NZL,0:01
Starting goalkeeper,2,13.0,3,0,NZL,2.0,HUTCHINSON I,2 - 0,480,NZL,8:00
Starting goalkeeper,2,1.0,3,0,NZL,2.0,YANG J,2 - 0,480,CHN,8:00
Sprint won possession,2,6.0,3,0,NZL,2.0,SUN Y,2 - 0,480,CHN,8:00
Action shot - Missed,2,3.0,3,0,NZL,2.0,LIU P,2 - 0,456,CHN,7:36
Action shot - Goal,2,6.0,3,1,NZL,2.0,SMITH L,2 - 1,431,NZL,7:11
20 sec. exclusion in centre,2,8.0,3,1,NZL,2.0,LEWIS D,2 - 1,415,NZL,6:55
Extra player shot - Goal,3,2.0,3,1,NZL,2.0,TENG F,3 - 1,396,CHN,6:36
5m shot - Post,3,3.0,3,1,NZL,2.0,MASON K,3 - 1,377,NZL,6:17
Counter attack - Goal,4,4.0,3,1,NZL,2.0,SUN Y,4 - 1,365,CHN,6:05
Turnover foul,4,4.0,3,1,NZL,2.0,LEWIS N,4 - 1,344,NZL,5:44
Action shot - Blocked,4,10.0,3,1,NZL,2.0,MA H,4 - 1,324,CHN,5:24
5m shot - Missed,4,11.0,3,1,NZL,2.0,HUDSON K,4 - 1,296,NZL,4:56
Centre shot - Goal,5,5.0,3,1,NZL,2.0,HE J,5 - 1,271,CHN,4:31
Action shot - Saved,5,3.0,3,1,NZL,2.0,MASON K,5 - 1,251,NZL,4:11
Turnover foul,5,6.0,3,1,NZL,2.0,SUN Y,5 - 1,232,CHN,3:52
Action shot - Saved,5,5.0,3,1,NZL,2.0,BOYD A,5 - 1,203,NZL,3:23
Turnover foul,5,6.0,3,1,NZL,2.0,SUN Y,5 - 1,180,CHN,3:00
Steal,5,3.0,3,1,NZL,2.0,MASON K,5 - 1,180,NZL,3:00
5m shot - Post,5,3.0,3,1,NZL,2.0,MASON K,5 - 1,150,NZL,2:30
Action shot - Goal,6,7.0,3,1,NZL,2.0,SONG D,6 - 1,128,CHN,2:08
20 sec. exclusion in centre,6,8.0,3,1,NZL,2.0,XU L,6 - 1,113,CHN,1:53
Extra player shot - Missed,6,10.0,3,1,NZL,2.0,BOWRY C,6 - 1,94,NZL,1:34
5m shot - Saved,6,3.0,3,1,NZL,2.0,LIU P,6 - 1,70,CHN,1:10
Action shot - Post,6,6.0,3,1,NZL,2.0,SMITH L,6 - 1,44,NZL,0:44
Action shot - Blocked,6,11.0,3,1,NZL,2.0,ZHANG C,6 - 1,20,CHN,0:20
Turnover foul,6,4.0,3,1,NZL,2.0,LEWIS N,6 - 1,5,NZL,0:05
Starting goalkeeper,6,13.0,3,1,NZL,3.0,HUTCHINSON I,6 - 1,480,NZL,8:00
Starting goalkeeper,6,13.0,3,1,NZL,3.0,WANG Y,6 - 1,480,CHN,8:00
Sprint won possession,6,2.0,3,1,NZL,3.0,TENG F,6 - 1,480,CHN,8:00
20 sec. exclusion in field,6,10.0,3,1,NZL,3.0,BOWRY C,6 - 1,465,NZL,7:45
Extra player shot - Post,6,5.0,3,1,NZL,3.0,HE J,6 - 1,445,CHN,7:25
Double exclusion,6,4.0,3,1,NZL,3.0,SUN Y,6 - 1,436,CHN,7:16
Double exclusion,6,10.0,3,1,NZL,3.0,BOWRY C,6 - 1,436,NZL,7:16
5m shot - Goal,7,10.0,3,1,NZL,3.0,MA H,7 - 1,419,CHN,6:59
Action shot - Goal,7,12.0,3,2,NZL,3.0,MYLES A,7 - 2,398,NZL,6:38
Turnover foul,7,5.0,3,2,NZL,3.0,HE J,7 - 2,381,CHN,6:21
Steal,7,9.0,3,2,NZL,3.0,SIEPRATH L,7 - 2,381,NZL,6:21
20 sec. exclusion in centre,7,3.0,3,2,NZL,3.0,LIU P,7 - 2,352,CHN,5:52
Time-Out,7,,3,2,NZL,3.0,,7 - 2,351,NZL,5:51
5m shot - Missed,7,11.0,3,2,NZL,3.0,HUDSON K,7 - 2,325,NZL,5:25
5m shot - Goal,8,4.0,3,2,NZL,3.0,SUN Y,8 - 2,299,CHN,4:59
5m shot - Post,8,3.0,3,2,NZL,3.0,MASON K,8 - 2,270,NZL,4:30
Action shot - Saved,8,12.0,3,2,NZL,3.0,XIA Q,8 - 2,257,CHN,4:17
20 sec. exclusion in field,8,8.0,3,2,NZL,3.0,LEWIS D,8 - 2,250,NZL,4:10
Extra player shot - Goal,9,7.0,3,2,NZL,3.0,SONG D,9 - 2,234,CHN,3:54
5m shot - Goal,9,12.0,3,3,NZL,3.0,MYLES A,9 - 3,218,NZL,3:38
Turnover foul,9,5.0,3,3,NZL,3.0,HE J,9 - 3,204,CHN,3:24
5m shot - Goal,9,5.0,3,4,NZL,3.0,BOYD A,9 - 4,176,NZL,2:56
Turnover foul,9,3.0,3,4,NZL,3.0,LIU P,9 - 4,158,CHN,2:38
Steal,9,9.0,3,4,NZL,3.0,SIEPRATH L,9 - 4,158,NZL,2:38
Action shot - Saved,9,6.0,3,4,NZL,3.0,SMITH L,9 - 4,132,NZL,2:12
Action shot - Missed,9,11.0,3,4,NZL,3.0,ZHANG C,9 - 4,116,CHN,1:56
5m shot - Post,9,3.0,3,4,NZL,3.0,MASON K,9 - 4,94,NZL,1:34
20 sec. exclusion in field,9,6.0,3,4,NZL,3.0,SMITH L,9 - 4,87,NZL,1:27
Time-Out,9,,3,4,NZL,3.0,,9 - 4,80,CHN,1:20
Action shot - Goal,10,4.0,3,4,NZL,3.0,SUN Y,10 - 4,65,CHN,1:05
20 sec. exclusion in centre,10,4.0,3,4,NZL,3.0,SUN Y,10 - 4,51,CHN,0:51
Extra player shot - Blocked,10,12.0,3,4,NZL,3.0,MYLES A,10 - 4,32,NZL,0:32
20 sec. exclusion in field,10,8.0,3,4,NZL,3.0,LEWIS D,10 - 4,26,NZL,0:26
Exclusion with substitution,10,8.0,3,4,NZL,3.0,LEWIS D,10 - 4,26,NZL,0:26
Extra player shot - Goal,11,10.0,3,4,NZL,3.0,MA H,11 - 4,11,CHN,0:11
5m shot - Saved,11,10.0,3,4,NZL,3.0,BOWRY C,11 - 4,1,NZL,0:01
Starting goalkeeper,11,13.0,3,4,NZL,4.0,WANG Y,11 - 4,480,CHN,8:00
Starting goalkeeper,11,13.0,3,4,NZL,4.0,HUTCHINSON I,11 - 4,480,NZL,8:00
Sprint won possession,11,2.0,3,4,NZL,4.0,TENG F,11 - 4,480,CHN,8:00
5m shot - Post,11,7.0,3,4,NZL,4.0,SONG D,11 - 4,454,CHN,7:34
Action shot - Missed,11,3.0,3,4,NZL,4.0,MASON K,11 - 4,423,NZL,7:03
Centre shot - Blocked,11,5.0,3,4,NZL,4.0,HE J,11 - 4,403,CHN,6:43
20 sec. exclusion in field,11,7.0,3,4,NZL,4.0,SONG D,11 - 4,398,CHN,6:38
Time-Out,11,,3,4,NZL,4.0,,11 - 4,396,NZL,6:36
Turnover foul,11,10.0,3,4,NZL,4.0,BOWRY C,11 - 4,375,NZL,6:15
Centre shot - Missed,11,6.0,3,4,NZL,4.0,SUN Y,11 - 4,356,CHN,5:56
5m shot - Missed,11,6.0,3,4,NZL,4.0,SMITH L,11 - 4,332,NZL,5:32
Steal,11,10.0,3,4,NZL,4.0,BOWRY C,11 - 4,305,NZL,5:05
Turnover foul,11,11.0,3,4,NZL,4.0,ZHANG C,11 - 4,305,CHN,5:05
20 sec. exclusion in centre,11,11.0,3,4,NZL,4.0,ZHANG C,11 - 4,288,CHN,4:48
Extra player shot - Saved,11,9.0,3,4,NZL,4.0,SIEPRATH L,11 - 4,266,NZL,4:26
