Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,2.0,2,2,13,HUN,2.0,CZIGANY D,2 - 13,49,HUN,0:49,Goal,1
Action shot,4.0,2,2,14,HUN,2.0,GURISATTI G,2 - 14,8,HUN,0:08,Goal,1
5m shot,2.0,2,2,14,HUN,2.0,MILLOT E,2 - 14,1,FRA,0:01,Saved,0
5m shot,8.0,2,2,14,HUN,3.0,KESZTHELYI R,2 - 14,454,HUN,7:34,Post,0
Centre shot,9.0,2,2,15,HUN,3.0,TOTH I,2 - 15,438,HUN,7:18,Goal,1
Action shot,2.0,2,2,15,HUN,3.0,MILLOT E,2 - 15,374,FRA,6:14,Saved,0
Extra player shot,6.0,2,2,16,HUN,3.0,TAKACS O,2 - 16,351,HUN,5:51,Goal,1
Extra player shot,9.0,3,2,16,HUN,3.0,SACRE A,3 - 16,316,FRA,5:16,Goal,1
Action shot,12.0,3,2,17,HUN,3.0,SZILAGYI D,3 - 17,275,HUN,4:35,Goal,1
Centre shot,3.0,4,2,17,HUN,3.0,BACHELIER L,4 - 17,254,FRA,4:14,Goal,1
Centre shot,3.0,4,2,17,HUN,3.0,ANTAL D,4 - 17,137,HUN,2:17,Saved,0
Action shot,5.0,4,2,18,HUN,3.0,SZUCS G,4 - 18,116,HUN,1:56,Goal,1
Action shot,10.0,4,2,19,HUN,3.0,BUJKA B,4 - 19,70,HUN,1:10,Goal,1
Action shot,3.0,4,2,20,HUN,3.0,ANTAL D,4 - 20,30,HUN,0:30,Goal,1
Extra player shot,2.0,5,2,20,HUN,3.0,MILLOT E,5 - 20,2,FRA,0:02,Goal,1
Action shot,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,453,HUN,7:33,Goal,1
Extra player shot,2.0,5,2,21,HUN,4.0,MILLOT E,5 - 21,413,FRA,6:53,Post,0
Action shot,11.0,5,2,21,HUN,4.0,CSABAI D,5 - 21,386,HUN,6:26,Saved,0
Extra player shot,12.0,5,2,21,HUN,4.0,DAULE A,5 - 21,351,FRA,5:51,Saved,0
Extra player shot,6.0,5,2,21,HUN,4.0,MAHIEU G,5 - 21,324,FRA,5:24,Post,0
5m shot,11.0,5,2,21,HUN,4.0,CSABAI D,5 - 21,274,HUN,4:34,Post,0
5m shot,12.0,5,2,21,HUN,4.0,DAULE A,5 - 21,245,FRA,4:05,Saved,0
5m shot,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,228,HUN,3:48,Saved,0
Centre shot,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,212,HUN,3:32,Missed,0
Action shot,4.0,5,2,21,HUN,4.0,GURISATTI G,5 - 21,167,HUN,2:47,Post,0
Action shot,6.0,5,2,21,HUN,4.0,MAHIEU G,5 - 21,48,FRA,0:48,Blocked,0
Counter attack,3.0,5,2,23,HUN,4.0,ANTAL D,5 - 23,39,HUN,0:39,Goal,1
Action shot,8.0,5,2,23,HUN,4.0,KESZTHELYI R,5 - 23,10,HUN,0:10,Saved,0
Centre shot,3.0,5,2,24,HUN,4.0,ANTAL D,5 - 24,3,HUN,0:03,Goal,1
Action shot,12.0,0,3,1,JPN,1.0,SUZUKI K,1 - 0,442,JPN,7:22,Goal,1
Centre shot,6.0,1,3,1,JPN,1.0,MAHIEU G,1 - 1,416,FRA,6:56,Goal,1
5m shot,5.0,1,3,2,JPN,1.0,SAKANOUE C,2 - 1,393,JPN,6:33,Goal,1
Centre shot,6.0,1,3,2,JPN,1.0,MAHIEU G,2 - 1,362,FRA,6:02,Post,0
Centre shot,6.0,1,3,2,JPN,1.0,YAMAMOTO M,2 - 1,344,JPN,5:44,Post,0
Extra player shot,11.0,2,3,2,JPN,1.0,BARBIEUX M,2 - 2,318,FRA,5:18,Goal,1
5m shot,2.0,2,3,2,JPN,1.0,ARIMA Y,2 - 2,301,JPN,5:01,Post,0
Extra player shot,10.0,2,3,2,JPN,1.0,NORO M,2 - 2,225,JPN,3:45,Post,0
Action shot,12.0,2,3,2,JPN,1.0,SUZUKI K,2 - 2,149,JPN,2:29,Missed,0
Action shot,7.0,2,3,2,JPN,1.0,VALVERDE C,2 - 2,130,FRA,2:10,Saved,0
Counter attack,7.0,2,3,3,JPN,1.0,INABA A,3 - 2,117,JPN,1:57,Goal,1
5m shot,2.0,2,3,3,JPN,1.0,ARIMA Y,3 - 2,84,JPN,1:24,Post,0
Action shot,3.0,2,3,3,JPN,1.0,KAZAMA Y,3 - 2,36,JPN,0:36,Saved,0
Extra player shot,5.0,3,3,3,JPN,1.0,GUILLET L,3 - 3,1,FRA,0:01,Goal,1
Action shot,7.0,3,3,3,JPN,2.0,INABA A,3 - 3,451,JPN,7:31,Saved,0
5m shot,7.0,3,3,3,JPN,2.0,VALVERDE C,3 - 3,425,FRA,7:05,Saved,0
5m shot,10.0,3,3,3,JPN,2.0,NORO M,3 - 3,401,JPN,6:41,Missed,0
Extra player shot,12.0,4,3,3,JPN,2.0,DAULE A,3 - 4,368,FRA,6:08,Goal,1
Extra player shot,2.0,5,3,3,JPN,2.0,MILLOT E,3 - 5,313,FRA,5:13,Goal,1
Centre shot,6.0,5,3,3,JPN,2.0,MAHIEU G,3 - 5,269,FRA,4:29,Missed,0
5m shot,7.0,5,3,3,JPN,2.0,INABA A,3 - 5,240,JPN,4:00,Post,0
Action shot,5.0,5,3,3,JPN,2.0,GUILLET L,3 - 5,209,FRA,3:29,Saved,0
Action shot,5.0,5,3,3,JPN,2.0,SAKANOUE C,3 - 5,195,JPN,3:15,Saved,0
Counter attack,7.0,5,3,3,JPN,4.0,INABA A,3 - 5,311,JPN,5:11,Post,0
Penalty shot,2.0,5,3,3,JPN,4.0,ARIMA Y,3 - 5,284,JPN,4:44,Saved,0
5m shot,2.0,5,3,3,JPN,4.0,MILLOT E,3 - 5,259,FRA,4:19,Post,0
Counter attack,6.0,8,3,8,JPN,4.0,YAMAMOTO M,8 - 8,242,JPN,4:02,Goal,1
Action shot,12.0,8,3,8,JPN,4.0,SUZUKI K,8 - 8,203,JPN,3:23,Blocked,0
Penalty shot,2.0,6,3,3,JPN,2.0,MILLOT E,3 - 6,85,FRA,1:25,Goal,1
5m shot,2.0,6,3,3,JPN,2.0,ARIMA Y,3 - 6,61,JPN,1:01,Saved,0
Extra player shot,7.0,6,3,3,JPN,2.0,INABA A,3 - 6,20,JPN,0:20,Saved,0
5m shot,5.0,6,3,3,JPN,3.0,GUILLET L,3 - 6,395,FRA,6:35,Missed,0
Extra player shot,6.0,6,3,3,JPN,3.0,YAMAMOTO M,3 - 6,355,JPN,5:55,Saved,0
Action shot,12.0,6,3,4,JPN,3.0,SUZUKI K,4 - 6,313,JPN,5:13,Goal,1
5m shot,2.0,6,3,4,JPN,3.0,MILLOT E,4 - 6,286,FRA,4:46,Saved,0
Centre shot,8.0,6,3,4,JPN,3.0,NIIZAWA Y,4 - 6,279,JPN,4:39,Post,0
5m shot,2.0,6,3,4,JPN,3.0,ARIMA Y,4 - 6,219,JPN,3:39,Blocked,0
Action shot,5.0,6,3,4,JPN,3.0,SAKANOUE C,4 - 6,184,JPN,3:04,Post,0
Action shot,7.0,6,3,5,JPN,3.0,INABA A,5 - 6,113,JPN,1:53,Goal,1
Action shot,7.0,6,3,5,JPN,3.0,INABA A,5 - 6,71,JPN,1:11,Saved,0
Action shot,5.0,6,3,6,JPN,3.0,SAKANOUE C,6 - 6,32,JPN,0:32,Goal,1
5m shot,2.0,7,3,6,JPN,3.0,MILLOT E,6 - 7,3,FRA,0:03,Goal,1
5m shot,2.0,7,3,6,JPN,3.0,ARIMA Y,6 - 7,1,JPN,0:01,Missed,0
Action shot,7.0,7,3,6,JPN,4.0,VALVERDE C,6 - 7,396,FRA,6:36,Post,0
Centre shot,7.0,7,3,7,JPN,4.0,INABA A,7 - 7,377,JPN,6:17,Goal,1
Centre shot,6.0,8,3,7,JPN,4.0,MAHIEU G,7 - 8,355,FRA,5:55,Goal,1
Action shot,12.0,8,3,7,JPN,4.0,SUZUKI K,7 - 8,339,JPN,5:39,Saved,0
5m shot,4.0,8,3,7,JPN,4.0,SACRE A,7 - 8,176,FRA,2:56,Saved,0
5m shot,2.0,8,3,7,JPN,4.0,ARIMA Y,7 - 8,111,JPN,1:51,Missed,0
Action shot,2.0,9,3,8,JPN,4.0,MILLOT E,8 - 9,74,FRA,1:14,Goal,1
5m shot,7.0,9,3,8,JPN,4.0,INABA A,8 - 9,55,JPN,0:55,Post,0
5m shot,5.0,9,3,8,JPN,4.0,SAKANOUE C,8 - 9,16,JPN,0:16,Blocked,0
5m shot,7.0,0,4,1,AUS,1.0,WEBSTER R,0 - 1,428,AUS,7:08,Goal,1
5m shot,5.0,0,4,1,AUS,1.0,GUILLET L,0 - 1,398,FRA,6:38,Post,0
5m shot,3.0,0,4,1,AUS,1.0,BUCKLING H,0 - 1,382,AUS,6:22,Post,0
Penalty shot,7.0,0,4,2,AUS,1.0,WEBSTER R,0 - 2,341,AUS,5:41,Goal,1
5m shot,3.0,0,4,2,AUS,1.0,BACHELIER L,0 - 2,310,FRA,5:10,Blocked,0
Centre shot,9.0,0,4,3,AUS,1.0,ARANCINI Z,0 - 3,287,AUS,4:47,Goal,1
5m shot,10.0,0,4,3,AUS,1.0,DESCHAMPT Y,0 - 3,257,FRA,4:17,Saved,0
Action shot,7.0,0,4,3,AUS,1.0,WEBSTER R,0 - 3,230,AUS,3:50,Missed,0
Action shot,5.0,0,4,3,AUS,1.0,GUILLET L,0 - 3,212,FRA,3:32,Saved,0
5m shot,2.0,0,4,3,AUS,1.0,MILLOT E,0 - 3,161,FRA,2:41,Saved,0
Counter attack,2.0,0,4,4,AUS,1.0,GOFERS K,0 - 4,145,AUS,2:25,Goal,1
5m shot,7.0,0,4,4,AUS,1.0,VALVERDE C,0 - 4,116,FRA,1:56,Saved,0
Extra player shot,3.0,0,4,5,AUS,1.0,BUCKLING H,0 - 5,47,AUS,0:47,Goal,1
Extra player shot,6.0,0,4,5,AUS,1.0,MAHIEU G,0 - 5,13,FRA,0:13,Missed,0
5m shot,5.0,0,4,5,AUS,1.0,BISHOP I,0 - 5,0,AUS,0:00,Saved,0
Action shot,7.0,0,4,6,AUS,2.0,WEBSTER R,0 - 6,400,AUS,6:40,Goal,1
Action shot,4.0,0,4,7,AUS,2.0,HALLIGAN B,0 - 7,333,AUS,5:33,Goal,1
5m shot,9.0,0,4,7,AUS,2.0,SACRE A,0 - 7,309,FRA,5:09,Missed,0
Counter attack,2.0,0,4,8,AUS,2.0,GOFERS K,0 - 8,296,AUS,4:56,Goal,1
Extra player shot,4.0,0,4,8,AUS,2.0,SACRE A,0 - 8,279,FRA,4:39,Saved,0
Extra player shot,5.0,0,4,8,AUS,2.0,GUILLET L,0 - 8,264,FRA,4:24,Saved,0
5m shot,11.0,0,4,8,AUS,2.0,BAXTER M,0 - 8,178,AUS,2:58,Saved,0
Action shot,3.0,0,4,8,AUS,2.0,BACHELIER L,0 - 8,153,FRA,2:33,Saved,0
