Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,0,7.0,3,0,USA,1.0,KRUMPHOLZ J,0 - 0,365,USA,6:05
Turnover foul,0,4.0,3,0,USA,1.0,CONSTANTIN-BICARI,0 - 0,349,CAN,5:49
20 sec. exclusion in field,0,2.0,3,0,USA,1.0,KUDABA C,0 - 0,347,CAN,5:47
Action shot - Goal,0,4.0,3,1,USA,1.0,BOWEN A,0 - 1,324,USA,5:24
Action shot - Saved,0,9.0,3,1,USA,1.0,DIGGLE D,0 - 1,297,CAN,4:57
Action shot - Saved,0,11.0,3,1,USA,1.0,ROSENTHAL M,0 - 1,284,USA,4:44
Centre shot - Missed,0,4.0,3,1,USA,1.0,CONSTANTIN-BICARI,0 - 1,266,CAN,4:26
20 sec. exclusion in centre,0,6.0,3,1,USA,1.0,ROBINSON S,0 - 1,254,CAN,4:14
Extra player shot - Missed,0,8.0,3,1,USA,1.0,AZEVEDO A,0 - 1,243,USA,4:03
5m shot - Blocked,0,6.0,3,1,USA,1.0,ROBINSON S,0 - 1,217,CAN,3:37
Action shot - Blocked,0,2.0,3,1,USA,1.0,KUDABA C,0 - 1,157,CAN,2:37
Action shot - Goal,0,4.0,3,2,USA,1.0,BOWEN A,0 - 2,134,USA,2:14
Action shot - Saved,0,5.0,3,2,USA,1.0,BOYD J,0 - 2,106,CAN,1:46
Action shot - Saved,0,9.0,3,2,USA,1.0,BUCKNER S,0 - 2,87,USA,1:27
5m shot - Goal,1,12.0,3,2,USA,1.0,McELROY J,1 - 2,61,CAN,1:01
Turnover foul,1,11.0,3,2,USA,1.0,ROSENTHAL M,1 - 2,35,USA,0:35
20 sec. exclusion in field,1,11.0,3,2,USA,1.0,ROSENTHAL M,1 - 2,17,USA,0:17
Extra player shot - Goal,2,12.0,3,2,USA,1.0,McELROY J,2 - 2,0,CAN,0:00
Starting goalkeeper,2,1.0,3,2,USA,2.0,RANDALL R,2 - 2,480,CAN,8:00
Starting goalkeeper,2,1.0,3,2,USA,2.0,MOSES M,2 - 2,480,USA,8:00
Sprint won possession,2,8.0,3,2,USA,2.0,GRAHAM K,2 - 2,480,CAN,8:00
Centre shot - Saved,2,4.0,3,2,USA,2.0,CONSTANTIN-BICARI,2 - 2,452,CAN,7:32
Centre shot - Goal,2,12.0,3,3,USA,2.0,MANN J,2 - 3,427,USA,7:07
20 sec. exclusion in field,2,4.0,3,3,USA,2.0,BOWEN A,2 - 3,413,USA,6:53
Extra player shot - Saved,2,12.0,3,3,USA,2.0,McELROY J,2 - 3,386,CAN,6:26
20 sec. exclusion in centre,2,12.0,3,3,USA,2.0,McELROY J,2 - 3,373,CAN,6:13
Extra player shot - Missed,2,9.0,3,3,USA,2.0,BUCKNER S,2 - 3,367,USA,6:07
Action shot - Saved,2,2.0,3,3,USA,2.0,KUDABA C,2 - 3,346,CAN,5:46
20 sec. exclusion in field,2,2.0,3,3,USA,2.0,KUDABA C,2 - 3,338,CAN,5:38
Action shot - Saved,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,308,USA,5:08
Action shot - Blocked,2,12.0,3,3,USA,2.0,McELROY J,2 - 3,282,CAN,4:42
Turnover foul,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,262,USA,4:22
Steal,2,6.0,3,3,USA,2.0,ROBINSON S,2 - 3,262,CAN,4:22
5m shot - Saved,2,8.0,3,3,USA,2.0,GRAHAM K,2 - 3,233,CAN,3:53
Turnover foul,2,2.0,3,3,USA,2.0,WIGO J,2 - 3,210,USA,3:30
Steal,2,1.0,3,3,USA,2.0,RANDALL R,2 - 3,210,CAN,3:30
Turnover foul,2,8.0,3,3,USA,2.0,GRAHAM K,2 - 3,190,CAN,3:10
