Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,7.0,3,7,RUS,3.0,MERKULOV D,12 - 7,7,RUS,0:07,12,Post,0
5m shot,8.0,3,7,RUS,3.0,CARNIGLIA N,12 - 7,1,USA,0:01,12,Post,0
Extra player shot,10.0,3,7,RUS,4.0,KHOLOD D,12 - 7,414,RUS,6:54,12,Blocked,0
Extra player shot,9.0,3,7,RUS,4.0,BOWEN A,12 - 7,377,USA,6:17,12,Saved,0
Extra player shot,6.0,3,7,RUS,4.0,CUPIDO L,13 - 7,371,USA,6:11,13,Goal,1
Extra player shot,4.0,3,8,RUS,4.0,DEREVIANKIN N,13 - 8,333,RUS,5:33,13,Goal,1
Extra player shot,12.0,3,8,RUS,4.0,SHEPELEV R,13 - 8,153,RUS,2:33,13,Post,0
Counter attack,12.0,3,10,RUS,4.0,SHEPELEV R,14 - 10,115,RUS,1:55,14,Goal,1
Extra player shot,6.0,3,10,RUS,4.0,CUPIDO L,14 - 10,82,USA,1:22,14,Missed,0
Counter attack,6.0,3,10,RUS,4.0,ASHAEV A,14 - 10,71,RUS,1:11,14,Saved,0
Penalty shot,7.0,3,10,RUS,4.0,MERKULOV D,14 - 10,45,RUS,0:45,14,Saved,0
Extra player shot,5.0,3,11,RUS,4.0,BUGAYCHUK A,14 - 11,6,RUS,0:06,14,Goal,1
5m shot,9.0,3,11,RUS,4.0,BOWEN A,14 - 11,1,USA,0:01,14,Saved,0
5m shot,2.0,4,0,RSA,1.0,HOOPER J,0 - 0,387,USA,6:27,0,Post,0
Penalty shot,6.0,4,0,RSA,1.0,CUPIDO L,0 - 1,347,USA,5:47,1,Goal,1
5m shot,6.0,4,0,RSA,1.0,CUPIDO L,0 - 1,315,USA,5:15,1,Saved,0
Action shot,3.0,4,0,RSA,1.0,VAVIC M,0 - 1,272,USA,4:32,1,Post,0
5m shot,11.0,4,0,RSA,1.0,MOLYNEUX N,0 - 1,179,RSA,2:59,1,Missed,0
5m shot,2.0,4,0,RSA,1.0,le ROUX E,0 - 1,139,RSA,2:19,1,Saved,0
5m shot,6.0,4,0,RSA,1.0,CUPIDO L,0 - 1,74,USA,1:14,1,Post,0
5m shot,10.0,4,0,RSA,1.0,le ROUX P,0 - 1,55,RSA,0:55,1,Missed,0
Centre shot,5.0,4,0,RSA,1.0,HALLOCK B,0 - 1,34,USA,0:34,1,Post,0
Action shot,10.0,4,0,RSA,2.0,le ROUX P,0 - 1,457,RSA,7:37,1,Saved,0
Extra player shot,2.0,4,1,RSA,2.0,le ROUX E,1 - 1,393,RSA,6:33,1,Goal,1
5m shot,6.0,4,1,RSA,2.0,CUPIDO L,1 - 1,380,USA,6:20,1,Saved,0
Action shot,3.0,4,1,RSA,2.0,CARD D,1 - 1,351,RSA,5:51,1,Saved,0
Action shot,6.0,4,1,RSA,2.0,CUPIDO L,1 - 1,318,USA,5:18,1,Saved,0
Action shot,11.0,4,1,RSA,2.0,ROELSE A,1 - 2,288,USA,4:48,2,Goal,1
5m shot,8.0,4,1,RSA,2.0,RODDA N,1 - 2,261,RSA,4:21,2,Missed,0
Extra player shot,10.0,4,1,RSA,2.0,RAMIREZ C,1 - 3,234,USA,3:54,3,Goal,1
Centre shot,2.0,4,1,RSA,2.0,le ROUX E,1 - 3,210,RSA,3:30,3,Saved,0
5m shot,12.0,4,1,RSA,2.0,IRVING M,1 - 4,164,USA,2:44,4,Goal,1
5m shot,10.0,4,1,RSA,2.0,le ROUX P,1 - 4,138,RSA,2:18,4,Saved,0
5m shot,10.0,4,1,RSA,4.0,le ROUX P,1 - 4,289,RSA,4:49,4,Saved,0
5m shot,8.0,4,1,RSA,4.0,RODDA N,1 - 4,255,RSA,4:15,4,Saved,0
Action shot,3.0,4,4,RSA,4.0,VAVIC M,4 - 12,227,USA,3:47,12,Goal,1
5m shot,2.0,4,4,RSA,4.0,le ROUX E,4 - 12,200,RSA,3:20,12,Post,0
Action shot,7.0,4,4,RSA,2.0,RABIE L,4 - 12,122,RSA,2:02,12,Saved,0
Action shot,12.0,4,1,RSA,2.0,IRVING M,1 - 5,105,USA,1:45,5,Goal,1
Action shot,10.0,4,2,RSA,2.0,le ROUX P,2 - 5,94,RSA,1:34,5,Goal,1
Penalty shot,2.0,4,2,RSA,2.0,HOOPER J,2 - 6,78,USA,1:18,6,Goal,1
5m shot,3.0,4,2,RSA,2.0,VAVIC M,2 - 6,29,USA,0:29,6,Saved,0
5m shot,8.0,4,3,RSA,2.0,RODDA N,3 - 6,17,RSA,0:17,6,Goal,1
5m shot,6.0,4,3,RSA,2.0,CUPIDO L,3 - 6,3,USA,0:03,6,Saved,0
Action shot,4.0,4,3,RSA,2.0,OBERT A,3 - 7,2,USA,0:02,7,Goal,1
Action shot,11.0,4,3,RSA,3.0,ROELSE A,3 - 7,400,USA,6:40,7,Saved,0
Extra player shot,2.0,4,3,RSA,3.0,HOOPER J,3 - 7,323,USA,5:23,7,Saved,0
Action shot,2.0,4,3,RSA,3.0,le ROUX E,3 - 7,295,RSA,4:55,7,Saved,0
Action shot,4.0,4,4,RSA,3.0,BADENHORST N,4 - 7,293,RSA,4:53,7,Goal,1
5m shot,10.0,4,4,RSA,3.0,le ROUX P,4 - 7,250,RSA,4:10,7,Blocked,0
Action shot,12.0,4,4,RSA,3.0,IRVING M,4 - 8,208,USA,3:28,8,Goal,1
Action shot,4.0,4,4,RSA,3.0,OBERT A,4 - 9,156,USA,2:36,9,Goal,1
Extra player shot,8.0,4,4,RSA,3.0,CARNIGLIA N,4 - 10,84,USA,1:24,10,Goal,1
Action shot,10.0,4,4,RSA,3.0,le ROUX P,4 - 10,40,RSA,0:40,10,Post,0
Extra player shot,6.0,4,4,RSA,3.0,CUPIDO L,4 - 10,6,USA,0:06,10,Blocked,0
5m shot,2.0,4,4,RSA,3.0,HOOPER J,4 - 10,4,USA,0:04,10,Saved,0
5m shot,7.0,4,4,RSA,3.0,RABIE L,4 - 10,1,RSA,0:01,10,Saved,0
5m shot,12.0,4,4,RSA,4.0,OLVER R,4 - 10,420,RSA,7:00,10,Saved,0
Centre shot,11.0,4,4,RSA,4.0,ROELSE A,4 - 11,408,USA,6:48,11,Goal,1
5m shot,12.0,4,4,RSA,4.0,OLVER R,4 - 11,342,RSA,5:42,11,Missed,0
Action shot,8.0,4,4,RSA,4.0,CARNIGLIA N,4 - 11,317,USA,5:17,11,Saved,0
Action shot,5.0,4,4,RSA,4.0,HALLOCK B,4 - 11,152,USA,2:32,11,Saved,0
5m shot,11.0,4,4,RSA,4.0,MOLYNEUX N,4 - 11,70,RSA,1:10,11,Missed,0
Action shot,2.0,4,4,RSA,4.0,HOOPER J,4 - 11,57,USA,0:57,11,Post,0
5m shot,2.0,4,4,RSA,4.0,le ROUX E,4 - 11,28,RSA,0:28,11,Blocked,0
Action shot,4.0,4,4,RSA,4.0,OBERT A,4 - 13,3,USA,0:03,13,Goal,1
Extra player shot,7.0,5,0,FRA,1.0,DUNSTAN T,0 - 0,434,USA,7:14,0,Post,0
5m shot,6.0,5,0,FRA,1.0,SIMON T,0 - 0,407,FRA,6:47,0,Post,0
Action shot,2.0,5,0,FRA,1.0,HOOPER J,0 - 0,337,USA,5:37,0,Post,0
5m shot,6.0,5,0,FRA,1.0,CUPIDO L,0 - 0,317,USA,5:17,0,Saved,0
5m shot,2.0,5,0,FRA,1.0,HOOPER J,0 - 0,308,USA,5:08,0,Saved,0
5m shot,7.0,5,0,FRA,1.0,CROUSILLAT U,0 - 0,284,FRA,4:44,0,Blocked,0
5m shot,11.0,5,0,FRA,1.0,ROELSE A,0 - 0,167,USA,2:47,0,Blocked,0
5m shot,9.0,5,0,FRA,1.0,MARZOUKI M,0 - 0,143,FRA,2:23,0,Saved,0
Centre shot,2.0,5,0,FRA,1.0,SAUDADIER R,0 - 0,128,FRA,2:08,0,Saved,0
Centre shot,4.0,5,0,FRA,1.0,OBERT A,0 - 0,97,USA,1:37,0,Saved,0
Action shot,7.0,5,1,FRA,1.0,CROUSILLAT U,1 - 0,18,FRA,0:18,0,Goal,1
5m shot,3.0,5,2,FRA,2.0,KOVACEVIC I,2 - 0,450,FRA,7:30,0,Goal,1
5m shot,9.0,5,2,FRA,2.0,BOWEN A,2 - 0,427,USA,7:07,0,Missed,0
5m shot,7.0,5,2,FRA,2.0,CROUSILLAT U,2 - 0,406,FRA,6:46,0,Saved,0
5m shot,2.0,5,2,FRA,2.0,HOOPER J,2 - 0,381,USA,6:21,0,Saved,0
Counter attack,11.0,5,2,FRA,2.0,ROELSE A,2 - 1,357,USA,5:57,1,Goal,1
