AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5,20 sec. exclusion in field,3.0,7,5,RUS,2.0,FORD G,5 - 5,156,AUS,2:36
5,Time-Out,,7,5,RUS,2.0,,5 - 5,156,RUS,2:36
5,Extra player shot - Missed,11.0,7,5,RUS,2.0,LISUNOV S,5 - 5,140,RUS,2:20
5,5m shot - Saved,11.0,7,5,RUS,2.0,HOLLIS L,5 - 5,117,AUS,1:57
5,20 sec. exclusion in centre,7.0,7,5,RUS,2.0,MERKULOV D,5 - 5,106,RUS,1:46
5,Time-Out,,7,5,RUS,2.0,,5 - 5,106,AUS,1:46
6,Extra player shot - Goal,4.0,7,5,RUS,2.0,KAYES J,5 - 6,89,AUS,1:29
6,Action shot - Saved,8.0,7,5,RUS,2.0,NAGAEV I,5 - 6,70,RUS,1:10
6,Turnover foul,5.0,7,5,RUS,4.0,POWER N,5 - 6,1,AUS,0:01
6,Centre shot - Saved,6.0,7,5,RUS,2.0,EDWARDS L,5 - 6,38,AUS,0:38
6,Turnover foul,6.0,7,5,RUS,2.0,ASHAEV A,5 - 6,9,RUS,0:09
6,Steal,13.0,7,5,RUS,2.0,HRYSANTHOS A,5 - 6,9,AUS,0:09
6,5m shot - Saved,7.0,7,5,RUS,2.0,GILCHRIST J,5 - 6,1,AUS,0:01
6,Starting goalkeeper,1.0,7,5,RUS,3.0,KORNEEV K,5 - 6,480,RUS,8:00
6,Starting goalkeeper,13.0,7,5,RUS,3.0,HRYSANTHOS A,5 - 6,480,AUS,8:00
6,Sprint won possession,12.0,7,5,RUS,3.0,SHEPELEV R,5 - 6,480,RUS,8:00
6,5m shot - Post,8.0,7,5,RUS,3.0,NAGAEV I,5 - 6,451,RUS,7:31
6,5m shot - Missed,7.0,7,5,RUS,3.0,GILCHRIST J,5 - 6,422,AUS,7:02
6,Centre shot - Missed,4.0,7,5,RUS,3.0,DEREVIANKIN N,5 - 6,398,RUS,6:38
7,5m shot - Goal,2.0,7,5,RUS,3.0,PUTT T,5 - 7,373,AUS,6:13
7,20 sec. exclusion in centre,3.0,7,5,RUS,3.0,FORD G,5 - 7,357,AUS,5:57
7,Extra player shot - Blocked,6.0,7,5,RUS,3.0,ASHAEV A,5 - 7,344,RUS,5:44
7,Turnover foul,8.0,7,5,RUS,3.0,YOUNGER A,5 - 7,323,AUS,5:23
7,Steal,1.0,7,5,RUS,3.0,KORNEEV K,5 - 7,323,RUS,5:23
7,Turnover foul,7.0,7,5,RUS,3.0,MERKULOV D,5 - 7,303,RUS,5:03
7,Steal,10.0,7,5,RUS,3.0,FANNON J,5 - 7,303,AUS,5:03
7,Action shot - Saved,10.0,7,5,RUS,3.0,FANNON J,5 - 7,274,AUS,4:34
8,Action shot - Goal,8.0,7,5,RUS,3.0,YOUNGER A,5 - 8,260,AUS,4:20
8,Turnover foul,8.0,7,5,RUS,3.0,NAGAEV I,5 - 8,237,RUS,3:57
8,Steal,6.0,7,5,RUS,3.0,EDWARDS L,5 - 8,237,AUS,3:57
8,5m shot - Post,8.0,7,5,RUS,3.0,YOUNGER A,5 - 8,211,AUS,3:31
8,Centre shot - Missed,11.0,7,5,RUS,3.0,LISUNOV S,5 - 8,186,RUS,3:06
8,Action shot - Goal,7.0,7,6,RUS,3.0,MERKULOV D,6 - 8,135,RUS,2:15
8,20 sec. exclusion in centre,7.0,7,6,RUS,3.0,MERKULOV D,6 - 8,110,RUS,1:50
8,Time-Out,,7,6,RUS,3.0,,6 - 8,110,AUS,1:50
8,20 sec. exclusion in centre,10.0,7,6,RUS,3.0,KHOLOD D,6 - 8,97,RUS,1:37
8,Extra player shot - Missed,11.0,7,6,RUS,3.0,HOLLIS L,6 - 8,91,AUS,1:31
8,Time-Out,,7,6,RUS,3.0,,6 - 8,85,RUS,1:25
8,Centre shot - Post,4.0,7,6,RUS,3.0,DEREVIANKIN N,6 - 8,66,RUS,1:06
9,Action shot - Goal,8.0,7,6,RUS,3.0,YOUNGER A,6 - 9,48,AUS,0:48
9,Turnover foul,4.0,7,6,RUS,3.0,DEREVIANKIN N,6 - 9,29,RUS,0:29
9,20 sec. exclusion in centre,4.0,7,6,RUS,3.0,DEREVIANKIN N,6 - 9,9,RUS,0:09
9,Extra player shot - Saved,11.0,7,6,RUS,3.0,HOLLIS L,6 - 9,2,AUS,0:02
9,Starting goalkeeper,1.0,7,6,RUS,4.0,KORNEEV K,6 - 9,480,RUS,8:00
9,Starting goalkeeper,13.0,7,6,RUS,4.0,HRYSANTHOS A,6 - 9,480,AUS,8:00
9,Sprint won possession,12.0,7,6,RUS,4.0,SHEPELEV R,6 - 9,480,RUS,8:00
9,20 sec. exclusion in field,8.0,7,6,RUS,4.0,NAGAEV I,6 - 9,432,RUS,7:12
10,Extra player shot - Goal,9.0,7,6,RUS,4.0,FORD A,6 - 10,427,AUS,7:07
10,20 sec. exclusion in field,6.0,7,6,RUS,4.0,EDWARDS L,6 - 10,414,AUS,6:54
10,Action shot - Goal,10.0,7,7,RUS,4.0,KHOLOD D,7 - 10,393,RUS,6:33
10,Turnover foul,4.0,7,7,RUS,4.0,KAYES J,7 - 10,370,AUS,6:10
10,Turnover foul,8.0,7,7,RUS,4.0,NAGAEV I,7 - 10,349,RUS,5:49
10,Steal,9.0,7,7,RUS,4.0,FORD A,7 - 10,349,AUS,5:49
