Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
2.0,4:32,20 sec. exclusion in centre,4 - 3,CHN,ZHAO Z,9.0,4,3,272,3,CHN
2.0,4:20,Extra player shot - Goal,5 - 3,ITA,BIANCONI R,8.0,5,3,260,3,CHN
2.0,3:50,Action shot - Post,5 - 3,CHN,ZHANG D,10.0,5,3,230,3,CHN
2.0,3:33,Turnover foul,5 - 3,ITA,BIANCONI R,8.0,5,3,213,3,CHN
2.0,3:33,Steal,5 - 3,CHN,ZHANG C,8.0,5,3,213,3,CHN
2.0,3:28,Turnover foul,5 - 3,CHN,GUO N,6.0,5,3,208,3,CHN
2.0,3:28,Steal,5 - 3,ITA,BIANCONI R,8.0,5,3,208,3,CHN
2.0,3:06,20 sec. exclusion in centre,5 - 3,CHN,ZHANG D,10.0,5,3,186,3,CHN
2.0,2:58,Extra player shot - Goal,6 - 3,ITA,BIANCONI R,8.0,6,3,178,3,CHN
2.0,2:25,5m shot - Goal,6 - 4,CHN,MEI X,3.0,6,4,145,3,CHN
2.0,2:08,Turnover foul,6 - 4,ITA,PALMIERI V,10.0,6,4,128,3,CHN
4.0,3:40,Counter attack - Goal,14 - 6,CHN,ZHANG C,8.0,14,6,220,3,CHN
4.0,3:12,5m shot - Saved,14 - 6,ITA,QUEIROLO E,4.0,14,6,192,3,CHN
4.0,2:59,20 sec. exclusion in centre,14 - 6,ITA,QUEIROLO E,4.0,14,6,179,3,CHN
4.0,2:54,Extra player shot - Goal,14 - 7,CHN,ZHANG J,12.0,14,7,174,3,CHN
4.0,2:40,20 sec. exclusion in field,14 - 7,CHN,BI Y,2.0,14,7,160,3,CHN
4.0,2:40,Time-Out,14 - 7,ITA,,,14,7,160,3,CHN
4.0,2:25,Extra player shot - Goal,15 - 7,ITA,PALMIERI V,10.0,15,7,145,3,CHN
4.0,2:03,5m shot - Saved,15 - 7,CHN,NIU G,5.0,15,7,123,3,CHN
2.0,2:08,Steal,15 - 7,CHN,CHEN X,11.0,15,7,128,3,CHN
2.0,2:07,Turnover foul,15 - 7,CHN,NIU G,5.0,15,7,127,3,CHN
2.0,1:48,5m shot - Saved,15 - 7,ITA,GARIBOTTI A,3.0,15,7,108,3,CHN
2.0,1:31,Action shot - Post,15 - 7,CHN,ZHANG C,8.0,15,7,91,3,CHN
2.0,1:14,5m shot - Goal,7 - 4,ITA,QUEIROLO E,4.0,7,4,74,3,CHN
2.0,0:46,Turnover foul,7 - 4,CHN,MEI X,3.0,7,4,46,3,CHN
2.0,0:43,Turnover foul,7 - 4,ITA,PALMIERI V,10.0,7,4,43,3,CHN
2.0,0:43,Time-Out,7 - 4,CHN,,,7,4,43,3,CHN
2.0,0:27,Centre shot - Saved,7 - 4,CHN,XIONG D,4.0,7,4,27,3,CHN
2.0,0:03,Action shot - Saved,7 - 4,ITA,EMMOLO G,9.0,7,4,3,3,CHN
3.0,8:00,Starting goalkeeper,7 - 4,ITA,GORLERO G,1.0,7,4,480,3,CHN
3.0,8:00,Starting goalkeeper,7 - 4,CHN,PENG L,1.0,7,4,480,3,CHN
3.0,8:00,Sprint won possession,7 - 4,CHN,NIU G,5.0,7,4,480,3,CHN
3.0,7:47,5m shot - Saved,7 - 4,CHN,ZHAO Z,9.0,7,4,467,3,CHN
3.0,7:26,Centre shot - Goal,8 - 4,ITA,AIELLO R,6.0,8,4,446,3,CHN
3.0,6:56,Action shot - Post,8 - 4,CHN,NIU G,5.0,8,4,416,3,CHN
3.0,6:42,Action shot - Post,8 - 4,ITA,GARIBOTTI A,3.0,8,4,402,3,CHN
3.0,6:21,Turnover foul,8 - 4,CHN,GUO N,6.0,8,4,381,3,CHN
3.0,6:21,Steal,8 - 4,ITA,QUEIROLO E,4.0,8,4,381,3,CHN
3.0,5:52,5m shot - Saved,8 - 4,ITA,QUEIROLO E,4.0,8,4,352,3,CHN
3.0,5:27,20 sec. exclusion in centre,8 - 4,CHN,MEI X,3.0,8,4,327,3,CHN
3.0,5:16,Extra player shot - Goal,9 - 4,ITA,RADICCHI F,5.0,9,4,316,3,CHN
3.0,4:54,Goalkeeper substitution,9 - 4,CHN,SHEN Y,13.0,9,4,294,3,CHN
3.0,4:50,Turnover foul,9 - 4,CHN,ZHAO Z,9.0,9,4,290,3,CHN
3.0,4:50,Steal,9 - 4,ITA,BIANCONI R,8.0,9,4,290,3,CHN
3.0,4:31,Penalty foul,9 - 4,CHN,ZHANG J,12.0,9,4,271,3,CHN
3.0,4:31,Penalty shot - Goal,10 - 4,ITA,BIANCONI R,8.0,10,4,271,3,CHN
