Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Goal,2,2.0,3,2,CAN,1.0,ABLA D,2 - 2,262,BRA,4:22
20 sec. exclusion in centre,2,3.0,3,2,CAN,1.0,ZABLITH M,2 - 2,248,BRA,4:08
Extra player shot - Goal,2,6.0,3,3,CAN,1.0,CHRISTMAS K,2 - 3,232,CAN,3:52
5m shot - Saved,2,2.0,3,3,CAN,1.0,ABLA D,2 - 3,208,BRA,3:28
5m shot - Missed,2,11.0,3,3,CAN,1.0,DUARTE M,2 - 3,185,BRA,3:05
Action shot - Saved,2,9.0,3,3,CAN,1.0,McKELVEY H,2 - 3,169,CAN,2:49
Turnover foul,2,11.0,3,3,CAN,1.0,DUARTE M,2 - 3,145,BRA,2:25
Steal,2,1.0,3,3,CAN,1.0,GAUDREAULT J,2 - 3,145,CAN,2:25
Action shot - Blocked,2,4.0,3,3,CAN,1.0,WRIGHT E,2 - 3,118,CAN,1:58
5m shot - Goal,2,6.0,3,4,CAN,1.0,CHRISTMAS K,2 - 4,106,CAN,1:46
20 sec. exclusion in centre,2,12.0,3,4,CAN,1.0,FOURNIER S,2 - 4,85,CAN,1:25
Time-Out,2,,3,4,CAN,1.0,,2 - 4,84,BRA,1:24
Extra player shot - Blocked,2,10.0,3,4,CAN,1.0,BAHIA V,2 - 4,61,BRA,1:01
5m shot - Post,2,3.0,3,4,CAN,1.0,CREVIER A,2 - 4,38,CAN,0:38
Turnover foul,2,10.0,3,4,CAN,1.0,BAHIA V,2 - 4,18,BRA,0:18
Time-Out,2,,3,4,CAN,1.0,,2 - 4,18,CAN,0:18
Action shot - Missed,2,5.0,3,4,CAN,1.0,EGGENS M,2 - 4,10,CAN,0:10
5m shot - Missed,2,1.0,3,4,CAN,1.0,CHAMORRO V,2 - 4,1,BRA,0:01
Starting goalkeeper,2,1.0,3,4,CAN,2.0,CHAMORRO V,2 - 4,480,BRA,8:00
Starting goalkeeper,2,1.0,3,4,CAN,2.0,GAUDREAULT J,2 - 4,480,CAN,8:00
Sprint won possession,2,9.0,3,4,CAN,2.0,DIAS M,2 - 4,480,BRA,8:00
20 sec. exclusion in centre,2,6.0,3,4,CAN,2.0,CHRISTMAS K,2 - 4,452,CAN,7:32
Action shot - Blocked,2,2.0,3,4,CAN,2.0,ABLA D,2 - 4,427,BRA,7:07
Action shot - Saved,2,4.0,3,4,CAN,2.0,WRIGHT E,2 - 4,405,CAN,6:45
5m shot - Post,2,10.0,3,4,CAN,2.0,BAHIA V,2 - 4,383,BRA,6:23
Penalty foul,2,10.0,3,4,CAN,2.0,BAHIA V,2 - 4,367,BRA,6:07
Penalty shot - Saved,2,4.0,3,4,CAN,2.0,WRIGHT E,2 - 4,365,CAN,6:05
5m shot - Saved,2,9.0,3,4,CAN,2.0,McKELVEY H,2 - 4,338,CAN,5:38
Action shot - Goal,2,7.0,3,5,CAN,2.0,BEKHAZI J,2 - 5,329,CAN,5:29
Turnover foul,2,9.0,3,5,CAN,2.0,DIAS M,2 - 5,310,BRA,5:10
Steal,2,11.0,3,5,CAN,2.0,McKEE K,2 - 5,310,CAN,5:10
Counter attack - Saved,2,12.0,3,5,CAN,2.0,FOURNIER S,2 - 5,295,CAN,4:55
Action shot - Goal,2,6.0,3,6,CAN,2.0,CHRISTMAS K,2 - 6,286,CAN,4:46
20 sec. exclusion in centre,2,11.0,3,6,CAN,2.0,McKEE K,2 - 6,271,CAN,4:31
Extra player shot - Goal,3,11.0,3,6,CAN,2.0,DUARTE M,3 - 6,265,BRA,4:25
Action shot - Goal,3,2.0,3,7,CAN,2.0,ALOGBO K,3 - 7,245,CAN,4:05
20 sec. exclusion in centre,3,7.0,3,7,CAN,2.0,BEKHAZI J,3 - 7,222,CAN,3:42
Extra player shot - Saved,3,8.0,3,7,CAN,2.0,BRUZZO M,3 - 7,211,BRA,3:31
5m shot - Goal,3,6.0,3,8,CAN,2.0,CHRISTMAS K,3 - 8,183,CAN,3:03
Action shot - Goal,4,7.0,3,8,CAN,2.0,FERREIRA S,4 - 8,157,BRA,2:37
5m shot - Post,4,10.0,3,8,CAN,2.0,ROBINSON C,4 - 8,135,CAN,2:15
Steal,4,13.0,3,8,CAN,4.0,HAGE Y,4 - 8,89,CAN,1:29
Action shot - Post,4,3.0,3,8,CAN,4.0,CREVIER A,4 - 8,71,CAN,1:11
Time-Out,4,,3,8,CAN,4.0,,4 - 8,70,BRA,1:10
Turnover foul,4,5.0,3,8,CAN,4.0,AMARAL A,4 - 8,48,BRA,0:48
Turnover foul,4,8.0,3,8,CAN,2.0,LEMAY-LAVOIE E,4 - 8,80,CAN,1:20
Time-Out,4,,3,8,CAN,2.0,,4 - 8,80,BRA,1:20
Turnover foul,4,12.0,3,8,CAN,2.0,BELORIO L,4 - 8,54,BRA,0:54
