Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2,11.0,2,13,ITA,3.0,DUARTE M,13 - 2,259,BRA,4:19,Saved,0
5m shot,2,7.0,2,14,ITA,3.0,PICOZZI D,14 - 2,240,ITA,4:00,Goal,1
5m shot,2,7.0,2,14,ITA,3.0,PICOZZI D,14 - 2,193,ITA,3:13,Missed,0
Action shot,3,2.0,2,14,ITA,3.0,ABLA D,14 - 3,176,BRA,2:56,Goal,1
Action shot,3,2.0,2,14,ITA,3.0,ABLA D,14 - 3,132,BRA,2:12,Saved,0
Centre shot,3,10.0,2,14,ITA,3.0,PALMIERI V,14 - 3,107,ITA,1:47,Saved,0
Action shot,3,12.0,2,14,ITA,3.0,BELORIO L,14 - 3,74,BRA,1:14,Blocked,0
Counter attack,3,9.0,2,15,ITA,3.0,EMMOLO G,15 - 3,62,ITA,1:02,Goal,1
5m shot,3,9.0,2,15,ITA,3.0,DIAS M,15 - 3,39,BRA,0:39,Missed,0
Action shot,3,2.0,2,15,ITA,3.0,TABANI C,15 - 3,22,ITA,0:22,Post,0
5m shot,3,9.0,2,15,ITA,4.0,DIAS M,15 - 3,451,BRA,7:31,Saved,0
5m shot,3,10.0,2,15,ITA,4.0,PALMIERI V,15 - 3,424,ITA,7:04,Missed,0
5m shot,3,9.0,2,15,ITA,4.0,DIAS M,15 - 3,396,BRA,6:36,Blocked,0
Action shot,3,11.0,2,15,ITA,4.0,DUARTE M,15 - 3,349,BRA,5:49,Saved,0
Action shot,3,8.0,2,16,ITA,4.0,BIANCONI R,16 - 3,326,ITA,5:26,Goal,1
5m shot,3,3.0,2,16,ITA,4.0,ZABLITH M,16 - 3,304,BRA,5:04,Missed,0
Action shot,3,8.0,2,16,ITA,4.0,BIANCONI R,16 - 3,278,ITA,4:38,Post,0
5m shot,3,9.0,2,17,ITA,4.0,EMMOLO G,17 - 3,236,ITA,3:56,Goal,1
Centre shot,4,3.0,2,17,ITA,4.0,ZABLITH M,17 - 4,207,BRA,3:27,Goal,1
Counter attack,4,7.0,2,17,ITA,4.0,FERREIRA S,17 - 4,191,BRA,3:11,Saved,0
5m shot,4,9.0,2,18,ITA,4.0,EMMOLO G,18 - 4,176,ITA,2:56,Goal,1
Action shot,4,9.0,2,18,ITA,4.0,DIAS M,18 - 4,151,BRA,2:31,Saved,0
Centre shot,4,7.0,2,18,ITA,4.0,FERREIRA S,18 - 4,146,BRA,2:26,Saved,0
5m shot,4,9.0,2,18,ITA,4.0,DIAS M,18 - 4,92,BRA,1:32,Missed,0
5m shot,4,2.0,2,18,ITA,4.0,ABLA D,18 - 4,22,BRA,0:22,Saved,0
Penalty shot,0,4.0,3,1,CAN,1.0,WRIGHT E,0 - 1,431,CAN,7:11,Goal,1
Counter attack,0,5.0,3,2,CAN,1.0,EGGENS M,0 - 2,406,CAN,6:46,Goal,1
5m shot,0,2.0,3,2,CAN,1.0,ABLA D,0 - 2,387,BRA,6:27,Missed,0
Extra player shot,0,9.0,3,2,CAN,1.0,McKELVEY H,0 - 2,358,CAN,5:58,Post,0
Action shot,1,9.0,3,2,CAN,1.0,DIAS M,1 - 2,285,BRA,4:45,Goal,1
Action shot,2,2.0,3,2,CAN,1.0,ABLA D,2 - 2,262,BRA,4:22,Goal,1
Extra player shot,2,6.0,3,3,CAN,1.0,CHRISTMAS K,2 - 3,232,CAN,3:52,Goal,1
5m shot,2,2.0,3,3,CAN,1.0,ABLA D,2 - 3,208,BRA,3:28,Saved,0
5m shot,2,11.0,3,3,CAN,1.0,DUARTE M,2 - 3,185,BRA,3:05,Missed,0
