Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,3,0,0,MNE,1.0,RADOVIC D,0 - 0,347,MNE,5:47,Blocked,0
5m shot,4.0,3,0,1,MNE,1.0,PETKOVIC M,1 - 0,293,MNE,4:53,Goal,1
5m shot,6.0,3,0,1,MNE,1.0,SHMIDER A,1 - 0,263,KAZ,4:23,Missed,0
Action shot,9.0,3,0,1,MNE,1.0,RADOVIC D,1 - 0,222,MNE,3:42,Saved,0
Centre shot,10.0,3,0,2,MNE,1.0,MISIC S,2 - 0,142,MNE,2:22,Goal,1
Centre shot,5.0,3,0,2,MNE,1.0,BRGULJAN D,2 - 0,96,MNE,1:36,Saved,0
Action shot,6.0,3,0,2,MNE,1.0,SHMIDER A,2 - 0,11,KAZ,0:11,Post,0
Centre shot,10.0,3,0,2,MNE,1.0,MISIC S,2 - 0,2,MNE,0:02,Post,0
5m shot,11.0,3,0,3,MNE,2.0,CUCKOVIC U,3 - 0,396,MNE,6:36,Goal,1
5m shot,9.0,3,0,3,MNE,2.0,UKUMANOV R,3 - 0,368,KAZ,6:08,Post,0
Centre shot,12.0,3,0,4,MNE,2.0,MURISIC N,4 - 0,345,MNE,5:45,Goal,1
5m shot,7.0,3,0,4,MNE,2.0,SHAKENOV M,4 - 0,329,KAZ,5:29,Missed,0
Centre shot,10.0,3,0,4,MNE,2.0,RUDAY M,4 - 0,290,KAZ,4:50,Saved,0
Penalty shot,9.0,3,0,4,MNE,2.0,UKUMANOV R,4 - 0,269,KAZ,4:29,Saved,0
5m shot,8.0,3,0,4,MNE,2.0,UKROPINA A,4 - 0,245,MNE,4:05,Saved,0
Action shot,11.0,3,0,4,MNE,2.0,MANAFOV R,4 - 0,198,KAZ,3:18,Post,0
Counter attack,6.0,3,0,5,MNE,2.0,RADOVIC A,5 - 0,183,MNE,3:03,Goal,1
5m shot,12.0,3,0,5,MNE,2.0,TURLYKHANOV B,5 - 0,111,KAZ,1:51,Saved,0
Centre shot,12.0,3,0,5,MNE,2.0,MURISIC N,5 - 0,85,MNE,1:25,Saved,0
Extra player shot,5.0,3,0,6,MNE,2.0,BRGULJAN D,6 - 0,11,MNE,0:11,Goal,1
5m shot,9.0,3,0,6,MNE,2.0,UKUMANOV R,6 - 0,1,KAZ,0:01,Blocked,0
5m shot,5.0,3,0,6,MNE,3.0,BRGULJAN D,6 - 0,455,MNE,7:35,Saved,0
Action shot,9.0,3,0,7,MNE,3.0,RADOVIC D,7 - 0,419,MNE,6:59,Goal,1
Action shot,6.0,3,1,7,MNE,3.0,SHMIDER A,7 - 1,382,KAZ,6:22,Goal,1
Action shot,9.0,3,1,7,MNE,3.0,UKUMANOV R,7 - 1,277,KAZ,4:37,Missed,0
Centre shot,9.0,3,2,7,MNE,3.0,UKUMANOV R,7 - 2,271,KAZ,4:31,Goal,1
5m shot,7.0,3,2,7,MNE,3.0,DRASKOVIC D,7 - 2,241,MNE,4:01,Saved,0
Extra player shot,11.0,3,2,8,MNE,3.0,CUCKOVIC U,8 - 2,207,MNE,3:27,Goal,1
Action shot,4.0,3,2,8,MNE,3.0,PETKOVIC M,8 - 2,159,MNE,2:39,Post,0
Centre shot,9.0,3,2,8,MNE,3.0,UKUMANOV R,8 - 2,132,KAZ,2:12,Saved,0
Extra player shot,8.0,3,2,8,MNE,3.0,VERDESH Y,8 - 2,94,KAZ,1:34,Saved,0
Action shot,2.0,3,2,8,MNE,3.0,BRGULJAN D,8 - 2,74,MNE,1:14,Saved,0
