Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,6,9.0,2,9,CRO,4.0,ROCHA B,9 - 6,421,BRA,7:01
Extra player shot - Saved,6,9.0,2,9,CRO,4.0,SUKNO S,9 - 6,404,CRO,6:44
5m shot - Saved,6,3.0,2,9,CRO,4.0,GOMES G,9 - 6,375,BRA,6:15
Action shot - Goal,7,12.0,2,9,CRO,4.0,VRLIC J,9 - 7,358,BRA,5:58
Goalkeeper substitution,7,1.0,2,9,CRO,4.0,ANTONELLI V,9 - 7,321,BRA,5:21
Action shot - Saved,7,10.0,2,9,CRO,4.0,PERRONE F,9 - 7,317,BRA,5:17
Turnover foul,7,7.0,2,9,CRO,4.0,DELGADO A,9 - 7,288,BRA,4:48
5m shot - Saved,7,12.0,2,9,CRO,4.0,OBRADOVIC P,9 - 7,268,CRO,4:28
20 sec. exclusion in centre,7,5.0,2,9,CRO,4.0,JOKOVIC M,9 - 7,248,CRO,4:08
Extra player shot - Missed,7,4.0,2,9,CRO,4.0,GONZALEZ I,9 - 7,223,BRA,3:43
20 sec. exclusion in centre,7,3.0,2,9,CRO,4.0,GOMES G,9 - 7,208,BRA,3:28
Time-Out,7,,2,9,CRO,4.0,,9 - 7,208,CRO,3:28
Extra player shot - Goal,7,12.0,2,10,CRO,4.0,OBRADOVIC P,10 - 7,193,CRO,3:13
20 sec. exclusion in centre,7,11.0,2,10,CRO,4.0,SETKA A,10 - 7,177,CRO,2:57
Exclusion with substitution,7,11.0,2,10,CRO,4.0,SETKA A,10 - 7,177,CRO,2:57
Action shot - Goal,8,7.0,2,10,CRO,4.0,DELGADO A,10 - 8,153,BRA,2:33
Action shot - Goal,9,12.0,2,10,CRO,4.0,VRLIC J,10 - 9,125,BRA,2:05
5m shot - Saved,9,2.0,2,10,CRO,4.0,BURIC D,10 - 9,31,CRO,0:31
20 sec. exclusion in centre,9,4.0,2,10,CRO,4.0,LONCAR L,10 - 9,11,CRO,0:11
Time-Out,9,,2,10,CRO,4.0,,10 - 9,11,BRA,0:11
Action shot - Saved,9,2.0,2,10,CRO,4.0,CRIVELLA J,10 - 9,2,BRA,0:02
Starting goalkeeper,0,1.0,3,0,CAN,1.0,ANTONELLI V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,3,0,CAN,1.0,RANDALL R,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,3,0,CAN,1.0,GRAHAM K,0 - 0,480,CAN,8:00
Turnover foul,0,12.0,3,0,CAN,1.0,MCELROY J,0 - 0,452,CAN,7:32
5m shot - Saved,0,6.0,3,0,CAN,1.0,GOMES B,0 - 0,424,BRA,7:04
20 sec. exclusion in field,0,8.0,3,0,CAN,1.0,GRAHAM K,0 - 0,402,CAN,6:42
Action shot - Blocked,0,2.0,3,0,CAN,1.0,CRIVELLA J,0 - 0,376,BRA,6:16
20 sec. exclusion in field,0,6.0,3,0,CAN,1.0,GOMES B,0 - 0,361,BRA,6:01
Extra player shot - Blocked,0,12.0,3,0,CAN,1.0,MCELROY J,0 - 0,341,CAN,5:41
Turnover foul,0,12.0,3,0,CAN,1.0,VRLIC J,0 - 0,319,BRA,5:19
Action shot - Goal,0,2.0,3,1,CAN,1.0,KUDABA C,0 - 1,304,CAN,5:04
Action shot - Saved,0,7.0,3,1,CAN,1.0,DELGADO A,0 - 1,274,BRA,4:34
20 sec. exclusion in centre,0,2.0,3,1,CAN,1.0,CRIVELLA J,0 - 1,251,BRA,4:11
Extra player shot - Missed,0,5.0,3,1,CAN,1.0,BOYD J,0 - 1,235,CAN,3:55
Action shot - Blocked,0,7.0,3,1,CAN,1.0,DELGADO A,0 - 1,209,BRA,3:29
Turnover foul,0,10.0,3,1,CAN,1.0,PERRONE F,0 - 1,194,BRA,3:14
Steal,0,1.0,3,1,CAN,1.0,RANDALL R,0 - 1,194,CAN,3:14
Counter attack - Saved,0,5.0,3,1,CAN,1.0,BOYD J,0 - 1,175,CAN,2:55
Action shot - Blocked,0,10.0,3,1,CAN,1.0,PERRONE F,0 - 1,150,BRA,2:30
Centre shot - Goal,0,4.0,3,2,CAN,1.0,CONSTANTIN-BICARI,0 - 2,130,CAN,2:10
5m shot - Saved,0,10.0,3,2,CAN,1.0,PERRONE F,0 - 2,104,BRA,1:44
5m shot - Goal,0,12.0,3,3,CAN,1.0,MCELROY J,0 - 3,84,CAN,1:24
Turnover foul,0,2.0,3,3,CAN,1.0,CRIVELLA J,0 - 3,54,BRA,0:54
