Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,9.0,4,3,20,CRO,4.0,LUI-FAKAOTIMANAVA,20 - 3,312,NZL,5:12
Steal,2.0,4,3,20,CRO,4.0,LONCAR L,20 - 3,312,CRO,5:12
Turnover foul,10.0,4,3,20,CRO,4.0,DOBUD N,20 - 3,148,CRO,2:28
Steal,13.0,4,3,20,CRO,4.0,SMITH D,20 - 3,148,NZL,2:28
Centre shot - Saved,10.0,4,3,20,CRO,4.0,DOBUD N,20 - 3,99,CRO,1:39
Turnover foul,11.0,4,3,20,CRO,4.0,SETKA A,20 - 3,80,CRO,1:20
Steal,9.0,4,3,20,CRO,4.0,LUI-FAKAOTIMANAVA,20 - 3,80,NZL,1:20
5m shot - Saved,5.0,4,3,20,CRO,4.0,ROSS J,20 - 3,58,NZL,0:58
Turnover foul,3.0,4,3,20,CRO,4.0,MILAKOVIC I,20 - 3,39,CRO,0:39
Steal,5.0,4,3,20,CRO,4.0,ROSS J,20 - 3,39,NZL,0:39
5m shot - Saved,9.0,4,3,20,CRO,4.0,LUI-FAKAOTIMANAVA,20 - 3,22,NZL,0:22
Action shot - Post,7.0,4,3,20,CRO,4.0,MUSLIM P,20 - 3,2,CRO,0:02
