Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,4.0,3,2,GBR,3.0,GIBSON-BYRNE C,7 - 2,380,GBR,6:20,7,Saved,0
Action shot,6.0,3,2,GBR,3.0,STEFFENS M,8 - 2,353,USA,5:53,8,Goal,1
5m shot,4.0,3,2,GBR,3.0,GIBSON-BYRNE C,8 - 2,326,GBR,5:26,8,Saved,0
Action shot,4.0,3,2,GBR,3.0,FATTAL R,9 - 2,308,USA,5:08,9,Goal,1
Action shot,4.0,3,2,GBR,3.0,GIBSON-BYRNE C,9 - 2,280,GBR,4:40,9,Post,0
Action shot,4.0,3,2,GBR,3.0,GIBSON-BYRNE C,9 - 2,180,GBR,3:00,9,Saved,0
Penalty shot,4.0,3,3,GBR,3.0,GIBSON-BYRNE C,9 - 3,143,GBR,2:23,9,Goal,1
Action shot,3.0,3,3,GBR,3.0,SEIDEMANN M,9 - 3,73,USA,1:13,9,Blocked,0
5m shot,3.0,3,3,GBR,3.0,SEIDEMANN M,9 - 3,1,USA,0:01,9,Missed,0
Action shot,4.0,3,3,GBR,4.0,GIBSON-BYRNE C,9 - 3,452,GBR,7:32,9,Saved,0
Centre shot,3.0,3,3,GBR,4.0,McCANN F,9 - 3,418,GBR,6:58,9,Missed,0
Penalty shot,7.0,3,3,GBR,4.0,MATHEWSON C,10 - 3,407,USA,6:47,10,Goal,1
Extra player shot,10.0,3,3,GBR,4.0,RULON K,11 - 3,349,USA,5:49,11,Goal,1
Extra player shot,6.0,3,3,GBR,4.0,NIXON C,11 - 3,325,GBR,5:25,11,Saved,0
Action shot,9.0,3,3,GBR,4.0,KRAUS J,12 - 3,296,USA,4:56,12,Goal,1
5m shot,6.0,3,3,GBR,4.0,NIXON C,12 - 3,279,GBR,4:39,12,Blocked,0
Action shot,5.0,3,3,GBR,4.0,CLARK C,13 - 3,199,USA,3:19,13,Goal,1
Action shot,4.0,3,3,GBR,4.0,GIBSON-BYRNE C,13 - 3,180,GBR,3:00,13,Saved,0
Centre shot,12.0,3,3,GBR,4.0,CRAIG K,14 - 3,152,USA,2:32,14,Goal,1
Action shot,5.0,3,3,GBR,4.0,CLARK C,15 - 3,110,USA,1:50,15,Goal,1
Action shot,12.0,3,4,GBR,4.0,FOWLER K,15 - 4,90,GBR,1:30,15,Goal,1
Action shot,4.0,3,4,GBR,4.0,FATTAL R,16 - 4,61,USA,1:01,16,Goal,1
