Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Action shot - Blocked,6.0,6,6,NED,3.0,STEFFENS M,8 - 6,169,USA,2:49,8
Action shot - Goal,11.0,6,7,NED,3.0,KLAASSEN L,8 - 7,140,NED,2:20,8
Action shot - Saved,3.0,6,7,NED,3.0,SEIDEMANN M,8 - 7,120,USA,2:00,8
20 sec. exclusion in field,6.0,6,7,NED,3.0,STEFFENS M,8 - 7,95,USA,1:35,8
Time-Out,,6,7,NED,3.0,,8 - 7,95,NED,1:35,8
Extra player shot - Blocked,8.0,6,7,NED,3.0,SEVENICH V,8 - 7,77,NED,1:17,8
Turnover foul,11.0,6,7,NED,3.0,DRIES A,8 - 7,58,USA,0:58,8
Steal,7.0,6,7,NED,3.0,van BELKUM I,8 - 7,58,NED,0:58,8
5m shot - Missed,7.0,6,7,NED,3.0,van BELKUM I,8 - 7,28,NED,0:28,8
20 sec. exclusion in centre,11.0,6,7,NED,3.0,KLAASSEN L,8 - 7,7,NED,0:07,8
Extra player shot - Goal,8.0,6,7,NED,3.0,NEUSHUL K,9 - 7,4,USA,0:04,9
5m shot - Saved,11.0,6,7,NED,3.0,KLAASSEN L,9 - 7,1,NED,0:01,9
Starting goalkeeper,1.0,6,7,NED,4.0,ARMSTRONG E,9 - 7,480,USA,8:00,9
Starting goalkeeper,13.0,6,7,NED,4.0,HEINIS A,9 - 7,480,NED,8:00,9
Sprint won possession,5.0,6,7,NED,4.0,van der SLOOT S,9 - 7,480,NED,8:00,9
Action shot - Goal,5.0,6,8,NED,4.0,van der SLOOT S,9 - 8,450,NED,7:30,9
Centre shot - Goal,12.0,6,8,NED,4.0,CRAIG K,10 - 8,424,USA,7:04,10
Turnover foul,2.0,6,8,NED,4.0,SMIT Y,10 - 8,395,NED,6:35,10
Steal,2.0,6,8,NED,4.0,SILVER L,10 - 8,395,USA,6:35,10
Penalty foul,10.0,6,8,NED,4.0,GENEE D,10 - 8,374,NED,6:14,10
Exclusion with substitution,10.0,6,8,NED,4.0,GENEE D,10 - 8,374,NED,6:14,10
Penalty shot - Goal,6.0,6,8,NED,4.0,STEFFENS M,11 - 8,374,USA,6:14,11
