Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in field,7.0,0,2,6,HUN,1.0,VALVERDE C,0 - 6,91,FRA,1:31
Turnover foul,5.0,0,2,6,HUN,1.0,SZUCS G,0 - 6,83,HUN,1:23
Steal,5.0,0,2,6,HUN,1.0,GUILLET L,0 - 6,83,FRA,1:23
5m shot - Missed,5.0,0,2,6,HUN,1.0,GUILLET L,0 - 6,58,FRA,0:58
Centre shot - Goal,12.0,0,2,7,HUN,1.0,SZILAGYI D,0 - 7,31,HUN,0:31
20 sec. exclusion in field,3.0,0,2,7,HUN,1.0,ANTAL D,0 - 7,20,HUN,0:20
Extra player shot - Saved,5.0,0,2,7,HUN,1.0,GUILLET L,0 - 7,2,FRA,0:02
Starting goalkeeper,1.0,0,2,7,HUN,2.0,COUNIL L,0 - 7,480,FRA,8:00
Starting goalkeeper,13.0,0,2,7,HUN,2.0,KASO O,0 - 7,480,HUN,8:00
Sprint won possession,12.0,0,2,7,HUN,2.0,DAULE A,0 - 7,480,FRA,8:00
Penalty foul,10.0,0,2,7,HUN,2.0,BUJKA B,0 - 7,453,HUN,7:33
Penalty shot - Goal,2.0,1,2,7,HUN,2.0,MILLOT E,1 - 7,453,FRA,7:33
Turnover foul,8.0,1,2,7,HUN,2.0,KESZTHELYI R,1 - 7,429,HUN,7:09
Turnover foul,2.0,1,2,7,HUN,2.0,MILLOT E,1 - 7,405,FRA,6:45
20 sec. exclusion in field,5.0,1,2,7,HUN,2.0,GUILLET L,1 - 7,393,FRA,6:33
Extra player shot - Goal,7.0,1,2,8,HUN,2.0,ILLES A,1 - 8,379,HUN,6:19
Turnover foul,12.0,1,2,8,HUN,2.0,DAULE A,1 - 8,362,FRA,6:02
Steal,4.0,1,2,8,HUN,2.0,GURISATTI G,1 - 8,362,HUN,6:02
Turnover foul,7.0,1,2,8,HUN,2.0,ILLES A,1 - 8,348,HUN,5:48
Steal,1.0,1,2,8,HUN,2.0,COUNIL L,1 - 8,348,FRA,5:48
Action shot - Post,9.0,1,2,8,HUN,2.0,SACRE A,1 - 8,318,FRA,5:18
Action shot - Goal,2.0,1,2,9,HUN,2.0,CZIGANY D,1 - 9,288,HUN,4:48
20 sec. exclusion in field,2.0,1,2,9,HUN,2.0,CZIGANY D,1 - 9,271,HUN,4:31
Extra player shot - Goal,4.0,2,2,9,HUN,2.0,SACRE A,2 - 9,268,FRA,4:28
20 sec. exclusion in centre,6.0,2,2,9,HUN,2.0,MAHIEU G,2 - 9,250,FRA,4:10
Extra player shot - Goal,11.0,2,2,10,HUN,2.0,CSABAI D,2 - 10,241,HUN,4:01
Centre shot - Saved,12.0,2,2,10,HUN,2.0,DAULE A,2 - 10,213,FRA,3:33
5m shot - Saved,11.0,2,2,10,HUN,2.0,CSABAI D,2 - 10,185,HUN,3:05
20 sec. exclusion in centre,11.0,2,2,10,HUN,2.0,BARBIEUX M,2 - 10,173,FRA,2:53
Extra player shot - Goal,10.0,2,2,11,HUN,2.0,BUJKA B,2 - 11,163,HUN,2:43
Turnover foul,9.0,2,2,11,HUN,2.0,SACRE A,2 - 11,137,FRA,2:17
Steal,4.0,2,2,11,HUN,2.0,GURISATTI G,2 - 11,137,HUN,2:17
Centre shot - Missed,7.0,2,2,11,HUN,2.0,ILLES A,2 - 11,118,HUN,1:58
5m shot - Post,3.0,2,2,11,HUN,2.0,BACHELIER L,2 - 11,93,FRA,1:33
Centre shot - Goal,10.0,2,2,12,HUN,2.0,BUJKA B,2 - 12,73,HUN,1:13
5m shot - Saved,7.0,2,2,12,HUN,4.0,VALVERDE C,2 - 12,140,FRA,2:20
Turnover foul,12.0,2,2,12,HUN,4.0,DAULE A,2 - 12,130,FRA,2:10
