Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,6,3,3,ESP,4.0,LOPEZ D,3 - 6,480,ESP,8:00
Sprint won possession,8.0,6,3,3,ESP,4.0,ESPANOL A,3 - 6,480,ESP,8:00
20 sec. exclusion in centre,8.0,6,3,3,ESP,4.0,DELAKAS E,3 - 6,460,GRE,7:40
Exclusion with substitution,8.0,6,3,3,ESP,4.0,DELAKAS E,3 - 6,460,GRE,7:40
Extra player shot - Goal,6.0,6,3,4,ESP,4.0,MINGUELL M,4 - 6,458,ESP,7:38
Action shot - Goal,2.0,7,3,4,ESP,4.0,MYLONAKIS E,4 - 7,431,GRE,7:11
Double exclusion,9.0,7,3,4,ESP,4.0,VALLES X,4 - 7,415,ESP,6:55
Double exclusion,12.0,7,3,4,ESP,4.0,VLACHOPOULOS A,4 - 7,415,GRE,6:55
20 sec. exclusion in centre,9.0,7,3,4,ESP,4.0,MOURIKIS K,4 - 7,396,GRE,6:36
Extra player shot - Goal,5.0,7,3,5,ESP,4.0,MOLINA G,5 - 7,391,ESP,6:31
Turnover foul,10.0,7,3,5,ESP,4.0,KOLOMVOS C,5 - 7,367,GRE,6:07
20 sec. exclusion in field,10.0,7,3,5,ESP,4.0,KOLOMVOS C,5 - 7,367,GRE,6:07
Time-Out,,7,3,5,ESP,4.0,,5 - 7,367,ESP,6:07
Turnover foul,12.0,7,3,5,ESP,4.0,GARCIA X,5 - 7,340,ESP,5:40
Steal,12.0,7,3,5,ESP,4.0,VLACHOPOULOS A,5 - 7,340,GRE,5:40
20 sec. exclusion in centre,10.0,7,3,5,ESP,4.0,PERRONE F,5 - 7,321,ESP,5:21
Action shot - Saved,11.0,7,3,5,ESP,4.0,GOUNAS A,5 - 7,296,GRE,4:56
Action shot - Blocked,6.0,7,3,5,ESP,4.0,MINGUELL M,5 - 7,267,ESP,4:27
Action shot - Post,5.0,7,3,5,ESP,4.0,FOUNTOULIS I,5 - 7,241,GRE,4:01
20 sec. exclusion in centre,12.0,7,3,5,ESP,4.0,VLACHOPOULOS A,5 - 7,217,GRE,3:37
Extra player shot - Goal,6.0,7,3,6,ESP,4.0,MINGUELL M,6 - 7,212,ESP,3:32
20 sec. exclusion in centre,2.0,7,3,6,ESP,4.0,MUNARRIZ A,6 - 7,189,ESP,3:09
