Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
1.0,4:24,Turnover foul,1 - 1,ROU,GEORGESCU R,10.0,1,1,264,3,GER
1.0,4:24,Double exclusion,1 - 1,GER,STAMM M,9.0,1,1,264,3,GER
1.0,4:24,Double exclusion,1 - 1,ROU,GEORGESCU R,10.0,1,1,264,3,GER
1.0,4:05,20 sec. exclusion in centre,1 - 1,ROU,GOANTA D,9.0,1,1,245,3,GER
1.0,4:03,Extra player shot - Goal,2 - 1,GER,EIDNER D,12.0,2,1,243,3,GER
1.0,3:44,Penalty foul,2 - 1,GER,JUENGLING M,6.0,2,1,224,3,GER
1.0,3:44,Penalty shot - Goal,2 - 2,ROU,DIACONU N,4.0,2,2,224,3,GER
1.0,3:24,5m shot - Goal,3 - 2,GER,OELER M,10.0,3,2,204,3,GER
1.0,3:11,20 sec. exclusion in centre,3 - 2,GER,STAMM M,9.0,3,2,191,3,GER
1.0,2:52,Extra player shot - Saved,3 - 2,ROU,TEOHARI D,5.0,3,2,172,3,GER
1.0,2:32,20 sec. exclusion in centre,3 - 2,GER,REAL J,4.0,3,2,152,3,GER
1.0,2:12,Extra player shot - Saved,3 - 2,ROU,CHIOVEANU M,8.0,3,2,132,3,GER
1.0,2:06,5m shot - Post,3 - 2,ROU,GHIBAN A,11.0,3,2,126,3,GER
1.0,1:47,20 sec. exclusion in centre,3 - 2,ROU,CHIOVEANU M,8.0,3,2,107,3,GER
1.0,1:47,Penalty foul,3 - 2,ROU,CHIOVEANU M,8.0,3,2,107,3,GER
1.0,1:47,Penalty shot - Goal,4 - 2,GER,NOSSEK H,7.0,4,2,107,3,GER
1.0,1:25,Turnover foul,4 - 2,ROU,GHIBAN A,11.0,4,2,85,3,GER
1.0,1:08,Action shot - Missed,4 - 2,GER,NOSSEK H,7.0,4,2,68,3,GER
1.0,0:46,20 sec. exclusion in centre,4 - 2,GER,NOSSEK H,7.0,4,2,46,3,GER
1.0,0:25,Action shot - Blocked,4 - 2,ROU,DIACONU N,4.0,4,2,25,3,GER
1.0,0:13,Turnover foul,4 - 2,GER,OELER M,10.0,4,2,13,3,GER
1.0,0:02,5m shot - Goal,4 - 3,ROU,MATEI A,7.0,4,3,2,3,GER
1.0,0:01,5m shot - Missed,4 - 3,GER,REAL J,4.0,4,3,1,3,GER
2.0,8:00,Starting goalkeeper,4 - 3,GER,SCHENKEL M,13.0,4,3,480,3,GER
2.0,8:00,Starting goalkeeper,4 - 3,ROU,STOENESCU D,1.0,4,3,480,3,GER
2.0,8:00,Sprint won possession,4 - 3,ROU,MATEI A,7.0,4,3,480,3,GER
2.0,7:43,Turnover foul,4 - 3,ROU,CHIOVEANU M,8.0,4,3,463,3,GER
2.0,7:19,Action shot - Goal,5 - 3,GER,SCHUELER P,8.0,5,3,439,3,GER
2.0,6:51,Turnover foul,5 - 3,ROU,CHIOVEANU M,8.0,5,3,411,3,GER
2.0,6:51,Steal,5 - 3,GER,BUKOWSKI E,2.0,5,3,411,3,GER
2.0,6:32,Turnover foul,5 - 3,GER,SCHLOTTERBECK A,11.0,5,3,392,3,GER
2.0,6:18,Action shot - Saved,5 - 3,ROU,TEOHARI D,5.0,5,3,378,3,GER
2.0,6:01,Action shot - Saved,5 - 3,GER,NOSSEK H,7.0,5,3,361,3,GER
2.0,5:51,20 sec. exclusion in centre,5 - 3,ROU,CRETU A,12.0,5,3,351,3,GER
2.0,5:26,Action shot - Saved,5 - 3,GER,NOSSEK H,7.0,5,3,326,3,GER
2.0,5:02,Turnover foul,5 - 3,ROU,GHIBAN A,11.0,5,3,302,3,GER
2.0,5:02,Steal,5 - 3,GER,REAL J,4.0,5,3,302,3,GER
2.0,4:34,5m shot - Saved,5 - 3,GER,ROHE T,5.0,5,3,274,3,GER
2.0,4:10,Action shot - Saved,5 - 3,ROU,GHIBAN A,11.0,5,3,250,3,GER
2.0,3:51,20 sec. exclusion in field,5 - 3,ROU,CHIOVEANU M,8.0,5,3,231,3,GER
2.0,3:51,Exclusion with substitution,5 - 3,ROU,CHIOVEANU M,8.0,5,3,231,3,GER
2.0,3:51,Time-Out,5 - 3,GER,,,5,3,231,3,GER
2.0,3:20,Action shot - Post,5 - 3,GER,NOSSEK H,7.0,5,3,200,3,GER
2.0,3:17,20 sec. exclusion in field,5 - 3,ROU,MATEI A,7.0,5,3,197,3,GER
