Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,2,4,2,AUS,4.0,STANTON-FRENCH J,2 - 4,480,AUS,8:00
Starting goalkeeper,13.0,2,4,2,AUS,4.0,SCEPANOVIC M,2 - 4,480,MNE,8:00
Sprint won possession,11.0,2,4,2,AUS,4.0,HOWDEN R,2 - 4,480,AUS,8:00
Action shot - Goal,8.0,2,4,3,AUS,4.0,YOUNGER A,3 - 4,463,AUS,7:43
Action shot - Saved,7.0,2,4,3,AUS,4.0,JANOVIC M,3 - 4,435,MNE,7:15
Action shot - Goal,7.0,2,4,4,AUS,4.0,ROACH A,4 - 4,415,AUS,6:55
Action shot - Saved,5.0,2,4,4,AUS,4.0,BRGULJAN D,4 - 4,392,MNE,6:32
20 sec. exclusion in field,2.0,2,4,4,AUS,4.0,BRGULJAN D,4 - 4,373,MNE,6:13
Extra player shot - Goal,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,353,AUS,5:53
5m shot - Saved,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,328,MNE,5:28
5m shot - Missed,7.0,2,4,5,AUS,4.0,ROACH A,5 - 4,290,AUS,4:50
5m shot - Saved,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,265,MNE,4:25
Action shot - Blocked,2.0,2,4,5,AUS,4.0,CAMPBELL R,5 - 4,239,AUS,3:59
Action shot - Saved,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,211,AUS,3:31
Turnover foul,2.0,2,4,5,AUS,4.0,CAMPBELL R,5 - 4,179,AUS,2:59
Steal,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,179,MNE,2:59
5m shot - Blocked,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,158,MNE,2:38
5m shot - Blocked,9.0,2,4,5,AUS,4.0,IVOVIC A,5 - 4,109,MNE,1:49
5m shot - Post,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,82,AUS,1:22
Time-Out,,2,4,5,AUS,4.0,,5 - 4,82,MNE,1:22
Turnover foul,8.0,2,4,5,AUS,4.0,UKROPINA A,5 - 4,66,MNE,1:06
5m shot - Goal,7.0,2,5,5,AUS,4.0,JANOVIC M,5 - 5,22,MNE,0:22
Time-Out,,2,5,5,AUS,4.0,,5 - 5,22,AUS,0:22
20 sec. exclusion in centre,2.0,2,5,5,AUS,4.0,BRGULJAN D,5 - 5,5,MNE,0:05
Starting goalkeeper,1.0,3,0,0,JPN,1.0,TANAMURA K,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,3,0,0,JPN,1.0,LAZOVIC D,0 - 0,480,MNE,8:00
Sprint won possession,3.0,3,0,0,JPN,1.0,PASKOVIC V,0 - 0,480,MNE,8:00
20 sec. exclusion in centre,6.0,3,0,0,JPN,1.0,IIDA A,0 - 0,455,JPN,7:35
Extra player shot - Goal,6.0,3,1,0,JPN,1.0,RADOVIC A,0 - 1,441,MNE,7:21
Turnover foul,11.0,3,1,0,JPN,1.0,OKAWA K,0 - 1,422,JPN,7:02
Turnover foul,1.0,3,1,0,JPN,1.0,LAZOVIC D,0 - 1,422,MNE,7:02
Action shot - Saved,12.0,3,1,0,JPN,1.0,HAZUI S,0 - 1,411,JPN,6:51
Action shot - Saved,5.0,3,1,0,JPN,1.0,BRGULJAN D,0 - 1,394,MNE,6:34
Turnover foul,6.0,3,1,0,JPN,1.0,IIDA A,0 - 1,380,JPN,6:20
