Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3.0,3,7,2,JPN,2.0,PASKOVIC V,2 - 7,130,MNE,2:10,Goal,1
Action shot,5.0,3,7,3,JPN,2.0,YANASE A,3 - 7,106,JPN,1:46,Goal,1
Extra player shot,8.0,3,7,4,JPN,2.0,KADONO Y,4 - 7,53,JPN,0:53,Goal,1
Extra player shot,9.0,3,7,4,JPN,4.0,TAKEI K,4 - 7,82,JPN,1:22,Saved,0
Action shot,9.0,3,16,9,JPN,4.0,TAKEI K,9 - 16,72,JPN,1:12,Goal,1
Extra player shot,6.0,3,8,4,JPN,2.0,RADOVIC A,4 - 8,20,MNE,0:20,Goal,1
Action shot,8.0,3,8,4,JPN,3.0,UKROPINA A,4 - 8,455,MNE,7:35,Saved,0
Extra player shot,2.0,3,9,4,JPN,3.0,BRGULJAN D,4 - 9,412,MNE,6:52,Goal,1
5m shot,12.0,3,9,4,JPN,3.0,HAZUI S,4 - 9,383,JPN,6:23,Missed,0
Action shot,3.0,3,9,4,JPN,3.0,PASKOVIC V,4 - 9,354,MNE,5:54,Saved,0
Extra player shot,9.0,3,10,4,JPN,3.0,IVOVIC A,4 - 10,306,MNE,5:06,Goal,1
Action shot,10.0,3,11,4,JPN,3.0,MURISIC N,4 - 11,236,MNE,3:56,Goal,1
Penalty shot,2.0,3,11,4,JPN,3.0,ADACHI S,4 - 11,214,JPN,3:34,Saved,0
Counter attack,7.0,3,11,4,JPN,3.0,SHIMIZU Y,4 - 11,147,JPN,2:27,Saved,0
Action shot,7.0,3,11,5,JPN,3.0,SHIMIZU Y,5 - 11,121,JPN,2:01,Goal,1
Centre shot,9.0,3,12,5,JPN,3.0,IVOVIC A,5 - 12,95,MNE,1:35,Goal,1
Extra player shot,5.0,3,12,6,JPN,3.0,YANASE A,6 - 12,71,JPN,1:11,Goal,1
Penalty shot,3.0,3,13,6,JPN,3.0,PASKOVIC V,6 - 13,43,MNE,0:43,Goal,1
Action shot,4.0,3,13,6,JPN,3.0,SHIGA M,6 - 13,17,JPN,0:17,Saved,0
5m shot,9.0,3,13,6,JPN,3.0,TAKEI K,6 - 13,1,JPN,0:01,Saved,0
5m shot,6.0,3,13,6,JPN,4.0,RADOVIC A,6 - 13,453,MNE,7:33,Blocked,0
Action shot,5.0,3,13,7,JPN,4.0,YANASE A,7 - 13,444,JPN,7:24,Goal,1
Penalty shot,6.0,3,14,7,JPN,4.0,RADOVIC A,7 - 14,424,MNE,7:04,Goal,1
Action shot,12.0,3,14,7,JPN,4.0,HAZUI S,7 - 14,399,JPN,6:39,Saved,0
Action shot,9.0,3,15,7,JPN,4.0,IVOVIC A,7 - 15,382,MNE,6:22,Goal,1
Action shot,12.0,3,15,7,JPN,4.0,JOKIC P,7 - 15,325,MNE,5:25,Saved,0
Counter attack,3.0,3,15,7,JPN,4.0,PASKOVIC V,7 - 15,285,MNE,4:45,Saved,0
Counter attack,4.0,3,15,8,JPN,4.0,SHIGA M,8 - 15,240,JPN,4:00,Goal,1
Action shot,10.0,3,16,8,JPN,4.0,MURISIC N,8 - 16,223,MNE,3:43,Goal,1
