Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,4.0,2,12,6,JPN,3.0,MAGARIYAMA S,6 - 12,118,JPN,1:58,Saved,0
Centre shot,4.0,2,13,6,JPN,3.0,van der SLOOT S,6 - 13,103,NED,1:43,Goal,1
Centre shot,3.0,2,13,7,JPN,3.0,KAZAMA Y,7 - 13,60,JPN,1:00,Goal,1
Action shot,7.0,2,14,7,JPN,3.0,NIJHUIS M,7 - 14,44,NED,0:44,Goal,1
Centre shot,2.0,2,14,7,JPN,3.0,ARIMA Y,7 - 14,21,JPN,0:21,Saved,0
Action shot,8.0,2,15,7,JPN,3.0,SEVENICH V,7 - 15,6,NED,0:06,Goal,1
Extra player shot,6.0,2,15,7,JPN,4.0,YAMAMOTO M,7 - 15,235,JPN,3:55,Blocked,0
5m shot,11.0,2,18,8,JPN,4.0,KLAASSEN L,8 - 18,208,NED,3:28,Goal,1
5m shot,7.0,2,18,8,JPN,4.0,INABA A,8 - 18,149,JPN,2:29,Post,0
5m shot,7.0,2,19,8,JPN,4.0,NIJHUIS M,8 - 19,135,NED,2:15,Goal,1
5m shot,2.0,2,19,8,JPN,4.0,ARIMA Y,8 - 19,113,JPN,1:53,Missed,0
Extra player shot,7.0,2,19,8,JPN,4.0,NIJHUIS M,8 - 19,65,NED,1:05,Saved,0
Penalty shot,3.0,2,19,8,JPN,4.0,KAZAMA Y,8 - 19,65,JPN,1:05,Saved,0
Action shot,11.0,2,19,8,JPN,4.0,KLAASSEN L,8 - 19,46,NED,0:46,Missed,0
Centre shot,2.0,2,19,8,JPN,4.0,ARIMA Y,8 - 19,31,JPN,0:31,Saved,0
5m shot,11.0,2,20,8,JPN,4.0,KLAASSEN L,8 - 20,4,NED,0:04,Goal,1
5m shot,2.0,2,20,8,JPN,4.0,ARIMA Y,8 - 20,1,JPN,0:01,Saved,0
Extra player shot,3.0,3,0,0,HUN,1.0,ANTAL D,0 - 0,445,HUN,7:25,Post,0
Action shot,11.0,3,0,0,HUN,1.0,KLAASSEN L,0 - 0,427,NED,7:07,Post,0
5m shot,8.0,3,0,0,HUN,1.0,KESZTHELYI R,0 - 0,405,HUN,6:45,Post,0
Extra player shot,2.0,3,0,0,HUN,1.0,SMIT Y,0 - 0,380,NED,6:20,Blocked,0
Action shot,3.0,3,0,0,HUN,1.0,ANTAL D,0 - 0,322,HUN,5:22,Saved,0
Action shot,9.0,3,1,0,HUN,1.0,MEGENS M,1 - 0,300,NED,5:00,Goal,1
5m shot,5.0,3,1,0,HUN,1.0,SZUCS G,1 - 0,272,HUN,4:32,Missed,0
Counter attack,5.0,3,1,1,HUN,1.0,SZUCS G,1 - 1,260,HUN,4:20,Goal,1
5m shot,2.0,3,1,1,HUN,1.0,SMIT Y,1 - 1,238,NED,3:58,Saved,0
Action shot,4.0,3,1,1,HUN,1.0,van der SLOOT S,1 - 1,205,NED,3:25,Saved,0
5m shot,4.0,3,2,1,HUN,1.0,van der SLOOT S,2 - 1,154,NED,2:34,Goal,1
Action shot,7.0,3,2,1,HUN,1.0,ILLES A,2 - 1,130,HUN,2:10,Saved,0
5m shot,5.0,3,2,2,HUN,1.0,SZUCS G,2 - 2,53,HUN,0:53,Goal,1
5m shot,2.0,3,2,2,HUN,1.0,SMIT Y,2 - 2,23,NED,0:23,Missed,0
5m shot,12.0,3,2,2,HUN,1.0,SZILAGYI D,2 - 2,2,HUN,0:02,Saved,0
5m shot,11.0,3,2,2,HUN,1.0,KLAASSEN L,2 - 2,1,NED,0:01,Saved,0
Extra player shot,11.0,3,2,2,HUN,2.0,KLAASSEN L,2 - 2,443,NED,7:23,Blocked,0
5m shot,6.0,3,2,2,HUN,2.0,TAKACS O,2 - 2,416,HUN,6:56,Post,0
Centre shot,10.0,3,2,3,HUN,2.0,BUJKA B,2 - 3,415,HUN,6:55,Goal,1
Action shot,12.0,3,2,3,HUN,2.0,SZILAGYI D,2 - 3,304,HUN,5:04,Post,0
Centre shot,9.0,3,2,3,HUN,2.0,MEGENS M,2 - 3,278,NED,4:38,Saved,0
Extra player shot,5.0,3,2,3,HUN,2.0,GENEE A,2 - 3,214,NED,3:34,Blocked,0
Centre shot,9.0,3,2,3,HUN,2.0,TOTH I,2 - 3,191,HUN,3:11,Missed,0
Action shot,6.0,3,2,3,HUN,2.0,STOMPHORST N,2 - 3,168,NED,2:48,Post,0
Action shot,12.0,3,2,3,HUN,2.0,SZILAGYI D,2 - 3,144,HUN,2:24,Blocked,0
Extra player shot,8.0,3,2,3,HUN,4.0,SEVENICH V,2 - 3,230,NED,3:50,Saved,0
Extra player shot,2.0,3,6,8,HUN,4.0,SMIT Y,6 - 8,210,NED,3:30,Goal,1
Action shot,4.0,3,6,9,HUN,4.0,GURISATTI G,6 - 9,184,HUN,3:04,Goal,1
Action shot,2.0,3,7,9,HUN,4.0,SMIT Y,7 - 9,164,NED,2:44,Goal,1
5m shot,6.0,3,7,9,HUN,4.0,TAKACS O,7 - 9,132,HUN,2:12,Blocked,0
Extra player shot,11.0,3,7,9,HUN,2.0,CSABAI D,7 - 9,106,HUN,1:46,Saved,0
Action shot,3.0,3,7,9,HUN,2.0,ANTAL D,7 - 9,55,HUN,0:55,Post,0
Penalty shot,4.0,3,3,3,HUN,2.0,van der SLOOT S,3 - 3,38,NED,0:38,Goal,1
5m shot,11.0,3,3,3,HUN,2.0,KLAASSEN L,3 - 3,1,NED,0:01,Missed,0
5m shot,11.0,3,3,3,HUN,3.0,KLAASSEN L,3 - 3,424,NED,7:04,Blocked,0
Action shot,2.0,3,3,4,HUN,3.0,CZIGANY D,3 - 4,344,HUN,5:44,Goal,1
Action shot,7.0,3,3,5,HUN,3.0,ILLES A,3 - 5,303,HUN,5:03,Goal,1
Extra player shot,2.0,3,4,5,HUN,3.0,SMIT Y,4 - 5,269,NED,4:29,Goal,1
Extra player shot,2.0,3,4,6,HUN,3.0,CZIGANY D,4 - 6,234,HUN,3:54,Goal,1
Action shot,4.0,3,4,7,HUN,3.0,GURISATTI G,4 - 7,194,HUN,3:14,Goal,1
5m shot,6.0,3,4,7,HUN,3.0,STOMPHORST N,4 - 7,165,NED,2:45,Saved,0
Extra player shot,9.0,3,4,7,HUN,3.0,MEGENS M,4 - 7,109,NED,1:49,Saved,0
5m shot,6.0,3,4,7,HUN,3.0,TAKACS O,4 - 7,33,HUN,0:33,Blocked,0
Action shot,2.0,3,5,7,HUN,3.0,SMIT Y,5 - 7,9,NED,0:09,Goal,1
5m shot,8.0,3,5,7,HUN,3.0,KESZTHELYI R,5 - 7,1,HUN,0:01,Saved,0
Extra player shot,5.0,3,5,7,HUN,4.0,SZUCS G,5 - 7,444,HUN,7:24,Saved,0
Extra player shot,5.0,3,5,7,HUN,4.0,GENEE A,5 - 7,407,NED,6:47,Saved,0
Penalty shot,8.0,3,5,8,HUN,4.0,KESZTHELYI R,5 - 8,332,HUN,5:32,Goal,1
Centre shot,10.0,3,5,8,HUN,4.0,BUJKA B,5 - 8,301,HUN,5:01,Saved,0
Extra player shot,4.0,3,5,8,HUN,4.0,van der SLOOT S,5 - 8,277,NED,4:37,Saved,0
Penalty shot,8.0,3,7,10,HUN,4.0,KESZTHELYI R,7 - 10,82,HUN,1:22,Goal,1
Extra player shot,4.0,3,8,10,HUN,4.0,van der SLOOT S,8 - 10,63,NED,1:03,Goal,1
5m shot,4.0,3,8,10,HUN,4.0,van der SLOOT S,8 - 10,15,NED,0:15,Saved,0
Action shot,3.0,4,0,1,RUS,1.0,PROKOFYEVA E,0 - 1,451,RUS,7:31,Goal,1
Extra player shot,6.0,4,1,1,RUS,1.0,STOMPHORST N,1 - 1,417,NED,6:57,Goal,1
Action shot,6.0,4,1,1,RUS,1.0,GORBUNOVA O,1 - 1,390,RUS,6:30,Missed,0
5m shot,10.0,4,1,1,RUS,1.0,TOLKUNOVA T,1 - 1,333,RUS,5:33,Missed,0
