Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
3.0,5:23,Extra player shot - Saved,6 - 2,BRA,CHIAPPINI I,8.0,6,2,323,2,KAZ
3.0,5:04,20 sec. exclusion in field,6 - 2,BRA,CANETTI M,4.0,6,2,304,2,KAZ
3.0,5:04,Time-Out,6 - 2,KAZ,,,6,2,304,2,KAZ
3.0,4:40,Action shot - Goal,7 - 2,KAZ,GRITSENKO M,10.0,7,2,280,2,KAZ
3.0,4:31,20 sec. exclusion in field,7 - 2,KAZ,ALEXANDROVA N,7.0,7,2,271,2,KAZ
3.0,4:10,Action shot - Blocked,7 - 2,BRA,CHIAPPINI I,8.0,7,2,250,2,KAZ
3.0,3:44,5m shot - Missed,7 - 2,KAZ,GRITSENKO M,10.0,7,2,224,2,KAZ
3.0,3:18,Turnover foul,7 - 2,BRA,MAIA L,5.0,7,2,198,2,KAZ
3.0,3:18,Steal,7 - 2,KAZ,MUSSAROVA A,12.0,7,2,198,2,KAZ
3.0,3:00,Action shot - Post,7 - 2,KAZ,SHEPELINA N,2.0,7,2,180,2,KAZ
3.0,2:42,Turnover foul,7 - 2,KAZ,GLUSHKOVA Y,8.0,7,2,162,2,KAZ
3.0,2:42,Steal,7 - 2,BRA,CANETTI M,1.0,7,2,162,2,KAZ
3.0,2:20,Action shot - Blocked,7 - 2,BRA,CHIAPPINI I,8.0,7,2,140,2,KAZ
3.0,2:07,Turnover foul,7 - 2,KAZ,AKILBAYEVA A,3.0,7,2,127,2,KAZ
3.0,2:07,Steal,7 - 2,BRA,MAIA L,5.0,7,2,127,2,KAZ
3.0,1:45,Turnover foul,7 - 2,BRA,CANETTI M,4.0,7,2,105,2,KAZ
3.0,1:45,Steal,7 - 2,KAZ,MUSSAROVA A,12.0,7,2,105,2,KAZ
3.0,1:27,Turnover foul,7 - 2,KAZ,GLUSHKOVA Y,8.0,7,2,87,2,KAZ
3.0,1:17,20 sec. exclusion in field,7 - 2,KAZ,TUROVA A,4.0,7,2,77,2,KAZ
3.0,1:17,Exclusion with substitution,7 - 2,KAZ,TUROVA A,4.0,7,2,77,2,KAZ
3.0,1:14,Time-Out,7 - 2,BRA,,,7,2,74,2,KAZ
3.0,1:14,Goalkeeper substitution,7 - 2,BRA,CHAMORRO V,13.0,7,2,74,2,KAZ
3.0,1:04,Turnover foul,7 - 2,BRA,BAHIA V,12.0,7,2,64,2,KAZ
3.0,0:40,20 sec. exclusion in field,7 - 2,BRA,ABLA D,2.0,7,2,40,2,KAZ
3.0,0:12,Turnover foul,7 - 2,KAZ,GLUSHKOVA Y,8.0,7,2,12,2,KAZ
4.0,8:00,Starting goalkeeper,7 - 2,KAZ,ZHARKOVA A,1.0,7,2,480,2,KAZ
4.0,8:00,Starting goalkeeper,7 - 2,BRA,CHAMORRO V,13.0,7,2,480,2,KAZ
4.0,8:00,Sprint won possession,7 - 2,BRA,CHIAPPINI I,8.0,7,2,480,2,KAZ
4.0,7:39,Turnover foul,7 - 2,BRA,CANETTI M,4.0,7,2,459,2,KAZ
4.0,7:39,Steal,7 - 2,KAZ,MUSSAROVA A,12.0,7,2,459,2,KAZ
4.0,7:22,Action shot - Post,7 - 2,KAZ,GRITSENKO M,10.0,7,2,442,2,KAZ
4.0,7:21,Centre shot - Goal,8 - 2,KAZ,GLUSHKOVA Y,8.0,8,2,441,2,KAZ
4.0,6:57,5m shot - Saved,8 - 2,BRA,VIGNA F,10.0,8,2,417,2,KAZ
