AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5,Extra player shot,3.0,4,0,FRA,1.0,BUCKLING H,0 - 5,47,AUS,0:47,Goal,1
5,Extra player shot,6.0,4,0,FRA,1.0,MAHIEU G,0 - 5,13,FRA,0:13,Missed,0
5,5m shot,5.0,4,0,FRA,1.0,BISHOP I,0 - 5,0,AUS,0:00,Saved,0
6,Action shot,7.0,4,0,FRA,2.0,WEBSTER R,0 - 6,400,AUS,6:40,Goal,1
7,Action shot,4.0,4,0,FRA,2.0,HALLIGAN B,0 - 7,333,AUS,5:33,Goal,1
7,5m shot,9.0,4,0,FRA,2.0,SACRE A,0 - 7,309,FRA,5:09,Missed,0
8,Counter attack,2.0,4,0,FRA,2.0,GOFERS K,0 - 8,296,AUS,4:56,Goal,1
8,Extra player shot,4.0,4,0,FRA,2.0,SACRE A,0 - 8,279,FRA,4:39,Saved,0
8,Extra player shot,5.0,4,0,FRA,2.0,GUILLET L,0 - 8,264,FRA,4:24,Saved,0
8,5m shot,11.0,4,0,FRA,2.0,BAXTER M,0 - 8,178,AUS,2:58,Saved,0
8,Action shot,3.0,4,0,FRA,2.0,BACHELIER L,0 - 8,153,FRA,2:33,Saved,0
8,5m shot,12.0,4,0,FRA,2.0,STEERE M,0 - 8,124,AUS,2:04,Saved,0
8,5m shot,6.0,4,0,FRA,2.0,RIDGE A,0 - 8,47,AUS,0:47,Post,0
8,5m shot,7.0,4,0,FRA,2.0,VALVERDE C,0 - 8,25,FRA,0:25,Saved,0
9,5m shot,4.0,4,0,FRA,2.0,HALLIGAN B,0 - 9,1,AUS,0:01,Goal,1
9,Action shot,7.0,4,0,FRA,3.0,WEBSTER R,0 - 9,438,AUS,7:18,Saved,0
9,Action shot,7.0,4,0,FRA,3.0,VALVERDE C,0 - 9,414,FRA,6:54,Missed,0
9,Action shot,2.0,4,0,FRA,3.0,MILLOT E,0 - 9,364,FRA,6:04,Saved,0
9,Action shot,5.0,4,0,FRA,3.0,BISHOP I,0 - 9,345,AUS,5:45,Missed,0
9,Extra player shot,2.0,4,1,FRA,3.0,MILLOT E,1 - 9,299,FRA,4:59,Goal,1
9,Extra player shot,7.0,4,1,FRA,3.0,WEBSTER R,1 - 9,202,AUS,3:22,Blocked,0
9,5m shot,12.0,4,1,FRA,3.0,STEERE M,1 - 9,171,AUS,2:51,Post,0
9,Extra player shot,4.0,4,1,FRA,3.0,SACRE A,1 - 9,44,FRA,0:44,Missed,0
10,Extra player shot,9.0,4,1,FRA,3.0,ARANCINI Z,1 - 10,13,AUS,0:13,Goal,1
11,Action shot,3.0,4,1,FRA,4.0,BUCKLING H,1 - 11,436,AUS,7:16,Goal,1
11,5m shot,2.0,4,1,FRA,4.0,MILLOT E,1 - 11,407,FRA,6:47,Blocked,0
12,Counter attack,10.0,4,1,FRA,4.0,MIHAILOVIC L,1 - 12,391,AUS,6:31,Goal,1
