Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Missed,6.0,2,2,8,NED,2.0,STOMPHORST N,2 - 8,245,NED,4:05
5m shot - Saved,10.0,2,2,8,NED,3.0,NORO M,2 - 8,1,JPN,0:01
Starting goalkeeper,13.0,2,2,8,NED,4.0,SHIOYA M,2 - 8,480,JPN,8:00
Starting goalkeeper,1.0,2,2,8,NED,4.0,AARTS L,2 - 8,480,NED,8:00
Sprint won possession,3.0,2,2,8,NED,4.0,GENEE D,2 - 8,480,NED,8:00
20 sec. exclusion in field,10.0,2,2,8,NED,4.0,NORO M,2 - 8,468,JPN,7:48
Exclusion with substitution,10.0,2,2,8,NED,4.0,NORO M,2 - 8,468,JPN,7:48
Extra player shot - Blocked,2.0,2,2,8,NED,4.0,SMIT Y,2 - 8,448,NED,7:28
Action shot - Blocked,2.0,2,2,8,NED,4.0,ARIMA Y,2 - 8,433,JPN,7:13
Action shot - Goal,9.0,2,7,16,NED,4.0,MEGENS M,7 - 16,420,NED,7:00
20 sec. exclusion in centre,9.0,2,7,16,NED,4.0,MEGENS M,7 - 16,391,NED,6:31
Extra player shot - Goal,6.0,2,8,16,NED,4.0,YAMAMOTO M,8 - 16,388,JPN,6:28
Centre shot - Goal,8.0,2,8,17,NED,4.0,SEVENICH V,8 - 17,372,NED,6:12
Action shot - Blocked,5.0,2,8,17,NED,4.0,SAKANOUE C,8 - 17,343,JPN,5:43
Turnover foul,1.0,2,8,17,NED,4.0,AARTS L,8 - 17,320,NED,5:20
Turnover foul,13.0,2,8,17,NED,4.0,SHIOYA M,8 - 17,310,JPN,5:10
Steal,11.0,2,8,17,NED,4.0,KLAASSEN L,8 - 17,310,NED,5:10
Action shot - Post,9.0,2,8,17,NED,4.0,MEGENS M,8 - 17,300,NED,5:00
Double exclusion,11.0,2,8,17,NED,4.0,KLAASSEN L,8 - 17,278,NED,4:38
Double exclusion,6.0,2,8,17,NED,4.0,YAMAMOTO M,8 - 17,278,JPN,4:38
5m shot - Post,5.0,2,8,17,NED,4.0,SAKANOUE C,8 - 17,267,JPN,4:27
Penalty foul,4.0,2,8,17,NED,2.0,van der SLOOT S,8 - 17,242,NED,4:02
Penalty shot - Goal,12.0,2,3,8,NED,2.0,SUZUKI K,3 - 8,242,JPN,4:02
Centre shot - Goal,8.0,2,3,9,NED,2.0,SEVENICH V,3 - 9,220,NED,3:40
Turnover foul,4.0,2,3,9,NED,2.0,MAGARIYAMA S,3 - 9,193,JPN,3:13
Steal,1.0,2,3,9,NED,2.0,AARTS L,3 - 9,193,NED,3:13
Turnover foul,8.0,2,3,9,NED,2.0,SEVENICH V,3 - 9,174,NED,2:54
Steal,4.0,2,3,9,NED,2.0,MAGARIYAMA S,3 - 9,174,JPN,2:54
Counter attack - Goal,2.0,2,4,9,NED,2.0,ARIMA Y,4 - 9,167,JPN,2:47
Time-Out,,2,4,9,NED,2.0,,4 - 9,167,NED,2:47
