Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,7.0,1,4,FRA,3.0,LISUNOVA E,12,12 - 4,3,RUS,0:03,Blocked,0
Action shot,11.0,1,4,FRA,4.0,IVANOVA E,13,13 - 4,425,RUS,7:05,Goal,1
Action shot,7.0,1,4,FRA,4.0,LISUNOVA E,13,13 - 4,400,RUS,6:40,Saved,0
Action shot,9.0,1,4,FRA,4.0,TIMOFEEVA A,13,13 - 4,375,RUS,6:15,Saved,0
Action shot,12.0,1,4,FRA,4.0,IARONDAIKINA N,13,13 - 4,365,RUS,6:05,Post,0
Action shot,4.0,1,4,FRA,4.0,KARIMOVA E,14,14 - 4,330,RUS,5:30,Goal,1
Action shot,8.0,1,5,FRA,4.0,TARDY M,14,14 - 5,303,FRA,5:03,Goal,1
Extra player shot,2.0,1,5,FRA,4.0,ZUBKOVA T,14,14 - 5,272,RUS,4:32,Post,0
5m shot,5.0,1,5,FRA,4.0,GUILLET L,14,14 - 5,242,FRA,4:02,Post,0
5m shot,12.0,1,5,FRA,4.0,IARONDAIKINA N,15,15 - 5,181,RUS,3:01,Goal,1
Action shot,4.0,1,5,FRA,4.0,SACRE A,15,15 - 5,155,FRA,2:35,Saved,0
5m shot,5.0,1,5,FRA,4.0,GUILLET L,15,15 - 5,127,FRA,2:07,Missed,0
Action shot,5.0,1,5,FRA,4.0,ZUBACHEVA E,16,16 - 5,107,RUS,1:47,Goal,1
Action shot,10.0,1,5,FRA,4.0,TANKEEVA E,16,16 - 5,56,RUS,0:56,Post,0
5m shot,5.0,1,5,FRA,4.0,GUILLET L,16,16 - 5,23,FRA,0:23,Saved,0
5m shot,5.0,1,5,FRA,4.0,GUILLET L,16,16 - 5,0,FRA,0:00,Saved,0
Action shot,10.0,2,0,HUN,1.0,BUJKA B,0,0 - 0,434,HUN,7:14,Saved,0
5m shot,7.0,2,0,HUN,1.0,LISUNOVA E,0,0 - 0,414,RUS,6:54,Post,0
Action shot,3.0,2,0,HUN,1.0,ANTAL D,0,0 - 0,396,HUN,6:36,Saved,0
5m shot,7.0,2,0,HUN,1.0,LISUNOVA E,0,0 - 0,369,RUS,6:09,Post,0
