Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Blocked,3.0,1,10,0,KAZ,3.0,AXENOV A,10 - 0,297,KAZ,4:57
Turnover foul,3.0,1,10,0,KAZ,3.0,MADARAS N,10 - 0,285,HUN,4:45
Action shot - Saved,5.0,1,10,0,KAZ,3.0,USHAKOV V,10 - 0,260,KAZ,4:20
Action shot - Goal,9.0,1,11,0,KAZ,3.0,VARGA D,11 - 0,240,HUN,4:00
5m shot - Saved,9.0,1,11,0,KAZ,3.0,UKUMANOV R,11 - 0,216,KAZ,3:36
Action shot - Saved,4.0,1,11,0,KAZ,3.0,ERDELYI B,11 - 0,196,HUN,3:16
Penalty foul,8.0,1,11,0,KAZ,3.0,SZIVOS M,11 - 0,178,HUN,2:58
Penalty shot - Goal,9.0,1,11,1,KAZ,3.0,UKUMANOV R,11 - 1,178,KAZ,2:58
Action shot - Saved,11.0,1,11,1,KAZ,3.0,BEDO K,11 - 1,156,HUN,2:36
20 sec. exclusion in centre,6.0,1,11,1,KAZ,3.0,SHMIDER A,11 - 1,137,KAZ,2:17
Time-Out,,1,11,1,KAZ,3.0,,11 - 1,137,HUN,2:17
Extra player shot - Post,10.0,1,11,1,KAZ,3.0,VARGA D,11 - 1,119,HUN,1:59
Action shot - Goal,5.0,1,11,2,KAZ,3.0,USHAKOV V,11 - 2,106,KAZ,1:46
5m shot - Goal,6.0,1,12,2,KAZ,3.0,HOSNYANSZKY N,12 - 2,78,HUN,1:18
Turnover foul,2.0,1,12,2,KAZ,3.0,GUBAREV S,12 - 2,46,KAZ,0:46
Steal,10.0,1,12,2,KAZ,3.0,VARGA D,12 - 2,46,HUN,0:46
Turnover foul,5.0,1,12,2,KAZ,3.0,VAMOS M,12 - 2,14,HUN,0:14
20 sec. exclusion in centre,12.0,1,12,2,KAZ,3.0,HARAI B,12 - 2,7,HUN,0:07
Extra player shot - Saved,9.0,1,12,2,KAZ,3.0,UKUMANOV R,12 - 2,2,KAZ,0:02
Starting goalkeeper,1.0,1,12,2,KAZ,4.0,NAGY V,12 - 2,480,HUN,8:00
Starting goalkeeper,1.0,1,12,2,KAZ,4.0,FEDOROV A,12 - 2,480,KAZ,8:00
Sprint won possession,4.0,1,12,2,KAZ,4.0,ERDELYI B,12 - 2,480,HUN,8:00
20 sec. exclusion in centre,3.0,1,12,2,KAZ,4.0,AXENOV A,12 - 2,462,KAZ,7:42
Action shot - Saved,8.0,1,12,2,KAZ,4.0,SZIVOS M,12 - 2,454,HUN,7:34
5m shot - Saved,5.0,1,12,2,KAZ,4.0,USHAKOV V,12 - 2,435,KAZ,7:15
Turnover foul,5.0,1,12,2,KAZ,4.0,USHAKOV V,12 - 2,429,KAZ,7:09
5m shot - Post,9.0,1,12,2,KAZ,4.0,VARGA D,12 - 2,400,HUN,6:40
20 sec. exclusion in centre,4.0,1,12,2,KAZ,4.0,ERDELYI B,12 - 2,382,HUN,6:22
Exclusion with substitution,4.0,1,12,2,KAZ,4.0,ERDELYI B,12 - 2,382,HUN,6:22
Extra player shot - Goal,2.0,1,12,3,KAZ,4.0,GUBAREV S,12 - 3,362,KAZ,6:02
20 sec. exclusion in field,9.0,1,12,3,KAZ,4.0,VARGA D,12 - 3,337,HUN,5:37
Turnover foul,9.0,1,12,3,KAZ,4.0,VARGA D,12 - 3,336,HUN,5:36
Action shot - Missed,12.0,1,12,3,KAZ,4.0,PEKOVICH B,12 - 3,336,KAZ,5:36
20 sec. exclusion in centre,6.0,1,12,3,KAZ,4.0,SHMIDER A,12 - 3,297,KAZ,4:57
Time-Out,,1,12,3,KAZ,4.0,,12 - 3,297,HUN,4:57
Centre shot - Goal,12.0,1,13,3,KAZ,4.0,HARAI B,13 - 3,275,HUN,4:35
Action shot - Saved,8.0,1,13,3,KAZ,4.0,KOLIADENKO A,13 - 3,246,KAZ,4:06
Centre shot - Saved,8.0,1,13,3,KAZ,4.0,KOLIADENKO A,13 - 3,237,KAZ,3:57
20 sec. exclusion in centre,9.0,1,13,3,KAZ,4.0,VARGA D,13 - 3,230,HUN,3:50
Time-Out,,1,13,3,KAZ,4.0,,13 - 3,230,KAZ,3:50
Extra player shot - Goal,3.0,1,13,4,KAZ,4.0,AXENOV A,13 - 4,216,KAZ,3:36
Action shot - Saved,3.0,1,13,4,KAZ,4.0,MADARAS N,13 - 4,189,HUN,3:09
20 sec. exclusion in centre,2.0,1,13,4,KAZ,4.0,GOR-NAGY M,13 - 4,178,HUN,2:58
Exclusion with substitution,2.0,1,13,4,KAZ,4.0,GOR-NAGY M,13 - 4,178,HUN,2:58
Extra player shot - Goal,5.0,1,13,5,KAZ,4.0,USHAKOV V,13 - 5,158,KAZ,2:38
Centre shot - Saved,11.0,1,13,5,KAZ,4.0,BEDO K,13 - 5,132,HUN,2:12
5m shot - Saved,5.0,1,13,5,KAZ,4.0,VAMOS M,13 - 5,121,HUN,2:01
Turnover foul,3.0,1,13,5,KAZ,4.0,AXENOV A,13 - 5,102,KAZ,1:42
20 sec. exclusion in centre,3.0,1,13,5,KAZ,4.0,AXENOV A,13 - 5,102,KAZ,1:42
Exclusion with substitution,3.0,1,13,5,KAZ,4.0,AXENOV A,13 - 5,102,KAZ,1:42
