Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,7,5.0,5,3,ARG,2.0,LU W,7 - 3,375,CHN,6:15,Goal,1
5m shot,7,9.0,5,4,ARG,2.0,CARABANTES I,7 - 4,325,ARG,5:25,Goal,1
5m shot,7,2.0,5,4,ARG,2.0,TAN F,7 - 4,302,CHN,5:02,Blocked,0
5m shot,7,12.0,5,4,ARG,2.0,YANEZ G,7 - 4,280,ARG,4:40,Saved,0
Counter attack,7,5.0,5,4,ARG,2.0,LU W,7 - 4,254,CHN,4:14,Missed,0
Counter attack,7,2.0,5,4,ARG,2.0,TAN F,7 - 4,224,CHN,3:44,Saved,0
5m shot,7,6.0,5,4,ARG,2.0,LI L,7 - 4,204,CHN,3:24,Saved,0
Extra player shot,7,12.0,5,5,ARG,2.0,YANEZ G,7 - 5,190,ARG,3:10,Goal,1
Counter attack,8,4.0,5,5,ARG,2.0,DONG T,8 - 5,114,CHN,1:54,Goal,1
Counter attack,9,4.0,5,5,ARG,2.0,DONG T,9 - 5,75,CHN,1:15,Goal,1
5m shot,9,12.0,5,6,ARG,2.0,YANEZ G,9 - 6,60,ARG,1:00,Goal,1
5m shot,9,3.0,5,6,ARG,2.0,HU Z,9 - 6,36,CHN,0:36,Saved,0
5m shot,9,9.0,5,6,ARG,2.0,CARABANTES I,9 - 6,8,ARG,0:08,Missed,0
Extra player shot,15,2.0,5,8,ARG,4.0,TAN F,15 - 8,134,CHN,2:14,Goal,1
5m shot,15,2.0,5,8,ARG,4.0,VEICH R,15 - 8,109,ARG,1:49,Blocked,0
5m shot,15,11.0,5,8,ARG,2.0,ZHANG C,15 - 8,0,CHN,0:00,Missed,0
5m shot,15,2.0,5,8,ARG,3.0,TAN F,15 - 8,451,CHN,7:31,Post,0
5m shot,9,9.0,5,7,ARG,3.0,CARABANTES I,9 - 7,421,ARG,7:01,Goal,1
Action shot,9,12.0,5,7,ARG,3.0,LIANG N,9 - 7,404,CHN,6:44,Saved,0
Counter attack,10,4.0,5,7,ARG,3.0,DONG T,10 - 7,360,CHN,6:00,Goal,1
Extra player shot,10,2.0,5,7,ARG,3.0,VEICH R,10 - 7,281,ARG,4:41,Missed,0
Centre shot,11,8.0,5,7,ARG,3.0,LI L,11 - 7,219,CHN,3:39,Goal,1
Counter attack,11,2.0,5,8,ARG,3.0,VEICH R,11 - 8,189,ARG,3:09,Goal,1
Extra player shot,12,6.0,5,8,ARG,3.0,LI L,12 - 8,153,CHN,2:33,Goal,1
5m shot,12,2.0,5,8,ARG,3.0,VEICH R,12 - 8,139,ARG,2:19,Blocked,0
Counter attack,13,10.0,5,8,ARG,3.0,CHEN J,13 - 8,126,CHN,2:06,Goal,1
5m shot,13,11.0,5,8,ARG,3.0,ZHANG C,13 - 8,84,CHN,1:24,Saved,0
5m shot,13,2.0,5,8,ARG,3.0,TAN F,13 - 8,40,CHN,0:40,Saved,0
5m shot,13,2.0,5,8,ARG,3.0,TAN F,13 - 8,1,CHN,0:01,Missed,0
5m shot,13,4.0,5,8,ARG,4.0,DONG T,13 - 8,435,CHN,7:15,Missed,0
Action shot,13,10.0,5,8,ARG,4.0,CHEN J,13 - 8,371,CHN,6:11,Saved,0
Action shot,13,12.0,5,8,ARG,4.0,YANEZ G,13 - 8,288,ARG,4:48,Saved,0
Action shot,13,4.0,5,8,ARG,4.0,DONG T,13 - 8,267,CHN,4:27,Blocked,0
5m shot,13,6.0,5,8,ARG,4.0,LI L,13 - 8,239,CHN,3:59,Blocked,0
Counter attack,13,2.0,5,8,ARG,4.0,VEICH R,13 - 8,223,ARG,3:43,Saved,0
Extra player shot,14,3.0,5,8,ARG,4.0,HU Z,14 - 8,182,CHN,3:02,Goal,1
Extra player shot,15,12.0,5,9,ARG,4.0,YANEZ G,15 - 9,68,ARG,1:08,Goal,1
Extra player shot,16,4.0,5,9,ARG,4.0,DONG T,16 - 9,2,CHN,0:02,Goal,1
5m shot,16,2.0,5,9,ARG,4.0,VEICH R,16 - 9,0,ARG,0:00,Missed,0
