Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,10.0,6,12,10,ESP,3.0,BUJKA B,10 - 12,164,HUN,2:44
Steal,4.0,6,12,10,ESP,3.0,TARRAGO R,10 - 12,164,ESP,2:44
Turnover foul,7.0,6,12,10,ESP,3.0,MIRANDA L,10 - 12,139,ESP,2:19
Steal,12.0,6,12,10,ESP,3.0,MENCZINGER K,10 - 12,139,HUN,2:19
Turnover foul,10.0,6,12,10,ESP,3.0,BUJKA B,10 - 12,124,HUN,2:04
Steal,8.0,6,12,10,ESP,3.0,PENA P,10 - 12,124,ESP,2:04
Penalty foul,12.0,6,12,10,ESP,3.0,MENCZINGER K,10 - 12,100,HUN,1:40
Penalty shot - Saved,4.0,6,12,10,ESP,3.0,TARRAGO R,10 - 12,100,ESP,1:40
Action shot - Post,7.0,6,12,10,ESP,3.0,MIRANDA L,10 - 12,79,ESP,1:19
20 sec. exclusion in field,3.0,6,12,10,ESP,3.0,ESPAR A,10 - 12,79,ESP,1:19
Time-Out,,6,12,10,ESP,3.0,,10 - 12,79,HUN,1:19
Action shot - Missed,8.0,6,12,10,ESP,3.0,KESZTHELYI R,10 - 12,55,HUN,0:55
20 sec. exclusion in field,10.0,6,12,10,ESP,3.0,BUJKA B,10 - 12,55,HUN,0:55
Action shot - Goal,3.0,6,12,11,ESP,3.0,ESPAR A,11 - 12,32,ESP,0:32
5m shot - Saved,8.0,6,12,11,ESP,3.0,KESZTHELYI R,11 - 12,6,HUN,0:06
Starting goalkeeper,1.0,6,12,11,ESP,4.0,ESTER L,11 - 12,480,ESP,8:00
Starting goalkeeper,1.0,6,12,11,ESP,4.0,BOLONYAI F,11 - 12,480,HUN,8:00
Sprint won possession,6.0,6,12,11,ESP,4.0,PAREJA J,11 - 12,480,ESP,8:00
Turnover foul,6.0,6,12,11,ESP,4.0,PAREJA J,11 - 12,465,ESP,7:45
Steal,4.0,6,12,11,ESP,4.0,KISTELEKI D,11 - 12,465,HUN,7:45
20 sec. exclusion in centre,12.0,6,12,11,ESP,4.0,LOPEZ L,11 - 12,450,ESP,7:30
Extra player shot - Blocked,3.0,6,12,11,ESP,4.0,ANTAL D,11 - 12,430,HUN,7:10
Turnover foul,8.0,6,12,11,ESP,4.0,PENA P,11 - 12,413,ESP,6:53
Turnover foul,5.0,6,12,11,ESP,4.0,SZUCS G,11 - 12,403,HUN,6:43
Steal,4.0,6,12,11,ESP,4.0,TARRAGO R,11 - 12,403,ESP,6:43
20 sec. exclusion in centre,6.0,6,12,11,ESP,4.0,TAKACS O,11 - 12,384,HUN,6:24
Extra player shot - Goal,12.0,6,12,13,ESP,4.0,LOPEZ L,13 - 12,194,ESP,3:14
20 sec. exclusion in centre,2.0,6,12,13,ESP,4.0,BACH M,13 - 12,176,ESP,2:56
Time-Out,,6,12,13,ESP,4.0,,13 - 12,176,HUN,2:56
Action shot - Post,10.0,6,12,13,ESP,4.0,BUJKA B,13 - 12,149,HUN,2:29
20 sec. exclusion in centre,2.0,6,12,13,ESP,4.0,ILLES A,13 - 12,128,HUN,2:08
Exclusion with substitution,2.0,6,12,13,ESP,4.0,ILLES A,13 - 12,128,HUN,2:08
Action shot - Saved,6.0,6,12,13,ESP,4.0,PAREJA J,13 - 12,103,ESP,1:43
20 sec. exclusion in field,11.0,6,12,13,ESP,4.0,GARCIA GODOY M,13 - 12,85,ESP,1:25
Extra player shot - Saved,10.0,6,12,13,ESP,4.0,BUJKA B,13 - 12,69,HUN,1:09
20 sec. exclusion in centre,12.0,6,12,13,ESP,4.0,MENCZINGER K,13 - 12,45,HUN,0:45
Time-Out,,6,12,13,ESP,4.0,,13 - 12,45,ESP,0:45
Extra player shot - Missed,4.0,6,12,13,ESP,4.0,TARRAGO R,13 - 12,25,ESP,0:25
20 sec. exclusion in field,12.0,6,12,13,ESP,4.0,LOPEZ L,13 - 12,13,ESP,0:13
20 sec. exclusion in field,3.0,6,12,13,ESP,4.0,ESPAR A,13 - 12,5,ESP,0:05
Extra player shot - Saved,3.0,6,12,13,ESP,4.0,ANTAL D,13 - 12,1,HUN,0:01
Starting goalkeeper,1.0,7,0,0,RUS,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Starting goalkeeper,13.0,7,0,0,RUS,1.0,KARNAUKH A,0 - 0,480,RUS,8:00
Sprint won possession,3.0,7,0,0,RUS,1.0,PROKOFYEVA E,0 - 0,480,RUS,8:00
Turnover foul,10.0,7,0,0,RUS,1.0,BELIAEVA O,0 - 0,459,RUS,7:39
Steal,3.0,7,0,0,RUS,1.0,ANTAL D,0 - 0,459,HUN,7:39
