Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,1,2.0,6,5,GRE,1.0,TSOUKALA C,1 - 5,135,GRE,2:15
Turnover foul,1,2.0,6,5,GRE,1.0,ALOGBO K,1 - 5,109,CAN,1:49
Steal,1,6.0,6,5,GRE,1.0,AVRAMIDOU A,1 - 5,109,GRE,1:49
Turnover foul,1,12.0,6,5,GRE,1.0,BENEKOU A,1 - 5,84,GRE,1:24
Action shot - Missed,1,8.0,6,5,GRE,1.0,PERREAULT D,1 - 5,68,CAN,1:08
5m shot - Post,1,6.0,6,5,GRE,1.0,AVRAMIDOU A,1 - 5,41,GRE,0:41
Turnover foul,1,2.0,6,5,GRE,1.0,ALOGBO K,1 - 5,19,CAN,0:19
Steal,1,6.0,6,5,GRE,1.0,AVRAMIDOU A,1 - 5,19,GRE,0:19
5m shot - Saved,1,8.0,6,5,GRE,1.0,ROUMPESI A,1 - 5,3,GRE,0:03
Starting goalkeeper,1,1.0,6,5,GRE,2.0,KOUVDOU E,1 - 5,480,GRE,8:00
Starting goalkeeper,1,1.0,6,5,GRE,2.0,RELTON M,1 - 5,480,CAN,8:00
Sprint won possession,1,6.0,6,5,GRE,2.0,AVRAMIDOU A,1 - 5,480,GRE,8:00
Turnover foul,1,7.0,6,5,GRE,2.0,ASIMAKI A,1 - 5,459,GRE,7:39
Steal,1,4.0,6,5,GRE,2.0,WRIGHT E,1 - 5,459,CAN,7:39
Action shot - Goal,2,10.0,6,5,GRE,2.0,ROBINSON C,2 - 5,445,CAN,7:25
5m shot - Post,2,10.0,6,5,GRE,2.0,MANOLIOUDAKI T,2 - 5,421,GRE,7:01
20 sec. exclusion in centre,2,10.0,6,5,GRE,2.0,ROBINSON C,2 - 5,396,CAN,6:36
Turnover foul,2,10.0,6,5,GRE,2.0,MANOLIOUDAKI T,2 - 5,381,GRE,6:21
Turnover foul,2,11.0,6,5,GRE,2.0,VALIN S,2 - 5,365,CAN,6:05
Steal,2,10.0,6,5,GRE,2.0,MANOLIOUDAKI T,2 - 5,365,GRE,6:05
Centre shot - Goal,2,7.0,6,6,GRE,2.0,ASIMAKI A,2 - 6,336,GRE,5:36
Steal,2,3.0,6,6,GRE,2.0,DIAMANTOPOULOU V,2 - 6,308,GRE,5:08
Turnover foul,2,5.0,6,6,GRE,2.0,EGGENS M,2 - 6,308,CAN,5:08
20 sec. exclusion in centre,2,12.0,6,6,GRE,2.0,RADU M,2 - 6,288,CAN,4:48
Turnover foul,2,8.0,6,6,GRE,2.0,ROUMPESI A,2 - 6,269,GRE,4:29
Steal,2,7.0,6,6,GRE,2.0,BEKHAZI J,2 - 6,269,CAN,4:29
20 sec. exclusion in field,2,3.0,6,6,GRE,2.0,DIAMANTOPOULOU V,2 - 6,253,GRE,4:13
Extra player shot - Goal,3,5.0,6,6,GRE,2.0,EGGENS M,3 - 6,247,CAN,4:07
20 sec. exclusion in field,3,6.0,6,6,GRE,2.0,BARON la SALLE S,3 - 6,236,CAN,3:56
Extra player shot - Saved,3,2.0,6,6,GRE,2.0,TSOUKALA C,3 - 6,217,GRE,3:37
Turnover foul,3,3.0,6,6,GRE,2.0,MONTON K,3 - 6,189,CAN,3:09
Centre shot - Missed,3,7.0,6,6,GRE,2.0,ASIMAKI A,3 - 6,171,GRE,2:51
Action shot - Saved,3,11.0,6,6,GRE,2.0,VALIN S,3 - 6,159,CAN,2:39
5m shot - Saved,3,5.0,6,6,GRE,2.0,EGGENS M,3 - 6,140,CAN,2:20
Action shot - Post,3,2.0,6,6,GRE,2.0,TSOUKALA C,3 - 6,112,GRE,1:52
Action shot - Goal,4,5.0,6,6,GRE,2.0,EGGENS M,4 - 6,85,CAN,1:25
20 sec. exclusion in centre,4,11.0,6,6,GRE,2.0,VALIN S,4 - 6,64,CAN,1:04
Extra player shot - Saved,4,6.0,6,6,GRE,2.0,AVRAMIDOU A,4 - 6,45,GRE,0:45
Turnover foul,4,2.0,6,6,GRE,2.0,ALOGBO K,4 - 6,26,CAN,0:26
Extra player shot - Goal,7,8.0,6,12,GRE,4.0,ROUMPESI A,7 - 12,104,GRE,1:44
Turnover foul,7,10.0,6,12,GRE,4.0,ROBINSON C,7 - 12,80,CAN,1:20
Steal,7,6.0,6,12,GRE,4.0,AVRAMIDOU A,7 - 12,80,GRE,1:20
20 sec. exclusion in centre,7,10.0,6,12,GRE,4.0,MANOLIOUDAKI T,7 - 12,25,GRE,0:25
Extra player shot - Goal,8,4.0,6,12,GRE,4.0,WRIGHT E,8 - 12,22,CAN,0:22
Turnover foul,8,11.0,6,12,GRE,4.0,PLEVRITOU E,8 - 12,12,GRE,0:12
Centre shot - Missed,8,7.0,6,12,GRE,2.0,ASIMAKI A,8 - 12,2,GRE,0:02
Starting goalkeeper,8,1.0,6,12,GRE,3.0,RELTON M,8 - 12,480,CAN,8:00
Starting goalkeeper,8,1.0,6,12,GRE,3.0,KOUVDOU E,8 - 12,480,GRE,8:00
Sprint won possession,8,5.0,6,12,GRE,3.0,EGGENS M,8 - 12,480,CAN,8:00
20 sec. exclusion in field,8,4.0,6,12,GRE,3.0,PSOUNI I,8 - 12,462,GRE,7:42
Extra player shot - Goal,5,4.0,6,6,GRE,3.0,WRIGHT E,5 - 6,443,CAN,7:23
20 sec. exclusion in centre,5,9.0,6,6,GRE,3.0,EGGENS C,5 - 6,425,CAN,7:05
Extra player shot - Saved,5,8.0,6,6,GRE,3.0,ROUMPESI A,5 - 6,407,GRE,6:47
Action shot - Saved,5,2.0,6,6,GRE,3.0,TSOUKALA C,5 - 6,379,GRE,6:19
Action shot - Goal,5,3.0,6,7,GRE,3.0,DIAMANTOPOULOU V,5 - 7,361,GRE,6:01
20 sec. exclusion in centre,5,3.0,6,7,GRE,3.0,DIAMANTOPOULOU V,5 - 7,346,GRE,5:46
